+----------------------------------+-----------------------+----------------------+----------------------+
|              Metric              |           P1          |          P2          |          P3          |
+----------------------------------+-----------------------+----------------------+----------------------+
|  Outcome selected for analysis   |           1           |          1           |          1           |
|         Information Gain         |  0.019657398078633724 | 0.04214423596253358  |  0.1481849381249007  |
|           Chi-squared            |   1.4778638728218558  |  3.541932737335037   |  3.0708661417322833  |
|            Gini index            |  0.005650458139145997 | 0.013464825772518063 | 0.011811023622047223 |
|      Difference in Support       |  0.05952380952380952  |  0.0996168582375479  | 0.046153846153846156 |
|          Bigger Support          |  0.11666666666666667  | 0.15517241379310345  | 0.046153846153846156 |
|            Confidence            |   0.6363636363636364  |  0.6923076923076923  |         1.0          |
|          All-Confidence          |  0.11666666666666667  | 0.15517241379310345  | 0.046153846153846156 |
|               Lift               |   1.3787878787878787  |  1.5517241379310345  |         2.0          |
|        Standardised Lift         |          0.6          |  0.6666666666666669  |         1.0          |
|       Collective Strength        |   1.1438386255503317  |  1.1976707585772741  |  1.0697758933979407  |
|              Cosine              |  0.27247463045653303  | 0.32776066832815337  |  0.2148344622118299  |
|         Interestingness          |  0.07421167294244219  | 0.10736984602828309  | 0.046145653163404646 |
|        Comprehensibility         |  0.43067655807339306  |         0.5          |  0.3562071871080222  |
|           Completeness           |  0.11666666666666667  | 0.15517241379310345  | 0.046153846153846156 |
|           Added Value            |   0.1748251748251748  |  0.2461538461538461  |         0.5          |
|        Casual Confidence         |  0.34759358288770054  |  0.3846153846153846  |  0.5118110236220472  |
|          Casual Support          |   0.5615384615384615  |  0.5923076923076923  |  0.5230769230769231  |
|         Certainty Factor         |   0.3246753246753246  | 0.44444444444444436  |         1.0          |
|            Conviction            |   1.4807692307692306  |  1.8000000000000003  |         inf          |
|        Coverage (Support)        |  0.08461538461538462  |         0.1          | 0.023076923076923078 |
| Descriptive Confirmed Confidence |   0.2727272727272727  |  0.3846153846153846  |         1.0          |
|    Difference of Proportions     |  0.19098548510313212  | 0.27350427350427353  |  0.5118110236220472  |
|   Example and Counter Example    |  0.42857142857142855  |  0.5555555555555556  |         1.0          |
|         Imbalance Ratio          |   0.7656249999999999  |  0.7258064516129032  |  0.9538461538461538  |
|  Fisher's Exact Test (p-value)   |   0.1842586491578122  | 0.05625793113878719  | 0.12209302325581395  |
|         Hyper Confidence         |   0.8157413508421878  |  0.9437420688612128  |  0.877906976744186   |
|            Hyper Lift            |         0.875         |         1.0          |         1.0          |
|   Laplace Corrected Confidence   |   0.6153846153846154  |  0.6666666666666666  |         0.8          |
|            Importance            |   0.2041199826559248  | 0.30102999566398114  |  0.6020599913279623  |
|       Jaccard Coefficient        |        0.109375       | 0.14516129032258063  | 0.046153846153846156 |
|            J-Measure             | 0.0022656359331064873 | 0.005355697095955873 | 0.006946846053784181 |
|              Kappa               |   0.063211125158028   | 0.10774410774410767  | 0.04615384615384632  |
|             Klosgen              |  0.04056778679128121  | 0.06476736142574985  |  0.075955452531275   |
|            Kulczynski            |   0.3765151515151515  | 0.42374005305039786  |  0.5230769230769231  |
|     Goodman-Kruskal's Lambda     |  0.43089430894308944  |  0.4049586776859504  |  0.4881889763779527  |
|       Least Contradiction        |          0.05         | 0.08620689655172414  | 0.046153846153846156 |
|        Lerman Similarity         |   0.8534859274986487  |  1.3287276776598396  |  1.2247448713915892  |
|        Piatetsky-Shapiro         |  0.014792899408284023 | 0.024615384615384615 | 0.011538461538461539 |
|          Max Confidence          |   0.6363636363636364  |  0.6923076923076923  |         1.0          |
|            Odds Ratio            |   2.1792452830188678  |  3.1224489795918373  |         inf          |
|   Phi Correlation Coefficient    |  0.10662168464759501  | 0.16506252282404613  | 0.15369465587356798  |
|          Ralambondrainy          |  0.03076923076923077  | 0.03076923076923077  |         0.0          |
| Relative Linkage Disequilibrium  |   0.999876938222988   |  0.9999260409733007  |         1.0          |
|          Relative Risk           |   1.4288164665523155  |  1.653061224489796   |  2.0483870967741935  |
|        Rule Power Factor         |  0.03426573426573427  | 0.047928994082840244 | 0.023076923076923078 |
|         Sebag-Schoenauer         |          1.75         |         2.25         |         inf          |
|              Yule Q              |  0.37091988130563797  |  0.514851485148515   |         1.0          |
|              Yule Y              |   0.1923195092025021  | 0.27720734350056014  |         1.0          |
|         Weighted Support         |  0.08461538461538462  |         0.1          | 0.023076923076923078 |
|      Weighted Rule Support       |  0.05384615384615385  | 0.06923076923076923  | 0.023076923076923078 |
|       Weighted Confidence        |   0.6363636363636364  |  0.6923076923076923  |         1.0          |
|          Weighted Lift           |   1.3787878787878787  |  1.5517241379310345  |         2.0          |
|     Statistical Significance     |  0.001528542062722679 |  0.082624401372916   | 0.07646890402603704  |
|           FleBiC Score           | 0.0004962564138267506 | 0.04728443331626237  |  0.042137778228598   |
+----------------------------------+-----------------------+----------------------+----------------------+
