+----------------------------------+-----------------------+-----------------------+------------------------+-----------------------+-----------------------+-----------------------+-----------------------+------------------------+------------------------+------------------------+------------------------+------------------------+----------------------+
|              Metric              |           P1          |           P2          |           P3           |           P4          |           P5          |           P6          |           P7          |           P8           |           P9           |          P10           |          P11           |          P12           |         P13          |
+----------------------------------+-----------------------+-----------------------+------------------------+-----------------------+-----------------------+-----------------------+-----------------------+------------------------+------------------------+------------------------+------------------------+------------------------+----------------------+
|  Outcome selected for analysis   |          2.0          |          2.0          |          1.0           |          1.0          |          2.0          |          1.0          |          0.0          |          2.0           |          1.0           |          1.0           |          1.0           |          2.0           |         0.0          |
|         Information Gain         |  0.03227516334286819  |  0.047617172006052554 |  0.014801952979208517  |  0.008195725721250888 |  0.01516656656304526  |  0.008195725721250888 | 0.0032073871203786705 |  0.01516656656304526   | 0.0001911973625706833  | 0.0001911973625706833  | 0.0001911973625706833  | 0.0007756377935621283  | 0.26054780759084273  |
|           Chi-squared            |   1.5327467479823662  |   2.6270888606886373  |   0.644336200520396    |  0.32063579062756936  |   0.5878492694180979  |  0.32063579062756936  |  0.14069264069264073  |   0.5878492694180979   |  0.009385396499851184  |  0.009385396499851184  |  0.009385396499851184  |  0.03332478851576522   |  8.647014361300077   |
|            Gini index            |  0.005443099739535218 |  0.009329334224439101 | 0.0021403575746008485  | 0.0010650887573964152 |  0.002087573964497047 | 0.0010650887573964152 | 0.0004733727810649624 |  0.002087573964497047  | 3.1176433161639316e-05 | 3.1176433161639316e-05 | 3.1176433161639316e-05 | 0.00011834319526643489 | 0.02909364140133386  |
|      Difference in Support       |  0.05101256088182518  |  0.07510894642399386  |  0.03178953137845986   |  0.020553576322280075 |  0.026916175339656505 |  0.020553576322280075 |  0.013528138528138528 |  0.026916175339656505  | 0.0038366675801589506  | 0.0038366675801589506  | 0.0038366675801589506  |  0.006408613176108691  | 0.09523809523809523  |
|          Bigger Support          |  0.07228915662650603  |  0.09638554216867472  |  0.05617977528089888   |   0.0449438202247191  |  0.04819277108433736  |   0.0449438202247191  |  0.047619047619047616 |  0.04819277108433736   |  0.04878048780487805   |  0.04878048780487805   |  0.04878048780487805   |  0.04255319148936171   | 0.09523809523809523  |
|            Confidence            |  0.14285714285714285  |   0.1111111111111111  |  0.16666666666666666   |          0.2          |          0.2          |          0.2          |          0.4          |          0.2           |   0.3333333333333333   |   0.3333333333333333   |   0.3333333333333333   |          0.4           |         1.0          |
|          All-Confidence          |  0.021276595744680854 |  0.021276595744680854 |  0.024390243902439025  |  0.024390243902439025 |  0.021276595744680854 |  0.024390243902439025 |  0.047619047619047616 |  0.021276595744680854  |  0.04878048780487805   |  0.04878048780487805   |  0.04878048780487805   |  0.04255319148936171   | 0.09523809523809523  |
|               Lift               |   0.3951367781155015  |   0.3073286052009456  |   0.5284552845528455   |   0.6341463414634146  |   0.5531914893617021  |   0.6341463414634146  |   1.2380952380952381  |   0.5531914893617021   |   1.056910569105691    |   1.056910569105691    |   1.056910569105691    |   1.1063829787234043   |  3.0952380952380953  |
|        Standardised Lift         |          0.0          |          0.0          |          0.0           |          0.0          |          0.0          |          0.0          |  0.25000000000000006  |          0.0           |  0.19999999999999998   |  0.19999999999999998   |  0.19999999999999998   |          0.25          |  1.0000000000000002  |
|       Collective Strength        |   1.016291022655909   |   1.0133008419233946  |   1.0262707938995033   |   1.0257722859664606  |   1.0189255419415644  |   1.0257722859664606  |   1.0483496877787686  |   1.0189255419415644   |   1.0498739070514838   |   1.0498739070514838   |   1.0498739070514838   |   1.0439208294062208   |  1.094809399713451   |
|              Cosine              |  0.055131784641997125 |  0.04862166383263152  |  0.06375767130633384   |  0.06984302957695783  |  0.06523280730534423  |  0.06984302957695783  |  0.13801311186847084  |  0.06523280730534423   |  0.12751534261266767   |  0.12751534261266767   |  0.12751534261266767   |  0.13046561461068845   |  0.3086066999241838  |
|         Interestingness          | 0.0030393338249312066 | 0.0023639263082798276 |  0.004064800115456776  |  0.004877760138548132 |  0.004255067354903689 |  0.004877760138548132 |  0.01904536489151874  |  0.004255067354903689  |  0.01625823832202819   |  0.01625823832202819   |  0.01625823832202819   |  0.017019262243484833  | 0.09521555367709214  |
|        Comprehensibility         |  0.43067655807339306  |          0.5          |  0.43067655807339306   |  0.43067655807339306  |  0.43067655807339306  |  0.43067655807339306  |  0.43067655807339306  |  0.43067655807339306   |          0.5           |          0.5           |          0.5           |          0.5           |         0.5          |
|           Completeness           |  0.021276595744680854 |  0.021276595744680854 |  0.024390243902439025  |  0.024390243902439025 |  0.021276595744680854 |  0.024390243902439025 |  0.047619047619047616 |  0.021276595744680854  |  0.04878048780487805   |  0.04878048780487805   |  0.04878048780487805   |  0.04255319148936171   | 0.09523809523809523  |
|           Added Value            |  -0.21868131868131868 |  -0.2504273504273504  |  -0.14871794871794872  |  -0.11538461538461536 |  -0.16153846153846152 |  -0.11538461538461536 |  0.07692307692307693  |  -0.16153846153846152  |  0.01794871794871794   |  0.01794871794871794   |  0.01794871794871794   |  0.03846153846153849   |  0.676923076923077   |
|        Casual Confidence         |  0.07549361207897792  |  0.05968778696051423  |  0.08736559139784945   |  0.10400000000000001  |  0.10400000000000001  |  0.10400000000000001  |  0.20800000000000002  |  0.10400000000000001   |   0.1747311827956989   |   0.1747311827956989   |   0.1747311827956989   |  0.20800000000000002   |  0.5158730158730159  |
|          Casual Support          |          0.6          |   0.5846153846153845  |   0.6538461538461539   |   0.6615384615384615  |   0.6153846153846153  |   0.6615384615384615  |   0.6692307692307693  |   0.6153846153846153   |   0.6692307692307693   |   0.6692307692307693   |   0.6692307692307693   |   0.6307692307692307   |  0.7076923076923077  |
|         Certainty Factor         |   -0.342512908777969  |  -0.39223560910307903 |  -0.21722846441947566  |  -0.1685393258426966  |  -0.25301204819277107 |  -0.1685393258426966  |  0.11363636363636363  |  -0.25301204819277107  |  0.026217228464419463  |  0.026217228464419463  |  0.026217228464419463  |  0.060240963855421735  |         1.0          |
|            Conviction            |   0.7448717948717949  |   0.7182692307692307  |   0.8215384615384616   |   0.8557692307692308  |   0.798076923076923   |   0.8557692307692308  |   1.1282051282051282  |   0.798076923076923    |   1.026923076923077    |   1.026923076923077    |   1.026923076923077    |   1.0641025641025639   |         inf          |
