+----------------------------------+-----------------------+-----------------------+-----------------------+------------------------+-----------------------+------------------------+------------------------+
|              Metric              |           P1          |           P2          |           P3          |           P4           |           P5          |           P6           |           P7           |
+----------------------------------+-----------------------+-----------------------+-----------------------+------------------------+-----------------------+------------------------+------------------------+
|  Outcome selected for analysis   |           1           |           1           |           1           |           1            |           1           |           1            |           1            |
|         Information Gain         |  0.011119199630195711 |  0.01026811708662225  |  0.04250173497713911  | 0.0007624898201584507  |  0.005526091195579328 |  0.001337675614157331  | 0.0008727986079207256  |
|           Chi-squared            |   3.5736839632771398  |   3.278755294884326   |   10.805732032086548  |  0.21647149506668256   |   0.8801020408163265  |  0.22002551020408162   |  0.10516774891774881   |
|            Gini index            |  0.004386209735481858 |  0.004024225013309776 |  0.013262562533560049 | 0.00015808509828484085 | 0.0010802052389954214 | 0.0002700513097489837  | 0.00012907907047797484 |
|      Difference in Support       |  0.08750000000000005  |  0.08333333333333337  |   0.1386904761904762  |  0.02420968387354938   |  0.02738095238095238  |  0.013690476190476204  |  0.007738095238095238  |
|          Bigger Support          |  0.22083333333333335  |  0.21666666666666667  |  0.19583333333333333  |  0.15686274509803919   |         0.075         |  0.07083333333333335   |  0.04583333333333333   |
|            Confidence            |   0.791044776119403   |   0.787878787878788   |   0.8867924528301886  |   0.8297872340425532   |   0.7826086956521738  |   0.7391304347826088   |   0.7333333333333333   |
|          All-Confidence          |  0.22083333333333335  |  0.21666666666666667  |  0.19583333333333333  |   0.1326530612244898   |         0.075         |  0.07083333333333335   |  0.04583333333333333   |
|               Lift               |   1.1371268656716418  |   1.1325757575757578  |   1.274764150943396   |   0.9737299174989145   |         1.125         |         1.0625         |   1.0541666666666667   |
|        Standardised Lift         |   0.7878787878787878  |   0.7846153846153848  |   0.8846153846153845  |   0.826086956521739    |   0.7727272727272727  |   0.7272727272727273   |   0.7142857142857144   |
|       Collective Strength        |   1.2645553537289451  |   1.2575999599767007  |   1.304042564277459   |   1.0556158092827286   |   1.0977443609022557  |   1.079573934837093    |   1.0516042780748664   |
|              Cosine              |  0.41795819734318906  |   0.4131671220064234  |  0.41672955500249625  |   0.3317737433263019   |  0.24227185592617445  |  0.22881230837472033   |  0.18333333333333332   |
|         Interestingness          |  0.17461126837979818  |  0.17063249168857236  |  0.17359494662476432  |  0.11003774972563937   |   0.0586867757047752  |  0.05234759473865253   |  0.033608004854255635  |
|        Comprehensibility         |          0.5          |          0.5          |          0.5          |          0.5           |  0.43067655807339306  |  0.43067655807339306   |   0.3868528072345416   |
|           Completeness           |  0.22083333333333335  |  0.21666666666666667  |  0.19583333333333333  |   0.1326530612244898   |         0.075         |  0.07083333333333335   |  0.04583333333333333   |
|           Added Value            |  0.09539260220635959  |   0.0922266139657445  |  0.19114027891714513  | -0.022386679000925058  |  0.08695652173913038  |   0.0434782608695653   |  0.03768115942028982   |
|        Casual Confidence         |   0.4908461290668958  |  0.48712935809710006  |   0.5238756784698888  |  0.48032985863201483   |   0.4192546583850931  |   0.3959627329192547   |   0.3833333333333333   |
|          Casual Support          |   0.4173913043478261  |   0.4144927536231884  |   0.4231884057971015  |  0.23768115942028986   |  0.34202898550724636  |   0.336231884057971    |   0.3246376811594203   |
|         Certainty Factor         |  0.31343283582089576  |   0.3030303030303033  |   0.6280323450134768  |  -0.15143929912390477  |  0.28571428571428553  |  0.14285714285714313   |  0.12380952380952369   |
|            Conviction            |   1.456521739130435   |   1.4347826086956523  |   2.6884057971014497  |   0.8684782608695654   |   1.4000000000000001  |   1.1666666666666667   |   1.141304347826087    |
|        Coverage (Support)        |  0.19420289855072465  |  0.19130434782608696  |   0.1536231884057971  |  0.13623188405797101   |  0.06666666666666667  |  0.06666666666666667   |  0.043478260869565216  |
| Descriptive Confirmed Confidence |   0.5820895522388061  |   0.5757575757575759  |   0.7735849056603773  |   0.6595744680851063   |   0.5652173913043478  |  0.47826086956521746   |   0.4666666666666666   |
|    Difference of Proportions     |  0.11838290561580578  |  0.11404366243075925  |  0.22583354872059958  | -0.025917463944023944  |  0.09316770186335399  |  0.04658385093167705   |  0.039393939393939315  |
|   Example and Counter Example    |   0.7358490566037736  |   0.7307692307692308  |   0.8723404255319149  |   0.7948717948717948   |   0.7222222222222222  |   0.6470588235294118   |   0.6363636363636364   |
|         Imbalance Ratio          |   0.6811023622047244  |   0.6850393700787402  |   0.7601626016260162  |   0.8178807947019867   |   0.8857142857142858  |   0.8821138211382115   |   0.9221311475409838   |
|  Fisher's Exact Test (p-value)   |  0.038159118975238826 |  0.04569779153781284  | 0.0004331800570990252 |   0.7599862291004713   |  0.24567147449223592  |   0.4176703979534663   |  0.49926620093718077   |
|         Hyper Confidence         |   0.9618408810247612  |   0.9543022084621872  |   0.999566819942901   |   0.2400137708995287   |   0.7543285255077641  |   0.5823296020465337   |   0.5007337990628192   |
|            Hyper Lift            |   1.0192307692307692  |   1.0196078431372548  |   1.119047619047619   |   0.8863636363636364   |   0.9473684210526315  |   0.8947368421052632   |   0.8461538461538461   |
|   Laplace Corrected Confidence   |   0.782608695652174   |   0.7794117647058824  |   0.8727272727272727  |   0.8163265306122449   |          0.76         |          0.72          |   0.7058823529411765   |
|            Importance            |   0.5563025007672872  |   0.5481846105451078  |   0.8361431973613304  |   0.6478174818886374   |   0.5006023505691853  |  0.41017446508904915   |   0.380211241711606    |
|       Jaccard Coefficient        |  0.20866141732283466  |   0.2047244094488189  |   0.1910569105691057  |   0.1291390728476821   |  0.07346938775510205  |  0.06910569105691057   |  0.045081967213114756  |
|            J-Measure             | 0.0019461889263678199 | 0.0017869337437536412 | 0.0068934307839338535 | 0.00011313165384508575 | 0.0005510296395990514 | 0.00013307600143842814 | 6.491648466318712e-05  |
