+----------------------------------+------------------------+------------------------+-----------------------+----------------------+-----------------------+-----------------------+-----------------------+-----------------------+
|              Metric              |           P1           |           P2           |           P3          |          P4          |           P5          |           P6          |           P7          |           P8          |
+----------------------------------+------------------------+------------------------+-----------------------+----------------------+-----------------------+-----------------------+-----------------------+-----------------------+
|  Outcome selected for analysis   |           1            |           1            |           1           |          1           |           1           |           1           |           1           |           1           |
|         Information Gain         |  0.00949464384296676   | 0.0023876573106789375  |  0.005203773697815373 | 0.021988196642100218 |  0.03341760383227825  |  0.034651605156845566 |  0.011773283249799026 |  0.036237472416611675 |
|           Chi-squared            |   2.0032258064516126   |   0.4920698311273392   |   0.9331480233602869  |  3.535350472956587   |   5.300344438410318   |   3.9382929464423513  |   0.7725262526424861  |   1.9710361043917242  |
|            Gini index            |  0.002458686505274907  | 0.0006039486160519386  |  0.001145311948892988 | 0.00507096348306188  | 0.0076784962348588615 | 0.0056489278417445055 | 0.0011080803577531995 | 0.0028271743312646425 |
|      Difference in Support       |          0.05          |  0.023809523809523822  |  0.030357142857142867 | 0.050764006791171476 |  0.060583647122108654 |  0.04380305602716469  |  0.013412563667232596 |  0.019864176570458403 |
|          Bigger Support          |  0.11666666666666665   |          0.1           |  0.08750000000000001  | 0.08947368421052632  |  0.09467455621301775  |  0.06315789473684211  |  0.02631578947368421  |  0.02631578947368421  |
|            Confidence            |   0.7999999999999999   |          0.75          |   0.7777777777777778  |  0.7391304347826088  |  0.27272727272727276  |          0.8          |   0.7142857142857143  |   0.8333333333333334  |
|          All-Confidence          |  0.11666666666666665   |          0.1           |  0.08750000000000001  | 0.08947368421052632  |  0.034090909090909095 |  0.06315789473684211  |  0.02631578947368421  |  0.02631578947368421  |
|               Lift               |          1.15          |        1.078125        |   1.1180555555555556  |  1.342105263157895   |   0.5346074380165289  |   1.4526315789473685  |   1.2969924812030076  |   1.5131578947368423  |
|        Standardised Lift         |   0.7941176470588235   |   0.7419354838709677   |   0.7692307692307693  |  0.7272727272727273  |  0.23809523809523805  |   0.7857142857142857  |   0.6666666666666666  |          0.8          |
|       Collective Strength        |   1.1547559966914804   |   1.113980561179804    |   1.1111099280207843  |  1.122730024213075   |   0.9998505475272369  |   1.091919191919192   |   1.035055481633894   |   1.0393099372692725  |
|              Cosine              |  0.30550504633038933   |   0.2738612787525831   |   0.2608745973749755  |  0.2571628338468219  |  0.09642365197998376  |  0.22478059477960655  |  0.13710212427677046  |   0.1480872194397731  |
|         Interestingness          |  0.09331137716166069   |  0.07498487712665407   |   0.0680435482741721  | 0.06612327756461371  |  0.009297051977065728 |  0.05052122176897822  |  0.018796202857490292 |  0.021928903333738675 |
|        Comprehensibility         |          0.5           |          0.5           |          0.5          |         0.5          |          0.5          |          0.5          |  0.43067655807339306  |  0.43067655807339306  |
|           Completeness           |  0.11666666666666665   |          0.1           |  0.08750000000000001  | 0.08947368421052632  |  0.034090909090909095 |  0.06315789473684211  |  0.02631578947368421  |  0.02631578947368421  |
|           Added Value            |  0.10434782608695647   |  0.05434782608695654   |  0.08212560386473433  | 0.18840579710144933  |  -0.2374176548089591  |  0.24927536231884062  |  0.16356107660455488  |  0.28260869565217395  |
