+----------------------------------+----------------------+-----------------------+-----------------------+-----------------------+------------------------+------------------------+-----------------------+----------------------+------------------------+------------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+------------------------+
|              Metric              |          P1          |           P2          |           P3          |           P4          |           P5           |           P6           |           P7          |          P8          |           P9           |          P10           |          P11          |          P12          |          P13          |          P14          |          P15          |          P16           |
+----------------------------------+----------------------+-----------------------+-----------------------+-----------------------+------------------------+------------------------+-----------------------+----------------------+------------------------+------------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+------------------------+
|  Outcome selected for analysis   |         0.0          |          0.0          |          0.0          |          0.0          |          2.0           |          0.0           |          0.0          |         0.0          |          0.0           |          2.0           |          0.0          |          0.0          |          1.0          |          0.0          |          0.0          |          0.0           |
|         Information Gain         | 0.051995221440225184 |  0.04607642191421646  |  0.03995596273605516  |  0.033642913755300215 | 0.00046587808409852564 |  0.004186093249637871  |  0.02716755726218225  |  0.0540086728182878  |  0.01283160858510219   |  0.016795642535307267  |  0.13800061500071795  |  0.13800061500071795  |  0.009796740488527172 |   0.1251119214202395  |   0.1251119214202395  |  0.011175162157526262  |
|           Chi-squared            |  6.036213567900631   |   5.111262089351503   |   4.219300223507509   |   3.3668645868165097  |  0.04933504933504935   |  0.43472655852463543   |   2.5628910982133726  |  4.901360599745298   |   0.7638902112183256   |   1.1040218078381796   |   5.283675600417681   |   5.283675600417681   |   0.9196419392266005  |   3.1516661476175645  |   3.1516661476175645  |  0.37859470994592453   |
|            Gini index            | 0.008744534188768638 |  0.007404576658084805 |  0.006112410477545849 | 0.0048775051043482565 | 6.0552045429096424e-05 | 0.0006297791174918466  |  0.00371280581416078  | 0.007100496835280579 |  0.001106631498922983  | 0.0013550362179435282  | 0.0076543484438512666 | 0.0076543484438512666 | 0.0008713655594563274 |  0.00456575170334983  |  0.00456575170334983  | 0.0005484621025363401  |
|      Difference in Support       | 0.05396046261430877  |  0.04804330285099516  |  0.04212614308768155  |  0.036208983324367935 |  0.004761904761904759  |  0.013011027434104351  |  0.030291823561054327 | 0.04189080150618611  |  0.012305002689618073  |  0.01607142857142857   |  0.029585798816568046 |  0.029585798816568046 |  0.02035571090778247  |  0.01775147928994083  |  0.01775147928994083  |  0.006152501344809037  |
|          Bigger Support          | 0.07100591715976332  |   0.0650887573964497  |  0.05917159763313609  |  0.05325443786982248  |  0.03809523809523809   |  0.04142011834319526   |  0.047337278106508875 | 0.05325443786982248  |  0.023668639053254437  |  0.02857142857142857   |  0.029585798816568046 |  0.029585798816568046 |  0.04225352112676057  |  0.01775147928994083  |  0.01775147928994083  |  0.011834319526627219  |
|            Confidence            |         0.8          |   0.7857142857142857  |   0.7692307692307692  |          0.75         |   0.3333333333333333   |   0.5833333333333333   |   0.7272727272727273  |  0.8181818181818181  |   0.6666666666666666   |          0.5           |          1.0          |          1.0          |  0.33333333333333337  |          1.0          |          1.0          |   0.6666666666666666   |
|          All-Confidence          | 0.07100591715976332  |   0.0650887573964497  |  0.05917159763313609  |  0.05325443786982248  |  0.03809523809523809   |  0.04142011834319526   |  0.047337278106508875 | 0.05325443786982248  |  0.023668639053254437  |  0.02857142857142857   |  0.029585798816568046 |  0.029585798816568046 |  0.04225352112676057  |  0.01775147928994083  |  0.01775147928994083  |  0.011834319526627219  |
|               Lift               |  1.6331360946745563  |   1.6039729501267963  |   1.5703231679563041  |   1.5310650887573964  |   1.0952380952380951   |   1.1908284023668638   |   1.4846691769768692  |  1.6702528240989778  |   1.3609467455621302   |   1.6428571428571428   |   2.0414201183431953  |   2.0414201183431953  |   1.619718309859155   |   2.0414201183431953  |   2.0414201183431953  |   1.3609467455621302   |
|        Standardised Lift         |  0.7857142857142858  |   0.7692307692307693  |          0.75         |   0.7272727272727273  |   0.2727272727272727   |   0.5454545454545454   |          0.7          |  0.7999999999999999  |          0.6           |          0.4           |          1.0          |          1.0          |          0.25         |          1.0          |          1.0          |   0.5000000000000001   |
|       Collective Strength        |  1.0977143371352727  |   1.0887869269838226  |   1.0798803089777507  |   1.0709943071906265  |   1.0384863799497948   |   1.0478254823198423   |   1.0621287477976786  |  1.073694176213969   |   1.0295737808778502   |   1.0275297980435776   |   1.0437165885551714  |   1.0437165885551714  |   1.0352589144133106  |   1.026172285852277   |   1.026172285852277   |   1.0147548602638907   |
