+----------------------------------+-----------------------+-----------------------+-----------------------+-----------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+------------------------+-----------------------+-----------------------+
|              Metric              |           P1          |           P2          |           P3          |           P4          |           P5           |           P6           |           P7          |           P8          |           P9           |          P10           |          P11          |          P12          |
+----------------------------------+-----------------------+-----------------------+-----------------------+-----------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+------------------------+-----------------------+-----------------------+
|  Outcome selected for analysis   |           1           |           1           |           1           |           1           |           1            |           1            |           1           |           1           |           1            |           1            |           1           |           1           |
|         Information Gain         |  0.034651605156845566 |  0.029943837472542822 |  0.048225251696426795 |  0.02026564428145761  | 0.0007188486465448726  |  0.001725636177814811  |  0.03705904295150551  |  0.03705904295150551  |  0.005622236036211694  |  0.001737375112536804  |  0.13800061500071795  |  0.22530799475409624  |
|           Chi-squared            |   3.9382929464423513  |   3.2566380257240914  |   4.765232734516491   |   1.9953368053962286  |  0.07870559953893295   |   0.1734435328185328   |   3.2849346067858103  |   3.2849346067858103  |   0.3317457217122164   |  0.11527685638348911   |   5.283675600417681   |   11.133578431372552  |
|            Gini index            | 0.0056489278417445055 | 0.0046711896408353215 | 0.0068350567701468135 |  0.002862030272238386 | 5.464822099977146e-05  | 0.00021287828471193426 | 0.0047117771102693495 | 0.0047117771102693495 | 0.00047584262248764886 | 7.145074378272706e-05  | 0.0076543484438512666 |  0.01387968419882113  |
|      Difference in Support       |  0.04380305602716469  |  0.03853989813242784  |  0.04499151103565365  |  0.028013582342954153 |  0.007996632996633009  |  0.008928571428571428  |  0.03446519524617996  |  0.03446519524617996  |  0.008149405772495755  | 0.0073078736445073185  |  0.029585798816568046 |  0.046296296296296294 |
|          Bigger Support          |  0.06315789473684211  |  0.05789473684210526  |  0.05789473684210526  |  0.047368421052631574 |  0.04166666666666668   |         0.0375         |  0.047368421052631574 |  0.047368421052631574 |  0.021052631578947368  |  0.02380952380952382   |  0.029585798816568046 |  0.046296296296296294 |
|            Confidence            |          0.8          |   0.7857142857142857  |   0.846153846153846   |          0.75         |   0.8333333333333334   |          0.75          |   0.8181818181818181  |   0.8181818181818181  |   0.6666666666666666   |   0.8333333333333334   |          1.0          |          1.0          |
|          All-Confidence          |  0.06315789473684211  |  0.05789473684210526  |  0.05789473684210526  |  0.047368421052631574 |  0.03367003367003367   |         0.0375         |  0.047368421052631574 |  0.047368421052631574 |  0.021052631578947368  |   0.0165016501650165   |  0.029585798816568046 |  0.046296296296296294 |
|               Lift               |   1.4526315789473685  |   1.4266917293233083  |   1.5364372469635625  |   1.361842105263158   |   0.968013468013468    |   1.0781249999999998   |   1.485645933014354   |   1.485645933014354   |   1.2105263157894737   |   0.9488448844884488   |   2.0414201183431953  |   3.194444444444444   |
|        Standardised Lift         |   0.7857142857142857  |   0.7692307692307693  |   0.8333333333333331  |   0.7272727272727273  |   0.8181818181818183   |   0.7272727272727272   |   0.7999999999999999  |   0.7999999999999999  |          0.6           |          0.8           |          1.0          |          1.0          |
|       Collective Strength        |   1.091919191919192   |   1.083165126328103   |   1.0874630545173463  |   1.065678258274974   |   1.0175921778131725   |   1.045398549560262    |   1.0699671025568618  |   1.0699671025568618  |   1.0263434439342576   |   1.0040080955593478   |   1.0437165885551714  |   1.0440387878524189  |
|              Cosine              |  0.22478059477960655  |  0.21328085194060736  |  0.22133200006102174  |  0.18848425873126295  |   0.167506302543202    |  0.16770509831248423   |   0.1968653876669132  |   0.1968653876669132  |  0.11846977555181847   |  0.11726625745504864   |  0.17200522903844537  |   0.2151657414559676  |
|         Interestingness          |  0.05052122176897822  |  0.04548451784786478  |  0.048983326913085136 |  0.035523629489603026 |  0.028056004041441276  |  0.028122873345935728  |   0.0387530503522942  |   0.0387530503522942  |  0.014034616050733847  |  0.013750797470001148  |  0.02958455597687821  |   0.0462943514823372  |
|        Comprehensibility         |          0.5          |          0.5          |          0.5          |          0.5          |          0.5           |          0.5           |          0.5          |          0.5          |  0.43067655807339306   |  0.43067655807339306   |  0.43067655807339306  |  0.43067655807339306  |
|           Completeness           |  0.06315789473684211  |  0.05789473684210526  |  0.05789473684210526  |  0.047368421052631574 |  0.03367003367003367   |         0.0375         |  0.047368421052631574 |  0.047368421052631574 |  0.021052631578947368  |   0.0165016501650165   |  0.029585798816568046 |  0.046296296296296294 |
|           Added Value            |  0.24927536231884062  |  0.23498964803312627  |   0.2954292084726866  |  0.19927536231884058  |  -0.02753623188405796  |  0.05434782608695654   |   0.2674571805006587  |   0.2674571805006587  |   0.1159420289855072   |  -0.04492753623188406  |   0.5101449275362319  |   0.6869565217391305  |
|        Casual Confidence         |   0.4181818181818182  |   0.4094734570565386  |  0.43964318813716396  |   0.3885135135135135  |   0.4316816816816817   |   0.3885135135135135   |  0.42256396298312465  |  0.42256396298312465  |   0.3392330383480826   |  0.42404129793510326   |   0.5073529411764706  |   0.5073529411764706  |
|          Casual Support          |   0.4753623188405797  |  0.47246376811594204  |   0.4753623188405797  |   0.4666666666666667  |  0.16231884057971013   |  0.32173913043478264   |  0.46956521739130436  |  0.46956521739130436  |  0.45507246376811594   |  0.13333333333333333   |   0.5246376811594202  |   0.7014492753623188  |
|         Certainty Factor         |   0.5548387096774194  |   0.5230414746543779  |   0.6575682382133993  |   0.4435483870967742  |  -0.19791666666666663  |  0.17857142857142863   |   0.595307917888563   |   0.595307917888563   |   0.2580645161290322   |  -0.3690476190476192   |          1.0          |          1.0          |
|            Conviction            |   2.246376811594203   |   2.0966183574879227  |   2.920289855072464   |   1.7971014492753623  |   0.8347826086956521   |   1.2173913043478262   |   2.471014492753623   |   2.471014492753623   |   1.3478260869565217   |   0.7304347826086954   |          inf          |          inf          |
|        Coverage (Support)        |  0.043478260869565216 |  0.04057971014492753  |  0.03768115942028986  |  0.034782608695652174 |  0.034782608695652174  |  0.034782608695652174  |  0.03188405797101449  |  0.03188405797101449  |  0.017391304347826087  |  0.017391304347826087  |  0.014492753623188406 |  0.014492753623188406 |
| Descriptive Confirmed Confidence |   0.6000000000000001  |   0.5714285714285714  |   0.6923076923076922  |          0.5          |   0.6666666666666667   |          0.5           |   0.6363636363636362  |   0.6363636363636362  |   0.3333333333333333   |   0.6666666666666667   |          1.0          |          1.0          |
|    Difference of Proportions     |  0.26060606060606073  |  0.24492878722485967  |   0.3069972196478219  |  0.20645645645645638  | -0.028528528528528496  |  0.056306306306306286  |  0.27626565051714747  |  0.27626565051714747  |  0.11799410029498525   |  -0.04572271386430671  |   0.5176470588235293  |   0.6970588235294117  |
|   Example and Counter Example    |          0.75         |   0.7272727272727273  |   0.8181818181818181  |   0.6666666666666666  |          0.8           |   0.6666666666666666   |   0.7777777777777778  |   0.7777777777777778  |          0.5           |          0.8           |          1.0          |          1.0          |
|         Imbalance Ratio          |   0.9067357512953368  |   0.9119170984455959  |   0.9218750000000001  |   0.9222797927461139  |   0.9531772575250836   |   0.9382716049382716   |   0.9322916666666665  |   0.9322916666666665  |   0.9583333333333335   |   0.9769736842105264   |   0.970414201183432   |   0.9537037037037037  |
|  Fisher's Exact Test (p-value)   |  0.03959153934918391  |  0.06003062738685916  |  0.025059424593073643 |  0.13122940031095198  |   0.7749157698764587   |   0.4775863672421955   |  0.06276580249132868  |  0.06276580249132868  |  0.44225253296465206   |   0.8418605133054919   |  0.027355984375069142 | 0.0028176295548140162 |
|         Hyper Confidence         |   0.9604084606508161  |   0.9399693726131408  |   0.9749405754069264  |   0.868770599689048   |  0.22508423012354128   |   0.5224136327578045   |   0.9372341975086713  |   0.9372341975086713  |   0.5577474670353479   |  0.15813948669450806   |   0.9726440156249309  |   0.997182370445186   |
|            Hyper Lift            |   1.0909090909090908  |          1.0          |          1.1          |          1.0          |   0.8333333333333334   |   0.8181818181818182   |          1.0          |          1.0          |          0.8           |   0.8333333333333334   |          1.25         |   1.6666666666666667  |
|   Laplace Corrected Confidence   |   0.7647058823529411  |          0.75         |          0.8          |   0.7142857142857143  |   0.7857142857142857   |   0.7142857142857143   |   0.7692307692307693  |   0.7692307692307693  |         0.625          |          0.75          |   0.8571428571428571  |   0.8571428571428571  |
|            Importance            |   0.5118833609788743  |  0.47712125471966244  |   0.6020599913279623  |   0.3979400086720376  |   0.5642714304385625   |   0.3979400086720376   |   0.5228787452803376  |   0.5228787452803376  |  0.22184874961635637   |  0.47712125471966244   |   0.7781512503836435  |   0.7781512503836435  |
|       Jaccard Coefficient        |  0.062176165803108814 |  0.056994818652849735 |  0.057291666666666664 |   0.0466321243523316  |  0.033444816053511704  |  0.037037037037037035  |        0.046875       |        0.046875       |  0.020833333333333332  |  0.01644736842105263   |  0.02958579881656805  |  0.046296296296296294 |
|            J-Measure             |  0.00258382014796973  |  0.002124850514312972 |  0.003248728049885278 | 0.0012852841574909203 | 4.541220786219099e-05  | 0.00010936656465633109 |  0.002207209508496759 |  0.002207209508496759 | 0.00021051949166868433 | 6.491204901000437e-05  |  0.004491773774776819 | 0.0073100773853090485 |
|              Kappa               |  0.03967704728950407  |   0.0348908699661851  |  0.04070973193025584  |  0.02533394748963608  | -0.0022919870924937185 |  0.005543237250554378  |  0.03115169185912683  |  0.03115169185912683  |  0.007346189164371066  | -0.0018063689071467755 |  0.03016798080219385  |  0.06252473288484368  |
|             Klosgen              |  0.046490094787633045 |  0.04196000447320607  |  0.05275215743666366  |  0.03218587457956424  | -0.004688079444758323  |  0.008777965794426613  |  0.043198231667117615 |  0.043198231667117615 |  0.012484218018740065  | -0.005408639776317167  |  0.061414232298827184 |  0.08269984690239797  |
|            Kulczynski            |  0.43157894736842106  |  0.42180451127819546  |   0.4520242914979756  |   0.3986842105263158  |   0.4335016835016835   |        0.39375         |  0.43277511961722487  |  0.43277511961722487  |   0.343859649122807    |   0.4249174917491749   |   0.514792899408284   |   0.5231481481481481  |
|     Goodman-Kruskal's Lambda     |   0.5345345345345345  |   0.5359281437125749  |   0.5359281437125749  |   0.5386904761904762  |   0.8567164179104478   |         0.6875         |   0.5386904761904762  |   0.5386904761904762  |   0.5454545454545454   |   0.8764705882352941   |  0.48235294117647065  |   0.3029411764705882  |
|       Least Contradiction        |  0.04736842105263158  |  0.042105263157894736 |  0.047368421052631574 |  0.03157894736842105  |  0.026936026936026935  |  0.024999999999999994  |  0.03684210526315789  |  0.03684210526315789  |  0.010526315789473684  |  0.013201320132013201  |  0.029585798816568046 |  0.046296296296296294 |
|        Lerman Similarity         |   1.3009413947545112  |   1.1848012280938198  |   1.4353501337493453  |   0.9302013758011402  |  -0.1028078924177314   |  0.22572347453581734   |   1.1953177032161533  |   1.1953177032161533  |   0.3826918985879519   |  -0.11742929716875833  |   1.6298392417765675  |   2.745439785084818   |
|        Piatetsky-Shapiro         |  0.01083805923125394  |  0.009535811804242806 |  0.011132115101869351 |  0.006931316950220541 | -0.0009577819785759299 | 0.0018903591682419632  |  0.00852762024784709  |  0.00852762024784709  | 0.0020163831127914308  | -0.0007813484562066795 |  0.007393404746901911 |  0.009955891619407686 |
|          Max Confidence          |          0.8          |   0.7857142857142857  |   0.846153846153846   |          0.75         |   0.8333333333333334   |          0.75          |   0.8181818181818181  |   0.8181818181818181  |   0.6666666666666666   |   0.8333333333333334   |          1.0          |          1.0          |
|            Odds Ratio            |   3.4157303370786516  |   3.1135940409683425  |   4.701117318435754   |   2.519337016574585   |   0.8013937282229965   |   1.3246753246753247   |   3.803867403314917   |   3.803867403314917   |   1.6451612903225807   |   0.6879194630872483   |          inf          |          inf          |
|   Phi Correlation Coefficient    |   0.1068426032711013  |  0.09715724630384083  |  0.11752560910584542  |  0.07604988457044148  |  0.015104044907792656  |  0.022421750104192978  |  0.09757842786644191  |  0.09757842786644191  |  0.031009382484409383  |  0.018279382254450402  |  0.12375379485228363  |   0.1796419823706735  |
|          Ralambondrainy          |  0.008695652173913044 |  0.008695652173913044 |  0.005797101449275362 |  0.008695652173913044 |  0.005797101449275362  |  0.008695652173913044  |  0.005797101449275362 |  0.005797101449275362 |  0.005797101449275362  |  0.002898550724637681  |          0.0          |          0.0          |
| Relative Linkage Disequilibrium  |   0.9999932592297996  |   0.999992338691142   |   0.9999956248482368  |   0.999989459926641   |   0.9997458057956279   |   0.9999613541505642   |   0.999994288602621   |   0.999994288602621   |   0.9999758459940581   |   0.9998441882206295   |          1.0          |          1.0          |
|          Relative Risk           |   1.4831460674157306  |   1.4529130087789304  |   1.569402664374731   |   1.3798342541436461  |   0.9668989547038328   |   1.0811688311688312   |   1.5097940733299848  |   1.5097940733299848  |   1.2150537634408602   |   0.9479865771812082   |   2.073170731707317   |   3.300970873786408   |
|        Rule Power Factor         |  0.027826086956521744 |  0.025051759834368532 |  0.026978818283166107 |  0.019565217391304346 |  0.024154589371980676  |  0.019565217391304346  |  0.02134387351778656  |  0.02134387351778656  |  0.007729468599033816  |  0.012077294685990338  |  0.014492753623188406 |  0.014492753623188406 |
|         Sebag-Schoenauer         |          4.0          |   3.6666666666666665  |          5.5          |          3.0          |          5.0           |          3.0           |          4.5          |          4.5          |          2.0           |          5.0           |          inf          |          inf          |
|              Yule Q              |   0.5470737913486005  |   0.5138071525577185  |   0.6491915727584517  |   0.4317111459968602  |  -0.11025145067698261  |   0.1396648044692737   |   0.5836687751581368  |   0.5836687751581368  |  0.24390243902439027   |  -0.1848906560636183   |          1.0          |          1.0          |
|              Yule Y              |  0.29779459014310034  |   0.2765517912734728  |   0.3687279200703645  |  0.22697604765067358  |  -0.05529426983341913  |  0.07017630684655178   |  0.32211445976672554  |  0.32211445976672554  |  0.12382092958579147   |  -0.09324917798723906  |          1.0          |          1.0          |
|         Weighted Support         |  0.043478260869565216 |  0.04057971014492753  |  0.03768115942028986  |  0.034782608695652174 |  0.034782608695652174  |  0.034782608695652174  |  0.03188405797101449  |  0.03188405797101449  |  0.017391304347826087  |  0.017391304347826087  |  0.014492753623188406 |  0.014492753623188406 |
|      Weighted Rule Support       |  0.034782608695652174 |  0.03188405797101449  |  0.03188405797101449  |  0.02608695652173913  |  0.028985507246376812  |  0.02608695652173913   |  0.02608695652173913  |  0.02608695652173913  |  0.011594202898550725  |  0.014492753623188406  |  0.014492753623188406 |  0.014492753623188406 |
|       Weighted Confidence        |          0.8          |   0.7857142857142857  |   0.846153846153846   |          0.75         |   0.8333333333333334   |          0.75          |   0.8181818181818181  |   0.8181818181818181  |   0.6666666666666666   |   0.8333333333333334   |          1.0          |          1.0          |
|          Weighted Lift           |   1.4526315789473685  |   1.4266917293233083  |   1.5364372469635625  |   1.361842105263158   |   0.968013468013468    |   1.0781249999999998   |   1.485645933014354   |   1.485645933014354   |   1.2105263157894737   |   0.9488448844884488   |   2.0414201183431953  |   3.194444444444444   |
|     Statistical Significance     |  0.024160339706084038 |  0.01103093498343478  |  0.002363085377681168 |  0.08426212390052656  |   0.0755937785981739   |  0.035679638940769004  |  0.039239116293122274 |   0.0550333567554027  |  0.01144499454202004   | 0.0010730635233147999  |  0.008538828039286135 | 0.0016300962150690474 |
