AHR_ECOLI,LCFA_ECOLI,Dodecanoyl_acyl_carrier_protein_hydrolase_chloroplastic,Fatty-acyl_CoA_reductase,A1U2T0,A1U3L3,values
1.0,0.0,0.0,0.0,2.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,0.0,0.0
1.0,0.0,0.0,0.0,2.0,0.0,0.02395
1.0,0.0,0.0,0.0,2.0,0.0,0.02353
0.0,0.0,0.0,0.0,2.0,0.0,0.02368
1.0,0.0,0.0,2.0,2.0,0.0,0.0
1.0,0.0,0.0,2.0,2.0,0.0,0.0
1.0,0.0,0.0,2.0,2.0,0.0,0.0
1.0,0.0,0.0,0.0,2.0,0.0,0.0
1.0,0.0,0.0,2.0,2.0,0.0,0.0
1.0,0.0,0.0,2.0,2.0,0.0,0.0
0.0,0.0,0.0,2.0,2.0,0.0,0.0
1.0,0.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,2.0,2.0,0.0,0.0
0.0,1.0,1.0,0.0,1.0,1.0,0.72127
0.0,1.0,2.0,0.0,0.0,1.0,0.65691
0.0,0.0,2.0,0.0,0.0,1.0,0.64397
0.0,0.0,1.0,2.0,1.0,1.0,0.6289
0.0,0.0,1.0,2.0,1.0,1.0,0.62889
0.0,1.0,0.0,2.0,0.0,2.0,0.63755
0.0,1.0,0.0,2.0,0.0,2.0,0.64773
0.0,1.0,0.0,0.0,0.0,2.0,0.65566
0.0,1.0,0.0,0.0,0.0,2.0,0.53039
0.0,1.0,0.0,0.0,0.0,2.0,0.54166
0.0,0.0,0.0,0.0,0.0,1.0,0.68117
0.0,0.0,0.0,0.0,1.0,2.0,0.6829
0.0,0.0,0.0,0.0,0.0,2.0,0.63582
1.0,1.0,0.0,2.0,1.0,2.0,0.63266
1.0,1.0,0.0,2.0,0.0,2.0,0.61611
2.0,1.0,1.0,2.0,1.0,2.0,0.66785
1.0,2.0,1.0,0.0,1.0,2.0,0.68394
1.0,2.0,1.0,0.0,2.0,2.0,0.6981
1.0,2.0,1.0,2.0,2.0,2.0,0.6788
1.0,1.0,0.0,2.0,0.0,2.0,0.7292
1.0,1.0,0.0,2.0,0.0,2.0,0.65291
0.0,1.0,0.0,2.0,0.0,2.0,0.74988
0.0,1.0,0.0,2.0,1.0,2.0,0.66226
0.0,1.0,0.0,2.0,1.0,2.0,0.73598
0.0,1.0,0.0,0.0,0.0,2.0,0.64032
1.0,2.0,0.0,0.0,0.0,2.0,0.19996
0.0,2.0,0.0,0.0,0.0,2.0,0.20065
1.0,2.0,2.0,0.0,1.0,0.0,0.02808
1.0,2.0,2.0,0.0,1.0,0.0,0.02529
0.0,2.0,2.0,0.0,1.0,0.0,0.02469
0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,2.0,1.0,0.0,1.0,0.0,0.0
0.0,1.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,1.0,0.0,1.0,0.0,0.02176
0.0,0.0,1.0,2.0,1.0,0.0,0.02127
0.0,0.0,1.0,0.0,1.0,0.0,0.02242
1.0,2.0,1.0,0.0,2.0,0.0,0.15592
1.0,2.0,1.0,0.0,2.0,0.0,0.15287
1.0,2.0,1.0,0.0,2.0,0.0,0.15298
1.0,1.0,0.0,2.0,2.0,0.0,0.15449
1.0,1.0,0.0,2.0,2.0,0.0,0.14858
1.0,1.0,0.0,0.0,2.0,0.0,0.13323
0.0,1.0,1.0,2.0,0.0,1.0,0.67474
0.0,1.0,2.0,0.0,1.0,1.0,0.4625
0.0,0.0,1.0,0.0,0.0,1.0,0.63397
0.0,1.0,2.0,0.0,0.0,1.0,0.63347
1.0,1.0,2.0,0.0,0.0,1.0,0.62905
2.0,2.0,2.0,2.0,0.0,0.0,0.05641
2.0,2.0,2.0,2.0,0.0,0.0,0.05002
