AHR_ECOLI,LCFA_ECOLI,Dodecanoyl_acyl_carrier_protein_hydrolase_chloroplastic,Fatty_acyl_CoA_reductase,A1U2T0,A1U3L3,values
2.0,0.0,0.0,0.0,2.0,0.0,0.0
2.0,0.0,0.0,0.0,2.0,0.0,0.0
1.0,0.0,0.0,0.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,4.0,1.0,0.0
1.0,0.0,0.0,0.0,4.0,0.0,0.0
1.0,0.0,0.0,0.0,4.0,0.0,0.02395
2.0,0.0,0.0,0.0,4.0,0.0,0.02353
1.0,0.0,0.0,0.0,4.0,0.0,0.02368
3.0,0.0,0.0,3.0,4.0,1.0,0.0
3.0,0.0,0.0,3.0,4.0,1.0,0.0
3.0,0.0,0.0,3.0,4.0,0.0,0.0
3.0,0.0,0.0,0.0,4.0,0.0,0.0
2.0,0.0,0.0,3.0,4.0,0.0,0.0
2.0,0.0,0.0,3.0,4.0,0.0,0.0
1.0,0.0,0.0,3.0,4.0,0.0,0.0
1.0,0.0,0.0,0.0,4.0,1.0,0.0
1.0,0.0,0.0,3.0,4.0,1.0,0.0
0.0,1.0,3.0,0.0,1.0,3.0,0.72127
0.0,1.0,3.0,0.0,0.0,3.0,0.65691
1.0,1.0,3.0,0.0,1.0,2.0,0.64397
1.0,1.0,3.0,2.0,1.0,2.0,0.6289
0.0,1.0,3.0,3.0,1.0,2.0,0.62889
0.0,1.0,1.0,2.0,1.0,3.0,0.63755
0.0,1.0,1.0,2.0,1.0,3.0,0.64773
0.0,1.0,1.0,0.0,0.0,3.0,0.65566
0.0,2.0,1.0,0.0,0.0,4.0,0.53039
1.0,2.0,1.0,0.0,0.0,4.0,0.54166
0.0,1.0,1.0,0.0,1.0,3.0,0.68117
0.0,1.0,1.0,0.0,1.0,3.0,0.6829
0.0,1.0,1.0,0.0,0.0,3.0,0.63582
2.0,2.0,1.0,2.0,2.0,3.0,0.63266
3.0,2.0,1.0,2.0,0.0,3.0,0.61611
3.0,2.0,1.0,3.0,2.0,3.0,0.66785
2.0,3.0,2.0,0.0,2.0,4.0,0.68394
3.0,3.0,2.0,0.0,2.0,4.0,0.6981
3.0,3.0,2.0,2.0,2.0,4.0,0.6788
2.0,2.0,1.0,3.0,0.0,3.0,0.7292
1.0,2.0,1.0,3.0,0.0,3.0,0.65291
0.0,2.0,1.0,3.0,1.0,3.0,0.74988
0.0,2.0,1.0,3.0,1.0,3.0,0.66226
1.0,2.0,1.0,3.0,1.0,3.0,0.73598
0.0,2.0,1.0,0.0,0.0,3.0,0.64032
2.0,4.0,1.0,0.0,1.0,4.0,0.19996
1.0,4.0,1.0,0.0,0.0,4.0,0.20065
1.0,3.0,4.0,0.0,2.0,1.0,0.02808
2.0,3.0,4.0,0.0,2.0,0.0,0.02529
0.0,3.0,4.0,0.0,2.0,0.0,0.02469
0.0,2.0,1.0,0.0,2.0,1.0,0.0
0.0,3.0,1.0,0.0,2.0,1.0,0.0
0.0,1.0,2.0,0.0,2.0,1.0,0.0
0.0,1.0,1.0,0.0,2.0,0.0,0.0
0.0,1.0,2.0,0.0,1.0,0.0,0.02176
0.0,1.0,2.0,2.0,1.0,0.0,0.02127
1.0,1.0,2.0,0.0,2.0,0.0,0.02242
2.0,4.0,1.0,0.0,3.0,0.0,0.15592
1.0,3.0,1.0,0.0,3.0,1.0,0.15287
1.0,4.0,1.0,0.0,3.0,0.0,0.15298
2.0,2.0,1.0,3.0,3.0,1.0,0.15449
2.0,2.0,1.0,3.0,3.0,1.0,0.14858
1.0,2.0,1.0,0.0,3.0,0.0,0.13323
1.0,1.0,2.0,2.0,0.0,3.0,0.67474
1.0,1.0,3.0,0.0,1.0,3.0,0.4625
0.0,1.0,3.0,0.0,0.0,2.0,0.63397
1.0,1.0,3.0,0.0,0.0,2.0,0.63347
1.0,2.0,3.0,0.0,1.0,3.0,0.62905
4.0,3.0,4.0,4.0,1.0,0.0,0.05641
4.0,3.0,4.0,4.0,0.0,0.0,0.05002
4.0,3.0,4.0,4.0,1.0,1.0,0.05149
4.0,4.0,4.0,4.0,1.0,0.0,0.02795
4.0,4.0,4.0,4.0,1.0,0.0,0.03272
4.0,4.0,4.0,4.0,0.0,0.0,0.09816
4.0,4.0,4.0,4.0,1.0,0.0,0.11483
4.0,4.0,4.0,4.0,1.0,0.0,0.10282
4.0,4.0,4.0,4.0,0.0,0.0,0.03961
4.0,4.0,4.0,4.0,1.0,1.0,0.03913
4.0,4.0,4.0,4.0,1.0,1.0,0.03932
4.0,2.0,1.0,4.0,0.0,0.0,0.01969
4.0,2.0,1.0,4.0,0.0,0.0,0.00792
4.0,2.0,1.0,4.0,1.0,0.0,0.00992
4.0,4.0,2.0,4.0,2.0,0.0,0.07135
4.0,4.0,1.0,4.0,2.0,0.0,0.07881
4.0,4.0,1.0,4.0,0.0,0.0,0.06607
4.0,4.0,2.0,4.0,2.0,0.0,0.00568
4.0,4.0,2.0,4.0,0.0,1.0,0.0067
4.0,4.0,2.0,4.0,1.0,0.0,0.00717
