names,values,assay_name
AHR_ECOLI,1624,C0-S9017-B1.1-R1
LCFA_ECOLI,1027,C0-S9017-B1.1-R1
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",0,C0-S9017-B1.1-R1
Fatty acyl-CoA reductase,0,C0-S9017-B1.1-R1
A1U2T0,25770,C0-S9017-B1.1-R1
A1U3L3,0,C0-S9017-B1.1-R1
AHR_ECOLI,1828,C0-S9017-B1.1-R2
LCFA_ECOLI,0,C0-S9017-B1.1-R2
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",0,C0-S9017-B1.1-R2
Fatty acyl-CoA reductase,0,C0-S9017-B1.1-R2
A1U2T0,21323,C0-S9017-B1.1-R2
A1U3L3,0,C0-S9017-B1.1-R2
AHR_ECOLI,382,C0-S9017-B1.2-R1
LCFA_ECOLI,15325,C0-S9017-B1.2-R1
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",0,C0-S9017-B1.2-R1
Fatty acyl-CoA reductase,0,C0-S9017-B1.2-R1
A1U2T0,1070799,C0-S9017-B1.2-R1
A1U3L3,0,C0-S9017-B1.2-R1
AHR_ECOLI,0,C0-S9017-B1.2-R2
LCFA_ECOLI,21035,C0-S9017-B1.2-R2
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",0,C0-S9017-B1.2-R2
Fatty acyl-CoA reductase,0,C0-S9017-B1.2-R2
A1U2T0,1178613,C0-S9017-B1.2-R2
A1U3L3,2575,C0-S9017-B1.2-R2
AHR_ECOLI,498,C0-S9017-B1.2-R3
LCFA_ECOLI,20178,C0-S9017-B1.2-R3
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",0,C0-S9017-B1.2-R3
Fatty acyl-CoA reductase,0,C0-S9017-B1.2-R3
A1U2T0,1123316,C0-S9017-B1.2-R3
A1U3L3,0,C0-S9017-B1.2-R3
AHR_ECOLI,777,C0-S9017-B1.3-R1
LCFA_ECOLI,22016,C0-S9017-B1.3-R1
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",0,C0-S9017-B1.3-R1
Fatty acyl-CoA reductase,0,C0-S9017-B1.3-R1
A1U2T0,867923,C0-S9017-B1.3-R1
A1U3L3,0,C0-S9017-B1.3-R1
AHR_ECOLI,1219,C0-S9017-B1.3-R2
LCFA_ECOLI,23955,C0-S9017-B1.3-R2
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",0,C0-S9017-B1.3-R2
Fatty acyl-CoA reductase,0,C0-S9017-B1.3-R2
A1U2T0,849827,C0-S9017-B1.3-R2
A1U3L3,0,C0-S9017-B1.3-R2
AHR_ECOLI,692,C0-S9017-B1.3-R3
LCFA_ECOLI,23428,C0-S9017-B1.3-R3
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",0,C0-S9017-B1.3-R3
Fatty acyl-CoA reductase,0,C0-S9017-B1.3-R3
A1U2T0,826175,C0-S9017-B1.3-R3
A1U3L3,0,C0-S9017-B1.3-R3
AHR_ECOLI,1915,C0-S9017-B2.3-R1
LCFA_ECOLI,41253,C0-S9017-B2.3-R1
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",547,C0-S9017-B2.3-R1
Fatty acyl-CoA reductase,1828,C0-S9017-B2.3-R1
A1U2T0,1264025,C0-S9017-B2.3-R1
A1U3L3,1056,C0-S9017-B2.3-R1
AHR_ECOLI,2339,C0-S9017-B2.3-R2
LCFA_ECOLI,43644,C0-S9017-B2.3-R2
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",14880,C0-S9017-B2.3-R2
Fatty acyl-CoA reductase,2583,C0-S9017-B2.3-R2
A1U2T0,1151913,C0-S9017-B2.3-R2
A1U3L3,1260,C0-S9017-B2.3-R2
AHR_ECOLI,1978,C0-S9017-B2.3-R3
LCFA_ECOLI,44733,C0-S9017-B2.3-R3
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",0,C0-S9017-B2.3-R3
Fatty acyl-CoA reductase,1676,C0-S9017-B2.3-R3
A1U2T0,1370618,C0-S9017-B2.3-R3
A1U3L3,0,C0-S9017-B2.3-R3
AHR_ECOLI,2158,C0-S9017-B2.4-R1
LCFA_ECOLI,43330,C0-S9017-B2.4-R1
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",0,C0-S9017-B2.4-R1
Fatty acyl-CoA reductase,0,C0-S9017-B2.4-R1
A1U2T0,2230581,C0-S9017-B2.4-R1
A1U3L3,583,C0-S9017-B2.4-R1
AHR_ECOLI,1819,C0-S9017-B2.4-R2
LCFA_ECOLI,43925,C0-S9017-B2.4-R2
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",0,C0-S9017-B2.4-R2
Fatty acyl-CoA reductase,2056,C0-S9017-B2.4-R2
A1U2T0,2323200,C0-S9017-B2.4-R2
A1U3L3,0,C0-S9017-B2.4-R2
AHR_ECOLI,1574,C0-S9017-B2.4-R3
LCFA_ECOLI,45408,C0-S9017-B2.4-R3
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",0,C0-S9017-B2.4-R3
Fatty acyl-CoA reductase,1973,C0-S9017-B2.4-R3
A1U2T0,1964492,C0-S9017-B2.4-R3
A1U3L3,0,C0-S9017-B2.4-R3
AHR_ECOLI,674,C0-S9017-B2.5-R1
LCFA_ECOLI,24620,C0-S9017-B2.5-R1
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",401,C0-S9017-B2.5-R1
Fatty acyl-CoA reductase,2049,C0-S9017-B2.5-R1
A1U2T0,746842,C0-S9017-B2.5-R1
A1U3L3,0,C0-S9017-B2.5-R1
AHR_ECOLI,881,C0-S9017-B2.5-R2
LCFA_ECOLI,23981,C0-S9017-B2.5-R2
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",0,C0-S9017-B2.5-R2
Fatty acyl-CoA reductase,0,C0-S9017-B2.5-R2
A1U2T0,820841,C0-S9017-B2.5-R2
A1U3L3,6099,C0-S9017-B2.5-R2
AHR_ECOLI,602,C0-S9017-B2.5-R3
LCFA_ECOLI,26673,C0-S9017-B2.5-R3
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",1299,C0-S9017-B2.5-R3
Fatty acyl-CoA reductase,1514,C0-S9017-B2.5-R3
A1U2T0,1035294,C0-S9017-B2.5-R3
A1U3L3,16169,C0-S9017-B2.5-R3
AHR_ECOLI,125,C1-S1-B1.1-R1
LCFA_ECOLI,111883,C1-S1-B1.1-R1
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",131969,C1-S1-B1.1-R1
Fatty acyl-CoA reductase,0,C1-S1-B1.1-R1
A1U2T0,1800,C1-S1-B1.1-R1
A1U3L3,159144,C1-S1-B1.1-R1
AHR_ECOLI,0,C1-S1-B1.1-R2
LCFA_ECOLI,109006,C1-S1-B1.1-R2
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",155128,C1-S1-B1.1-R2
Fatty acyl-CoA reductase,0,C1-S1-B1.1-R2
A1U2T0,0,C1-S1-B1.1-R2
A1U3L3,173165,C1-S1-B1.1-R2
AHR_ECOLI,594,C1-S1-B1.3-R1
LCFA_ECOLI,94257,C1-S1-B1.3-R1
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",142442,C1-S1-B1.3-R1
Fatty acyl-CoA reductase,0,C1-S1-B1.3-R1
A1U2T0,1099,C1-S1-B1.3-R1
A1U3L3,121953,C1-S1-B1.3-R1
AHR_ECOLI,544,C1-S1-B1.3-R2
LCFA_ECOLI,86387,C1-S1-B1.3-R2
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",137559,C1-S1-B1.3-R2
Fatty acyl-CoA reductase,579,C1-S1-B1.3-R2
A1U2T0,1965,C1-S1-B1.3-R2
A1U3L3,110232,C1-S1-B1.3-R2
AHR_ECOLI,0,C1-S1-B1.3-R3
LCFA_ECOLI,92864,C1-S1-B1.3-R3
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",140317,C1-S1-B1.3-R3
Fatty acyl-CoA reductase,2727,C1-S1-B1.3-R3
A1U2T0,2138,C1-S1-B1.3-R3
A1U3L3,116728,C1-S1-B1.3-R3
AHR_ECOLI,0,C1-S10-B1.3-R1
LCFA_ECOLI,106078,C1-S10-B1.3-R1
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",77657,C1-S10-B1.3-R1
Fatty acyl-CoA reductase,644,C1-S10-B1.3-R1
A1U2T0,736,C1-S10-B1.3-R1
A1U3L3,499232,C1-S10-B1.3-R1
AHR_ECOLI,0,C1-S10-B1.3-R2
LCFA_ECOLI,102990,C1-S10-B1.3-R2
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",74213,C1-S10-B1.3-R2
Fatty acyl-CoA reductase,610,C1-S10-B1.3-R2
A1U2T0,376,C1-S10-B1.3-R2
A1U3L3,532764,C1-S10-B1.3-R2
AHR_ECOLI,0,C1-S10-B1.3-R3
LCFA_ECOLI,100254,C1-S10-B1.3-R3
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",74197,C1-S10-B1.3-R3
Fatty acyl-CoA reductase,0,C1-S10-B1.3-R3
A1U2T0,0,C1-S10-B1.3-R3
A1U3L3,503145,C1-S10-B1.3-R3
AHR_ECOLI,0,C1-S11-B1.1-R1
LCFA_ECOLI,131484,C1-S11-B1.1-R1
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",73491,C1-S11-B1.1-R1
Fatty acyl-CoA reductase,0,C1-S11-B1.1-R1
A1U2T0,0,C1-S11-B1.1-R1
A1U3L3,686451,C1-S11-B1.1-R1
AHR_ECOLI,380,C1-S11-B1.1-R2
LCFA_ECOLI,127385,C1-S11-B1.1-R2
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",76212,C1-S11-B1.1-R2
Fatty acyl-CoA reductase,0,C1-S11-B1.1-R2
A1U2T0,0,C1-S11-B1.1-R2
A1U3L3,736006,C1-S11-B1.1-R2
AHR_ECOLI,0,C1-S11-B1.2-R1
LCFA_ECOLI,87148,C1-S11-B1.2-R1
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",61346,C1-S11-B1.2-R1
Fatty acyl-CoA reductase,0,C1-S11-B1.2-R1
A1U2T0,1149,C1-S11-B1.2-R1
A1U3L3,360114,C1-S11-B1.2-R1
AHR_ECOLI,331,C1-S11-B1.2-R2
LCFA_ECOLI,78968,C1-S11-B1.2-R2
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",69825,C1-S11-B1.2-R2
Fatty acyl-CoA reductase,0,C1-S11-B1.2-R2
A1U2T0,3377,C1-S11-B1.2-R2
A1U3L3,405148,C1-S11-B1.2-R2
AHR_ECOLI,0,C1-S11-B1.2-R3
LCFA_ECOLI,84297,C1-S11-B1.2-R3
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",67842,C1-S11-B1.2-R3
Fatty acyl-CoA reductase,0,C1-S11-B1.2-R3
A1U2T0,0,C1-S11-B1.2-R3
A1U3L3,400045,C1-S11-B1.2-R3
AHR_ECOLI,1535,C1-S11-B2.3-R1
LCFA_ECOLI,135925,C1-S11-B2.3-R1
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",81518,C1-S11-B2.3-R1
Fatty acyl-CoA reductase,475,C1-S11-B2.3-R1
A1U2T0,6237,C1-S11-B2.3-R1
A1U3L3,543544,C1-S11-B2.3-R1
AHR_ECOLI,2090,C1-S11-B2.3-R2
LCFA_ECOLI,137966,C1-S11-B2.3-R2
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",80815,C1-S11-B2.3-R2
Fatty acyl-CoA reductase,538,C1-S11-B2.3-R2
A1U2T0,0,C1-S11-B2.3-R2
A1U3L3,516922,C1-S11-B2.3-R2
AHR_ECOLI,3012,C1-S11-B2.3-R3
LCFA_ECOLI,135445,C1-S11-B2.3-R3
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",83388,C1-S11-B2.3-R3
Fatty acyl-CoA reductase,1831,C1-S11-B2.3-R3
A1U2T0,6175,C1-S11-B2.3-R3
A1U3L3,530792,C1-S11-B2.3-R3
AHR_ECOLI,1184,C1-S11-B2.4-R1
LCFA_ECOLI,217404,C1-S11-B2.4-R1
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",105854,C1-S11-B2.4-R1
Fatty acyl-CoA reductase,0,C1-S11-B2.4-R1
A1U2T0,6728,C1-S11-B2.4-R1
A1U3L3,937286,C1-S11-B2.4-R1
AHR_ECOLI,2373,C1-S11-B2.4-R2
LCFA_ECOLI,219170,C1-S11-B2.4-R2
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",116151,C1-S11-B2.4-R2
Fatty acyl-CoA reductase,0,C1-S11-B2.4-R2
A1U2T0,27669,C1-S11-B2.4-R2
A1U3L3,944820,C1-S11-B2.4-R2
AHR_ECOLI,2177,C1-S11-B2.4-R3
LCFA_ECOLI,211659,C1-S11-B2.4-R3
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",117200,C1-S11-B2.4-R3
Fatty acyl-CoA reductase,632,C1-S11-B2.4-R3
A1U2T0,26890,C1-S11-B2.4-R3
A1U3L3,878773,C1-S11-B2.4-R3
AHR_ECOLI,1085,C1-S11-B2.5-R1
LCFA_ECOLI,157833,C1-S11-B2.5-R1
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",67305,C1-S11-B2.5-R1
Fatty acyl-CoA reductase,1681,C1-S11-B2.5-R1
A1U2T0,0,C1-S11-B2.5-R1
A1U3L3,454633,C1-S11-B2.5-R1
AHR_ECOLI,894,C1-S11-B2.5-R1-IPTG0.5
LCFA_ECOLI,146235,C1-S11-B2.5-R1-IPTG0.5
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",73874,C1-S11-B2.5-R1-IPTG0.5
Fatty acyl-CoA reductase,1461,C1-S11-B2.5-R1-IPTG0.5
A1U2T0,0,C1-S11-B2.5-R1-IPTG0.5
A1U3L3,442981,C1-S11-B2.5-R1-IPTG0.5
AHR_ECOLI,0,C1-S11-B2.5-R2
LCFA_ECOLI,164543,C1-S11-B2.5-R2
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",66426,C1-S11-B2.5-R2
Fatty acyl-CoA reductase,1479,C1-S11-B2.5-R2
A1U2T0,1543,C1-S11-B2.5-R2
A1U3L3,480334,C1-S11-B2.5-R2
AHR_ECOLI,0,C1-S11-B2.5-R2-IPTG0.5
LCFA_ECOLI,123769,C1-S11-B2.5-R2-IPTG0.5
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",68796,C1-S11-B2.5-R2-IPTG0.5
Fatty acyl-CoA reductase,1078,C1-S11-B2.5-R2-IPTG0.5
