names,values,assay_name
dodecan-1-ol,0.72127,C1-S1-B1.1-R1
hexadecan-1-ol,0.03371,C1-S1-B1.1-R1
octadecan-1-ol,0.07051,C1-S1-B1.1-R1
tetradecan-1-ol,0.05971,C1-S1-B1.1-R1
dodecan-1-ol,0.65691,C1-S1-B1.1-R2
hexadecan-1-ol,0.01871,C1-S1-B1.1-R2
octadecan-1-ol,0.07039,C1-S1-B1.1-R2
tetradecan-1-ol,0.05397,C1-S1-B1.1-R2
dodecan-1-ol,0.67474,C1-S2-B1.1-R1
hexadecan-1-ol,0.03229,C1-S2-B1.1-R1
octadecan-1-ol,0.06985,C1-S2-B1.1-R1
tetradecan-1-ol,0.05791,C1-S2-B1.1-R1
dodecan-1-ol,0.4625,C1-S2-B1.1-R2
hexadecan-1-ol,0.02989,C1-S2-B1.1-R2
octadecan-1-ol,0.06489,C1-S2-B1.1-R2
tetradecan-1-ol,0.04364,C1-S2-B1.1-R2
dodecan-1-ol,0.46831,C1-S4-B1.1-R1
hexadecan-1-ol,0.02082,C1-S4-B1.1-R1
octadecan-1-ol,0.06906,C1-S4-B1.1-R1
tetradecan-1-ol,0.03705,C1-S4-B1.1-R1
dodecan-1-ol,0.46912,C1-S4-B1.1-R2
hexadecan-1-ol,0.02177,C1-S4-B1.1-R2
octadecan-1-ol,0.06909,C1-S4-B1.1-R2
tetradecan-1-ol,0.04123,C1-S4-B1.1-R2
dodecan-1-ol,0.77272,C1-S8-B1.1-R1
hexadecan-1-ol,0.02035,C1-S8-B1.1-R1
octadecan-1-ol,0.07286,C1-S8-B1.1-R1
tetradecan-1-ol,0.06881,C1-S8-B1.1-R1
dodecan-1-ol,0.78618,C1-S8-B1.1-R2
hexadecan-1-ol,0.0188,C1-S8-B1.1-R2
octadecan-1-ol,0.07374,C1-S8-B1.1-R2
tetradecan-1-ol,0.06743,C1-S8-B1.1-R2
dodecan-1-ol,0.47953,C1-S9-B1.1-R1
hexadecan-1-ol,0.01766,C1-S9-B1.1-R1
octadecan-1-ol,0.05746,C1-S9-B1.1-R1
tetradecan-1-ol,0.05314,C1-S9-B1.1-R1
dodecan-1-ol,0.49699,C1-S9-B1.1-R2
hexadecan-1-ol,0.01856,C1-S9-B1.1-R2
octadecan-1-ol,0.0568,C1-S9-B1.1-R2
tetradecan-1-ol,0.05477,C1-S9-B1.1-R2
dodecan-1-ol,0.53039,C1-S11-B1.1-R1
hexadecan-1-ol,0.03478,C1-S11-B1.1-R1
octadecan-1-ol,0.08272,C1-S11-B1.1-R1
tetradecan-1-ol,0.05492,C1-S11-B1.1-R1
dodecan-1-ol,0.54166,C1-S11-B1.1-R2
hexadecan-1-ol,0.03558,C1-S11-B1.1-R2
octadecan-1-ol,0.08511,C1-S11-B1.1-R2
tetradecan-1-ol,0.06059,C1-S11-B1.1-R2
dodecan-1-ol,0.19996,C1-S12-B1.1-R1
hexadecan-1-ol,0.01768,C1-S12-B1.1-R1
octadecan-1-ol,0.05344,C1-S12-B1.1-R1
tetradecan-1-ol,0.01551,C1-S12-B1.1-R1
dodecan-1-ol,0.20065,C1-S12-B1.1-R2
hexadecan-1-ol,0.01761,C1-S12-B1.1-R2
octadecan-1-ol,0.05348,C1-S12-B1.1-R2
tetradecan-1-ol,0.01555,C1-S12-B1.1-R2
dodecan-1-ol,0,C1-S15-B1.1-R1
hexadecan-1-ol,0.04303,C1-S15-B1.1-R1
octadecan-1-ol,0.10969,C1-S15-B1.1-R1
tetradecan-1-ol,0.00573,C1-S15-B1.1-R1
dodecan-1-ol,0,C1-S15-B1.1-R2
hexadecan-1-ol,0.08245,C1-S15-B1.1-R2
octadecan-1-ol,0.26874,C1-S15-B1.1-R2
tetradecan-1-ol,0.03347,C1-S15-B1.1-R2
