+----------------------------------+------------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+
|              Metric              |           P1           |           P2           |           P3           |           P4           |           P5          |           P6          |
+----------------------------------+------------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+
|  Outcome selected for analysis   |           1            |           1            |           1            |           1            |           1           |           1           |
|         Information Gain         |  0.15585820196369177   |   0.3484336626193037   |  0.41251635860113006   |  0.17247444021726452   |  0.014616065407354512 |  0.22257017836358856  |
|           Chi-squared            |   40.68488476210239    |   51.26153846153847    |    64.9171863307558    |   21.28982265019615    |   3.1459770114942534  |   25.37888769725754   |
|            Gini index            |  0.08305814157763317   |  0.10173010380622849   |  0.11857343996979908   |  0.041883931748317366  | 0.0046373113139778765 |  0.05328310543568712  |
|      Difference in Support       |  0.38681781847249463   |   0.3076923076923077   |   0.3552631578947369   |   0.2080536912751678   |  0.09722222222222227  |  0.19672131147540986  |
|          Bigger Support          |  0.46762589928057546   |   0.3076923076923077   |   0.3552631578947369   |   0.2080536912751678   |  0.22222222222222227  |  0.19672131147540986  |
|            Confidence            |   0.8904109589041095   |          1.0           |          1.0           |          1.0           |   0.6571428571428571  |          1.0          |
|          All-Confidence          |  0.46762589928057546   |   0.3076923076923077   |   0.3552631578947369   |   0.2080536912751678   |         0.125         |  0.19672131147540986  |
|               Lift               |   1.5245885483394104   |   2.6153846153846154   |   3.131578947368421    |   1.5973154362416109   |          0.85         |   1.9508196721311477  |
|        Standardised Lift         |   0.8888888888888888   |          1.0           |   0.9999999999999999   |   1.0000000000000002   |   0.6470588235294117  |          1.0          |
|       Collective Strength        |   1.763840504585161    |   1.3859237536656892   |   1.3775930386139386   |   1.3771453682353627   |   0.9880156462396316  |   1.3122017980349314  |
|              Cosine              |   0.6452745348972124   |   0.5547001962252291   |   0.5960395606792698   |   0.4561290291958711   |   0.2866057521105554  |   0.4435327625727437  |
|         Interestingness          |   0.4159014228013652   |   0.3075402106543975   |   0.3550938177128437   |   0.2079398281223267   |  0.08210950346525164  |  0.19663796087383847  |
|        Comprehensibility         |          0.5           |   0.3868528072345416   |   0.3868528072345416   |  0.43067655807339306   |          0.5          |  0.43067655807339306  |
|           Completeness           |  0.46762589928057546   |   0.3076923076923077   |   0.3552631578947369   |   0.2080536912751678   |         0.125         |  0.19672131147540986  |
|           Added Value            |   0.3063773454587313   |   0.6176470588235294   |   0.680672268907563    |   0.3739495798319328   |  -0.11596638655462188 |   0.4873949579831933  |
|        Casual Confidence         |   0.6421751764217517   |   0.5666666666666667   |   0.5639810426540285   |   0.5748792270531401   |   0.3852216748768473  |   0.5560747663551402  |
|          Casual Support          |   0.6554621848739495   |   0.7352941176470589   |   0.7941176470588236   |   0.5042016806722689   |   0.273109243697479   |   0.5882352941176471  |
|         Certainty Factor         |   0.7365435173654349   |          1.0           |          1.0           |          1.0           |  -0.5111111111111113  |          1.0          |
|            Conviction            |   3.795693277310925    |          inf           |          inf           |          inf           |   0.6617647058823528  |          inf          |
|        Coverage (Support)        |   0.3067226890756303   |  0.11764705882352941   |   0.1134453781512605   |  0.13025210084033614   |  0.14705882352941177  |  0.10084033613445378  |
| Descriptive Confirmed Confidence |   0.7808219178082191   |          1.0           |          1.0           |          1.0           |   0.3142857142857143  |          1.0          |
|    Difference of Proportions     |   0.441926110419261    |          0.7           |   0.7677725118483412   |  0.42995169082125606   |  -0.13596059113300496 |   0.5420560747663552  |
|   Example and Counter Example    |   0.8769230769230769   |          1.0           |          1.0           |          1.0           |   0.4782608695652174  |          1.0          |
|         Imbalance Ratio          |   0.4489795918367347   |   0.6923076923076923   |   0.644736842105263    |   0.7919463087248322   |   0.7602040816326531  |   0.8032786885245902  |
