+----------------------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+----------------------+-----------------------+
|              Metric              |           P1           |           P2           |           P3           |           P4          |           P5          |          P6          |           P7          |
+----------------------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+----------------------+-----------------------+
|  Outcome selected for analysis   |           1            |           1            |           1            |           1           |           1           |          1           |           1           |
|         Information Gain         |   0.3178266242987497   |   0.145562283676669    |  0.17247444021726452   |  0.014616065407354512 |   0.0666445774803345  | 0.04722914436975428  |  0.003397259373134579 |
|           Chi-squared            |   66.19284885266373    |   29.472554111048176   |   21.28982265019615    |   3.1459770114942534  |   10.616793171212933  |  3.619216748814458   |   0.1964152159896841  |
|            Gini index            |  0.12836665860640162   |  0.06093334725262822   |  0.041883931748317366  | 0.0046373113139778765 |  0.020029824894611553 | 0.006786733433612899 | 0.0002739063539855535 |
|      Difference in Support       |  0.41049571603427176   |  0.28243398392652125   |   0.2080536912751678   |  0.09722222222222227  |  0.15404576551073365  | 0.057120253164556975 |  0.011914893617021284 |
|          Bigger Support          |   0.4302325581395349   |   0.3208955223880597   |   0.2080536912751678   |  0.22222222222222227  |  0.19108280254777069  | 0.06962025316455697  |  0.03191489361702128  |
|            Confidence            |   0.9249999999999999   |   0.9148936170212766   |          1.0           |   0.6571428571428571  |   0.9090909090909091  |  0.9166666666666667  |   0.8571428571428572  |
|          All-Confidence          |   0.4302325581395349   |   0.3208955223880597   |   0.2080536912751678   |         0.125         |  0.19108280254777069  | 0.06962025316455697  |  0.03191489361702128  |
|               Lift               |   2.5598837209302325   |   1.6249603048586851   |   1.5973154362416109   |          0.85         |   1.3781123335263463  |  1.3808016877637133  |   1.0851063829787235  |
|        Standardised Lift         |   0.923076923076923    |   0.9130434782608695   |   1.0000000000000002   |   0.6470588235294117  |        0.90625        |  0.9090909090909092  |   0.8333333333333336  |
|       Collective Strength        |   1.5336367009792586   |   1.5247513379182709   |   1.3771453682353627   |   0.9880156462396316  |   1.3170086853718992  |  1.1222635303957669  |     1.044877501896    |
|              Cosine              |   0.630844764010188    |   0.541835090376716    |   0.4561290291958711   |   0.2866057521105554  |   0.4167872822913285  | 0.25262336669604396  |   0.1653953539259914  |
|         Interestingness          |   0.3977051644871355   |   0.2933623966090274   |   0.2079398281223267   |  0.08210950346525164  |  0.17361963689389376  | 0.06380617213378278  |  0.027352725463509208 |
|        Comprehensibility         |   0.3868528072345416   |  0.43067655807339306   |  0.43067655807339306   |          0.5          |          0.5          |  0.3868528072345416  |   0.3868528072345416  |
|           Completeness           |   0.4302325581395349   |   0.3208955223880597   |   0.2080536912751678   |         0.125         |  0.19108280254777069  | 0.06962025316455697  |  0.03191489361702128  |
|           Added Value            |   0.563655462184874    |   0.351868406937243    |   0.3739495798319328   |  -0.11596638655462188 |  0.24942704354469059  |  0.2528011204481794  |  0.06722689075630262  |
|        Casual Confidence         |   0.5559343434343434   |   0.5700122535368163   |   0.5748792270531401   |   0.3852216748768473  |   0.5277161862527716  | 0.48266961651917406  |   0.4415584415584416  |
|          Casual Support          |   0.7815126050420168   |   0.6008403361344538   |   0.5042016806722689   |   0.273109243697479   |   0.453781512605042   | 0.37815126050420167  |   0.2310924369747899  |
|         Certainty Factor         |   0.8825657894736842   |   0.8052373158756138   |          1.0           |  -0.5111111111111113  |   0.7328843995510661  |  0.7520833333333335  |   0.3200000000000004  |
|            Conviction            |   8.515406162464986    |   5.134453781512605    |          inf           |   0.6617647058823528  |   3.7436974789915967  |  4.033613445378152   |   1.4705882352941178  |
|        Coverage (Support)        |  0.16806722689075632   |  0.19747899159663865   |  0.13025210084033614   |  0.14705882352941177  |  0.13865546218487396  | 0.05042016806722689  |  0.029411764705882353 |
| Descriptive Confirmed Confidence |          0.85          |   0.8297872340425532   |          1.0           |   0.3142857142857143  |   0.8181818181818181  |  0.8333333333333334  |   0.7142857142857144  |
|    Difference of Proportions     |   0.6775252525252524   |   0.4384538264453604   |  0.42995169082125606   |  -0.13596059113300496 |  0.28957871396895785  | 0.26622418879056053  |  0.06926406926406936  |
|   Example and Counter Example    |   0.9189189189189189   |   0.9069767441860466   |          1.0           |   0.4782608695652174  |          0.9          |  0.9090909090909092  |   0.8333333333333334  |
|         Imbalance Ratio          |   0.5168539325842696   |   0.6304347826086956   |   0.7919463087248322   |   0.7602040816326531  |         0.775         |  0.9182389937106917  |   0.9576719576719577  |
|  Fisher's Exact Test (p-value)   | 5.551115123125783e-16  | 8.221988201384534e-09  | 1.3290173406232952e-07 |   0.9732115756357107  | 0.0004883664848640556 | 0.04766851826257501  |   0.5476457753973198  |
|         Hyper Confidence         |   0.9999999999999994   |   0.9999999917780118   |   0.9999998670982659   |   0.0267884243642893  |   0.9995116335151359  |  0.952331481737425   |  0.45235422460268015  |
|            Hyper Lift            |   1.9473684210526316   |   1.3870967741935485   |   1.3478260869565217   |   0.7419354838709677  |   1.1538461538461537  |         1.1          |   0.8571428571428571  |
|   Laplace Corrected Confidence   |   0.9047619047619048   |   0.8979591836734694   |   0.9696969696969697   |   0.6486486486486487  |   0.8857142857142857  |  0.8571428571428571  |   0.7777777777777778  |
|            Importance            |   0.9777236052888477   |   0.9444826721501685   |   1.5051499783199058   |  0.26626788940476925  |   0.8893017025063101  |  0.7781512503836435  |   0.5440680443502756  |
|       Jaccard Coefficient        |   0.4157303370786517   |   0.3115942028985508   |   0.2080536912751678   |   0.1173469387755102  |  0.18749999999999997  | 0.06918238993710692  |  0.03174603174603175  |
|            J-Measure             |  0.05173753245350193   |  0.026152359357267063  |  0.02649206448727468   | 0.0022192944478968274 |  0.010330404805590368 | 0.003931723215783736 | 0.0001905160574771004 |
