+----------------------------------+-----------------------+-----------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+------------------------+-----------------------+------------------------+-----------------------+-----------------------+------------------------+-----------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+
|              Metric              |           P1          |           P2          |           P3           |           P4           |           P5           |           P6          |           P7          |           P8           |           P9           |          P10          |          P11           |          P12          |          P13          |          P14           |          P15          |          P16           |          P17           |          P18          |          P19          |          P20           |
+----------------------------------+-----------------------+-----------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+------------------------+-----------------------+------------------------+-----------------------+-----------------------+------------------------+-----------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+
|  Outcome selected for analysis   |           1           |           1           |           1            |           1            |           1            |           1           |           1           |           1            |           1            |           1           |           1            |           1           |           1           |           1            |           1           |           1            |           1            |           1           |           1           |           1            |
|         Information Gain         |  0.008024185901021918 |  0.04575719053646234  |  0.35109638504439444   |  0.013495529296619185  |   0.3213479854188005   |  0.10133794258081187  |  0.05665966782044881  |  0.21267539476686786   |   0.3423289447791349   |  0.19564620041013447  |  0.35743258507755893   |  0.06998294847993536  |  0.27282652987110084  |   0.1404742663569867   |   0.2567698717888796  | 0.0001281281910097161  |   0.3463683254864264   |  0.02284722570186943  |  0.17922447200114144  |  0.002588248778536991  |
|           Chi-squared            |   1.4411902844873867  |   9.227154631084247   |   50.986421002183285   |   1.4881048813415956   |   42.358390898008935   |   12.036467889908257  |   6.918922018348623   |   16.552263374485594   |   49.505427117618126   |   17.40731399747794   |   42.20940170940171    |    7.40602439631566   |   32.90020926756353   |   10.450298953662184   |   23.679932735426004  |  0.013473731884057972  |   35.096119402985074   |   1.2527778373496703  |   5.913825006608513   |  0.10050336137292655   |
|            Gini index            |  0.002124379163430057 |  0.013601240063171038 |  0.10030669641706713   |  0.002193533384833357  |   0.084407154835546    |  0.025199200025396107 |  0.014238906571803045 |  0.03447653571232406   |   0.078437399915403    |  0.03654674539499056  |  0.07484260672594822   |  0.015277604254371413 |  0.056422927915560916 |  0.020985445088085336  |  0.04788937468946952  | 1.9860885530575967e-05 |  0.05965256690911647   | 0.0023635122498197603 |  0.011999369883700317 | 0.00018484015023802203 |
|      Difference in Support       |  0.06501610305958128  |  0.15378421900161035  |  0.30337078651685395   |  0.04991948470209339   |   0.2608695652173913   |         0.125         |  0.09558823529411764  |  0.12037037037037038   |   0.2777153558052434   |  0.13934426229508198  |   0.2361111111111111   |  0.09169363538295577  |          0.2          |  0.10416666666666667   |        0.15625        |  0.004227053140096609  |  0.19402985074626866   |  0.02587088149720846  |  0.041237113402061855 |  0.00564652738565782   |
|          Bigger Support          |   0.1576086956521739  |  0.24074074074074078  |  0.30337078651685395   |  0.08695652173913043   |   0.2608695652173913   |  0.14285714285714285  |         0.125         |  0.12037037037037038   |   0.2833333333333333   |  0.13934426229508198  |   0.2361111111111111   |   0.1111111111111111  |   0.2058823529411765  |  0.10416666666666667   |        0.15625        |  0.059782608695652176  |  0.19402985074626866   |  0.03821656050955414  |  0.041237113402061855 |  0.018633540372670808  |
|            Confidence            |   0.8529411764705883  |   0.5517241379310345  |          1.0           |   0.888888888888889    |          1.0           |   0.8999999999999999  |   0.8499999999999999  |          1.0           |   0.9444444444444444   |          1.0          |          1.0           |   0.8823529411764706  |   0.9333333333333333  |          1.0           |          1.0          |   0.7857142857142858   |          1.0           |   0.8571428571428572  |          1.0          |          0.75          |
|          All-Confidence          |   0.1576086956521739  |  0.08695652173913043  |  0.30337078651685395   |  0.08695652173913043   |   0.2608695652173913   |  0.14285714285714285  |         0.125         |  0.12037037037037038   |   0.2833333333333333   |  0.13934426229508198  |   0.2361111111111111   |   0.1111111111111111  |   0.2058823529411765  |  0.10416666666666667   |        0.15625        |  0.059782608695652176  |  0.19402985074626866   |  0.03821656050955414  |  0.041237113402061855 |  0.018633540372670808  |
|               Lift               |   1.1032608695652173  |   0.7136431784107946  |   2.674157303370787    |   1.1497584541062802   |   2.5869565217391304   |   1.6999999999999997  |   1.4874999999999998  |   2.2037037037037037   |   3.7462962962962965   |   1.9508196721311475  |   3.305555555555556    |   1.5555555555555556  |   3.2666666666666666  |   1.652777777777778    |   2.4791666666666665  |   1.016304347826087    |   3.5522388059701493   |   1.2993630573248407  |   2.4536082474226806  |   1.108695652173913    |
|        Standardised Lift         |   0.8484848484848484  |   0.5357142857142857  |   1.0000000000000002   |   0.8823529411764706   |          1.0           |   0.894736842105263   |   0.8421052631578947  |          1.0           |   0.9411764705882353   |   0.9999999999999999  |          1.0           |         0.875         |   0.9285714285714286  |          1.0           |          1.0          |   0.7692307692307693   |          1.0           |   0.8333333333333333  |          1.0          |   0.6666666666666667   |
