+----------------------------------+------------------------+------------------------+-----------------------+------------------------+-----------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+------------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+-----------------------+----------------------+----------------------+----------------------+------------------------+-----------------------+-----------------------+
|              Metric              |           P1           |           P2           |           P3          |           P4           |           P5          |           P6           |           P7           |           P8           |           P9          |          P10          |          P11           |          P12           |          P13           |          P14           |          P15           |          P16          |          P17          |          P18          |         P19          |         P20          |         P21          |          P22           |          P23          |          P24          |
+----------------------------------+------------------------+------------------------+-----------------------+------------------------+-----------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+------------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+-----------------------+----------------------+----------------------+----------------------+------------------------+-----------------------+-----------------------+
|  Outcome selected for analysis   |           1            |           1            |           1           |           1            |           1           |           1            |           1            |           1            |           1           |           1           |           1            |           1            |           1            |           1            |           1            |           1           |           1           |           1           |          1           |          1           |          1           |           1            |           1           |           1           |
|         Information Gain         |  0.07842848336984884   |   0.2621956150789271   |   0.3292182008841629  |  0.23638521869525161   | 0.0020793015181335183 |   0.368111401096595    |   0.3463683254864264   |  0.27124345122864857   |  0.23033410529372259  |  0.15999881479599237  |   0.3098804777484755   |  0.34648880281113786   |  0.001079138247484936  |  0.004740196115636533  |   0.2886773581677127   |  0.03334431251876116  |  0.29006963735010477  |   0.3214596762908162  |  0.1771618863491524  | 0.16509674372553387  |  0.1831426385593047  |  0.008313347997938888  |  0.08175258399136695  |   0.239221171381914   |
|           Chi-squared            |   12.88395726490299    |   48.553155339805826   |   43.89283489096574   |   18.369491834686613   |  0.32815516131997435  |   41.72034243783123    |   35.096119402985074   |   27.557894736842112   |   16.764521549570826  |   13.124299158238315  |   23.872906211301572   |   29.028760728805896   |    0.08658138582057    |   0.5118226736584224   |   24.95840707964602    |   2.6893573157354034  |   22.68654970760234   |   25.430403930131007  |  5.811965811965813   |   4.26589297227595   |  4.996312056737589   |   0.3018649855529288   |   1.6572533849129596  |   7.754461733883773   |
|            Gini index            |  0.026302582712125405  |  0.09367569843471374   |  0.08673551883645159  |  0.03727237901928093   | 0.0004642908730731893 |  0.07026181614824778   |  0.05965256690911647   |  0.055539863004025025  |  0.034015834890577024 |  0.025451728679087682 |  0.04057656969800494   |  0.044960188031030524  | 0.00010964228143516691 | 0.0007544495928086259  |  0.046801854526297815  |  0.005505879705883537 |  0.04114494094851562  |  0.042012797926773815 | 0.011829769615236962 | 0.008708815190656971 | 0.009873085654787617 | 0.0004147341039043781  |  0.003180446145917601 |  0.013180190724599972 |
|      Difference in Support       |   0.1610348085168229   |   0.3215686274509804   |  0.26666666666666666  |  0.12371134020618557   |   0.0267379679144385  |  0.22727272727272727   |  0.19402985074626866   |   0.1789473684210526   |  0.11340206185567012  |   0.0980722154222766  |  0.13432835820895522   |  0.15517241379310345   |  0.009372071227741328  |  0.02516103059581322   |          0.15          |  0.045217391304347807 |  0.13333333333333336  |        0.140625       | 0.04081632653061224  | 0.030303030303030304 | 0.03333333333333333  |  0.009826152683295536  |  0.01948051948051948  |  0.04477611940298508  |
|          Bigger Support          |   0.2014388489208633   |   0.3411764705882353   |  0.26666666666666666  |  0.12371134020618557   |  0.11764705882352941  |  0.22727272727272727   |  0.19402985074626866   |   0.1789473684210526   |  0.11340206185567012  |  0.10465116279069767  |  0.13432835820895522   |  0.15517241379310345   |  0.04545454545454545   |  0.07407407407407408   |          0.15          |  0.06521739130434781  |  0.13333333333333336  |        0.140625       | 0.04081632653061224  | 0.030303030303030304 | 0.03333333333333333  |  0.020408163265306117  |  0.01948051948051948  |  0.04477611940298508  |
|            Confidence            |         0.875          |        0.90625         |          1.0          |          1.0           |   0.7391304347826086  |          1.0           |          1.0           |          1.0           |          1.0          |   0.8999999999999999  |          1.0           |          1.0           |   0.7777777777777778   |   0.6923076923076923   |          1.0           |   0.8181818181818181  |          1.0          |          1.0          |         1.0          |         1.0          |         1.0          |   0.6666666666666666   |          1.0          |          1.0          |
|          All-Confidence          |   0.2014388489208633   |   0.3411764705882353   |  0.26666666666666666  |  0.12371134020618557   |  0.09090909090909091  |  0.22727272727272727   |  0.19402985074626866   |   0.1789473684210526   |  0.11340206185567012  |  0.10465116279069767  |  0.13432835820895522   |  0.15517241379310345   |  0.03608247422680412   |  0.048913043478260865  |          0.15          |  0.06521739130434781  |  0.13333333333333336  |        0.140625       | 0.04081632653061224  | 0.030303030303030304 | 0.03333333333333333  |  0.010582010582010581  |  0.01948051948051948  |  0.04477611940298508  |
|               Lift               |   1.4982014388489209   |   2.5374999999999996   |   2.6444444444444444  |   2.4536082474226806   |   0.9407114624505928  |   3.606060606060606    |   3.5522388059701493   |   2.5052631578947366   |    2.45360824742268   |   2.490697674418604   |   3.5522388059701493   |   4.103448275862069    |   0.9541809851088202   |   0.8954849498327759   |         2.975          |   1.411067193675889   |   3.1733333333333333  |        3.71875        |  2.428571428571429   |  2.404040404040404   |  2.6444444444444444  |   0.8395061728395061   |   1.5454545454545454  |   3.5522388059701493  |
