+----------------------------------+-----------------------+------------------------+------------------------+-----------------------+------------------------+-----------------------+------------------------+------------------------+------------------------+-----------------------+------------------------+------------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+----------------------+----------------------+----------------------+----------------------+-----------------------+-----------------------+----------------------+
|              Metric              |           P1          |           P2           |           P3           |           P4          |           P5           |           P6          |           P7           |           P8           |           P9           |          P10          |          P11           |          P12           |          P13           |          P14           |          P15           |          P16          |          P17          |          P18           |         P19          |         P20          |         P21          |         P22          |          P23          |          P24          |         P25          |
+----------------------------------+-----------------------+------------------------+------------------------+-----------------------+------------------------+-----------------------+------------------------+------------------------+------------------------+-----------------------+------------------------+------------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+----------------------+----------------------+----------------------+----------------------+-----------------------+-----------------------+----------------------+
|  Outcome selected for analysis   |          1.0          |          0.0           |          0.0           |          0.0          |          0.0           |          0.0          |          0.0           |          0.0           |          0.0           |          0.0          |          0.0           |          0.0           |          0.0           |          0.0           |          0.0           |          0.0          |          0.0          |          0.0           |         0.0          |         0.0          |         0.0          |         0.0          |          0.0          |          0.0          |         0.0          |
|         Information Gain         |  0.030852973142698834 |  0.34962734341674034   |   0.3061896891509032   |  0.017934941405340115 |   0.2567698717888796   |   0.2567698717888796  |  0.24515801598417306   |   0.2391784680299731   |   0.2330501753008623   |   0.2267406972784454  |  0.22020855228300143   |  0.22020855228300143   |  0.03444457097370674   | 0.0018938390267821343  |   0.2391784680299731   |  0.02852886174015772  |   0.2267406972784454  |  0.22020855228300143   |  0.1813088908480929  | 0.17091995430214707  | 0.17091995430214707  | 0.17091995430214707  |  0.02659718358568166  |  0.02659718358568166  | 0.17091995430214707  |
|           Chi-squared            |   6.368172658532443   |   54.68608414239482    |   39.48130841121496    |   2.771523258187479   |   23.679932735426004   |   23.679932735426004  |   20.340185185185184   |   18.692477876106196   |   17.059287812041116   |   15.440423976608187  |   13.835698689956335   |   13.835698689956335   |   2.694620415359698    |  0.19339111592632718   |   18.692477876106196   |   2.6017077300272056  |   15.440423976608187  |   13.835698689956335   |  6.017806267806268   |  4.494148936170213   |  4.494148936170213   |  4.494148936170213   |   0.8752738654147109  |   0.8752738654147109  |  4.494148936170213   |
|            Gini index            |  0.010200396549253421 |  0.11059500899160335   |  0.07984546209907817   |  0.005605020810441674 |  0.04788937468946952   |  0.04788937468946952  |  0.04113519917771025   |  0.03780294002036011   |  0.03450003997452822   |  0.031226112736116085 |  0.027980778748694424  |  0.027980778748694424  |  0.005449495493034084  | 0.0003911066689119558  |  0.03780294002036011   |  0.005261592493012723 |  0.031226112736116085 |  0.027980778748694424  | 0.01217017727151215  | 0.009088791962341913 | 0.009088791962341913 | 0.009088791962341913 |  0.001770119812630977 |  0.001770119812630977 | 0.009088791962341913 |
|      Difference in Support       |   0.1278132814670742  |   0.3333333333333333   |          0.25          |  0.06499413145539905  |        0.15625         |        0.15625        |  0.13541666666666666   |         0.125          |  0.11458333333333334   |  0.10416666666666667  |  0.09374999999999999   |  0.09374999999999999   |  0.04137323943661972   |  0.01320422535211268   |         0.125          |  0.04474765258215961  |  0.10416666666666667  |  0.09374999999999999   | 0.041666666666666664 |       0.03125        |       0.03125        |       0.03125        |  0.01379107981220657  |  0.01379107981220657  |       0.03125        |
|          Bigger Support          |  0.22950819672131148  |   0.3333333333333333   |          0.25          |  0.13541666666666666  |        0.15625         |        0.15625        |  0.13541666666666666   |         0.125          |  0.11458333333333334   |  0.10416666666666667  |  0.09374999999999999   |  0.09374999999999999   |         0.0625         |         0.0625         |         0.125          |  0.07291666666666666  |  0.10416666666666667  |  0.09374999999999999   | 0.041666666666666664 |       0.03125        |       0.03125        |       0.03125        |  0.020833333333333332 |  0.020833333333333332 |       0.03125        |
|            Confidence            |         0.4375        |          1.0           |          1.0           |   0.5652173913043478  |          1.0           |          1.0          |          1.0           |          1.0           |          1.0           |          1.0          |          1.0           |          1.0           |   0.6666666666666667   |  0.46153846153846156   |          1.0           |   0.6363636363636364  |          1.0          |          1.0           |         1.0          |         1.0          |         1.0          |         1.0          |   0.6666666666666666  |   0.6666666666666666  |         1.0          |
|          All-Confidence          |  0.22950819672131148  |   0.3333333333333333   |          0.25          |  0.13541666666666666  |        0.15625         |        0.15625        |  0.13541666666666666   |         0.125          |  0.11458333333333334   |  0.10416666666666667  |  0.09374999999999999   |  0.09374999999999999   |         0.0625         |         0.0625         |         0.125          |  0.07291666666666666  |  0.10416666666666667  |  0.09374999999999999   | 0.041666666666666664 |       0.03125        |       0.03125        |       0.03125        |  0.020833333333333332 |  0.020833333333333332 |       0.03125        |
|               Lift               |   1.7069672131147544  |   2.479166666666667    |   2.4791666666666665   |   1.4012681159420288  |   2.4791666666666665   |   2.4791666666666665  |   2.479166666666667    |   2.4791666666666665   |   2.4791666666666665   |   2.4791666666666665  |   2.4791666666666665   |   2.4791666666666665   |   1.652777777777778    |   1.1442307692307694   |   2.4791666666666665   |   1.577651515151515   |   2.4791666666666665  |   2.4791666666666665   |  2.479166666666667   |  2.4791666666666665  |  2.4791666666666665  |  2.4791666666666665  |   1.6527777777777777  |   1.6527777777777777  |  2.4791666666666665  |
|        Standardised Lift         |   0.4193548387096775  |   1.0000000000000002   |          1.0           |   0.5454545454545454  |          1.0           |          1.0          |   1.0000000000000002   |          1.0           |          1.0           |          1.0          |          1.0           |          1.0           |         0.625          |  0.41666666666666674   |          1.0           |   0.5999999999999999  |          1.0          |          1.0           |  1.0000000000000002  |         1.0          |         1.0          |         1.0          |          0.5          |          0.5          |         1.0          |
|       Collective Strength        |   1.2248755383984702  |   1.443567135183452    |   1.3244281661408488   |   1.1567835969011193  |   1.197344092992234    |   1.197344092992234   |   1.1700300553580871   |   1.1564937395050594   |   1.1430366966042642   |   1.1296580484087588  |   1.116356931107657    |   1.116356931107657    |   1.0727387795477992   |   1.0667630580155432   |   1.1564937395050594   |   1.084456577691969   |   1.1296580484087588  |   1.116356931107657    |  1.0509850470578785  |  1.0381317457327335  |  1.0381317457327335  |  1.0381317457327335  |   1.0238992215817935  |   1.0238992215817935  |  1.0381317457327335  |
|              Cosine              |   0.3168751111488149  |   0.5773502691896257   |          0.5           |   0.2766583724965933  |   0.3952847075210474   |   0.3952847075210474  |   0.3679900360969936   |  0.35355339059327373   |   0.338501600193165    |   0.3227486121839514  |  0.30618621784789724   |  0.30618621784789724   |   0.2041241452319315   |  0.16984155512168936   |  0.35355339059327373   |  0.21541010921383225  |   0.3227486121839514  |  0.30618621784789724   |  0.2041241452319315  | 0.17677669529663687  | 0.17677669529663687  | 0.17677669529663687  |   0.1178511301977579  |   0.1178511301977579  | 0.17677669529663687  |
|         Interestingness          |   0.1003850190027795  |   0.3331450227149683   |   0.2498940752771697   |  0.07652228890277338  |   0.1562086231551444   |   0.1562086231551444  |   0.1353855880587529   |  0.12497351881929242   |  0.11456108178565544   |  0.10414827695784196  |  0.09373510433585197   |  0.09373510433585197   |  0.04166225313654874   |  0.028843098325302973  |  0.12497351881929242   |  0.04639578090594526  |  0.10414827695784196  |  0.09373510433585197   | 0.04166372431325471  | 0.031248344926205776 | 0.031248344926205776 | 0.031248344926205776 |  0.013888398496653562 |  0.013888398496653562 | 0.031248344926205776 |
|        Comprehensibility         |          0.5          |          0.5           |          0.5           |          0.5          |  0.43067655807339306   |  0.43067655807339306  |  0.43067655807339306   |  0.43067655807339306   |  0.43067655807339306   |  0.43067655807339306  |  0.43067655807339306   |  0.43067655807339306   |  0.43067655807339306   |          0.5           |          0.5           |          0.5          |          0.5          |          0.5           | 0.43067655807339306  |  0.3868528072345416  |  0.3868528072345416  | 0.43067655807339306  |  0.43067655807339306  |  0.43067655807339306  | 0.43067655807339306  |
|           Completeness           |  0.22950819672131148  |   0.3333333333333333   |          0.25          |  0.13541666666666666  |        0.15625         |        0.15625        |  0.13541666666666666   |         0.125          |  0.11458333333333334   |  0.10416666666666667  |  0.09374999999999999   |  0.09374999999999999   |         0.0625         |         0.0625         |         0.125          |  0.07291666666666666  |  0.10416666666666667  |  0.09374999999999999   | 0.041666666666666664 |       0.03125        |       0.03125        |       0.03125        |  0.020833333333333332 |  0.020833333333333332 |       0.03125        |
|           Added Value            |  0.18119747899159666  |   0.5966386554621849   |   0.5966386554621849   |  0.16185604676653265  |   0.5966386554621849   |   0.5966386554621849  |   0.5966386554621849   |   0.5966386554621849   |   0.5966386554621849   |   0.5966386554621849  |   0.5966386554621849   |   0.5966386554621849   |   0.2633053221288516   |  0.05817711700064643   |   0.5966386554621849   |  0.23300229182582122  |   0.5966386554621849  |   0.5966386554621849   |  0.5966386554621849  |  0.5966386554621849  |  0.5966386554621849  |  0.5966386554621849  |   0.2633053221288515  |   0.2633053221288515  |  0.5966386554621849  |
