+----------------------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+-----------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+------------------------+------------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+------------------------+------------------------+-----------------------+------------------------+------------------------+-----------------------+----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+----------------------+-----------------------+------------------------+-----------------------+----------------------+
|              Metric              |           P1           |           P2           |           P3          |           P4          |           P5           |           P6          |           P7           |           P8           |           P9          |          P10          |          P11           |          P12           |          P13           |          P14           |          P15           |          P16           |          P17          |          P18          |          P19          |          P20          |          P21          |          P22          |          P23          |          P24          |          P25          |          P26          |          P27           |          P28           |          P29          |          P30           |          P31           |          P32          |         P33          |          P34          |          P35          |          P36          |          P37          |          P38          |         P39          |          P40          |          P41          |          P42          |          P43          |          P44          |          P45          |         P46          |          P47          |          P48           |          P49          |         P50          |
+----------------------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+-----------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+------------------------+------------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+------------------------+------------------------+-----------------------+------------------------+------------------------+-----------------------+----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+----------------------+-----------------------+------------------------+-----------------------+----------------------+
|  Outcome selected for analysis   |           1            |           1            |           1           |           1           |           1            |           1           |           1            |           1            |           1           |           1           |           1            |           1            |           1            |           1            |           1            |           1            |           1           |           1           |           1           |           1           |           1           |           1           |           1           |           1           |           1           |           1           |           1            |           1            |           1           |           1            |           1            |           1           |          1           |           1           |           1           |           1           |           1           |           1           |          1           |           1           |           1           |           1           |           1           |           1           |           1           |          1           |           1           |           1            |           1           |          1           |
|         Information Gain         |  0.07842848336984884   |   0.2621956150789271   |   0.3292182008841629  | 0.0020793015181335183 |   0.368111401096595    |   0.2567698717888796  |   0.3463683254864264   |  0.23638521869525161   |  0.23033410529372259  |  0.15999881479599237  |   0.3098804777484755   |  0.34648880281113786   |  0.001079138247484936  |  0.004740196115636533  |   0.2886773581677127   |  0.30739673584854094   |  0.03334431251876116  |  0.21604231571522434  |   0.2038543646245331  |   0.3235959861375901  |  0.29006963735010477  |   0.2979331722773693  |  0.008992594583322135 |  0.03640838455107835  |  0.03640838455107835  |  0.09323795690194203  |  0.17922447200114144   |  0.26328945890550315   |  0.28334290356887754  |  0.28334290356887754   |  0.28334290356887754   |   0.266943434346726   | 0.19039601626104924  |   0.2979331722773693  |  0.19039601626104924  |   0.266943434346726   |   0.2979331722773693  |   0.2979331722773693  |  0.1771618863491524  |   0.2082116098142811  |  0.28334290356887754  |  0.28334290356887754  |  0.09323795690194203  |  0.11295037327042631  |  0.28334290356887754  | 0.16139566094106092  |   0.2038543646245331  |  0.28621124807583304   |  0.024545071297431175 | 0.19181909728726992  |
|           Chi-squared            |   12.88395726490299    |   48.553155339805826   |   43.89283489096574   |  0.32815516131997435  |   41.72034243783123    |   23.679932735426004  |   35.096119402985074   |   18.369491834686613   |   16.764521549570826  |   13.124299158238315  |   23.872906211301572   |   29.028760728805896   |    0.08658138582057    |   0.5118226736584224   |   24.95840707964602    |   22.03290969899666    |   2.6893573157354034  |   11.445322793148877  |   10.483598875351452  |   22.38244514106583   |   22.68654970760234   |   15.850229391741898  |   0.5634238200048911  |   1.8279915904562067  |   1.8279915904562067  |    2.43010382607698   |   5.913825006608513    |   11.060897435897438   |   12.625994694960212  |   12.625994694960212   |   12.625994694960212   |   13.035039395298185  |  7.554542203147355   |   15.850229391741898  |   7.554542203147355   |   13.035039395298185  |   15.850229391741898  |   15.850229391741898  |  5.811965811965813   |   7.458689458689458   |   12.625994694960212  |   12.625994694960212  |    2.43010382607698   |   3.1040202595758153  |   12.625994694960212  |  5.066279632317368   |   10.483598875351452  |   18.03030303030303    |   1.8625380809631735  |  8.642110762800419   |
|            Gini index            |  0.026302582712125405  |  0.09367569843471374   |  0.08673551883645159  | 0.0004642908730731893 |  0.07026181614824778   |  0.04788937468946952  |  0.05965256690911647   |  0.03727237901928093   |  0.034015834890577024 |  0.025451728679087682 |  0.04057656969800494   |  0.044960188031030524  | 0.00010964228143516691 | 0.0007544495928086259  |  0.046801854526297815  |  0.03675618585029916   |  0.005505879705883537 |  0.02280698375606921  |  0.021271610248377426 |  0.03466627292628288  |  0.04114494094851562  |   0.0245490773941488  | 0.0007857098214540392 |  0.003779300766959981 |  0.003779300766959981 |  0.004780796179708807 |  0.011999369883700317  |  0.018273372697495294  |  0.01955533344559557  |  0.01955533344559557   |  0.01955533344559557   |  0.02215554234821926  | 0.015278012239988148 |   0.0245490773941488  |  0.015278012239988148 |  0.02215554234821926  |   0.0245490773941488  |   0.0245490773941488  | 0.011829769615236962 |  0.014314021234436758 |  0.01955533344559557  |  0.01955533344559557  |  0.004780796179708807 |  0.006403164584084187 |  0.01955533344559557  | 0.010516423764075855 |  0.021271610248377426 |  0.03092145949288816   | 0.0037791587223124923 | 0.017642858360382874 |
|      Difference in Support       |   0.1610348085168229   |   0.3215686274509804   |  0.26666666666666666  |   0.0267379679144385  |  0.22727272727272727   |        0.15625        |  0.19402985074626866   |  0.12371134020618557   |  0.11340206185567012  |   0.0980722154222766  |  0.13432835820895522   |  0.15517241379310345   |  0.009372071227741328  |  0.02516103059581322   |          0.15          |  0.12307692307692308   |  0.045217391304347807 |  0.07608695652173912  |  0.07216494845360824  |   0.1206896551724138  |  0.13333333333333336  |  0.08620689655172414  |  0.018723404255319143 |  0.027698048220436283 |  0.027698048220436283 |  0.026845637583892617 |  0.041237113402061855  |         0.0625         |  0.06896551724137931  |  0.06896551724137931   |  0.06896551724137931   |   0.0746268656716418  | 0.052083333333333336 |  0.08620689655172414  |  0.052083333333333336 |   0.0746268656716418  |  0.08620689655172414  |  0.08620689655172414  | 0.04081632653061224  |  0.047619047619047616 |  0.06896551724137931  |  0.06896551724137931  |  0.026845637583892617 |  0.02962962962962963  |  0.06896551724137931  | 0.03773584905660377  |  0.07216494845360824  |  0.10294117647058824   |  0.036119031951451344 | 0.06060606060606061  |
|          Bigger Support          |   0.2014388489208633   |   0.3411764705882353   |  0.26666666666666666  |  0.11764705882352941  |  0.22727272727272727   |        0.15625        |  0.19402985074626866   |  0.12371134020618557   |  0.11340206185567012  |  0.10465116279069767  |  0.13432835820895522   |  0.15517241379310345   |  0.04545454545454545   |  0.07407407407407408   |          0.15          |  0.12307692307692308   |  0.06521739130434781  |  0.07608695652173912  |  0.07216494845360824  |   0.1206896551724138  |  0.13333333333333336  |  0.08620689655172414  |  0.039999999999999994 |   0.0373134328358209  |   0.0373134328358209  |  0.026845637583892617 |  0.041237113402061855  |         0.0625         |  0.06896551724137931  |  0.06896551724137931   |  0.06896551724137931   |   0.0746268656716418  | 0.052083333333333336 |  0.08620689655172414  |  0.052083333333333336 |   0.0746268656716418  |  0.08620689655172414  |  0.08620689655172414  | 0.04081632653061224  |  0.047619047619047616 |  0.06896551724137931  |  0.06896551724137931  |  0.026845637583892617 |  0.02962962962962963  |  0.06896551724137931  | 0.03773584905660377  |  0.07216494845360824  |  0.10294117647058824   |  0.05673758865248227  | 0.06060606060606061  |
|            Confidence            |         0.875          |        0.90625         |          1.0          |   0.7391304347826086  |          1.0           |          1.0          |          1.0           |          1.0           |          1.0          |   0.8999999999999999  |          1.0           |          1.0           |   0.7777777777777778   |   0.6923076923076923   |          1.0           |          1.0           |   0.8181818181818181  |          1.0          |          1.0          |          1.0          |          1.0          |          1.0          |   0.6666666666666666  |   0.8333333333333334  |   0.8333333333333334  |          1.0          |          1.0           |          1.0           |          1.0          |          1.0           |          1.0           |          1.0          |         1.0          |          1.0          |          1.0          |          1.0          |          1.0          |          1.0          |         1.0          |          1.0          |          1.0          |          1.0          |          1.0          |          1.0          |          1.0          |         1.0          |          1.0          |          1.0           |   0.7999999999999999  |         1.0          |
|          All-Confidence          |   0.2014388489208633   |   0.3411764705882353   |  0.26666666666666666  |  0.09090909090909091  |  0.22727272727272727   |        0.15625        |  0.19402985074626866   |  0.12371134020618557   |  0.11340206185567012  |  0.10465116279069767  |  0.13432835820895522   |  0.15517241379310345   |  0.03608247422680412   |  0.048913043478260865  |          0.15          |  0.12307692307692308   |  0.06521739130434781  |  0.07608695652173912  |  0.07216494845360824  |   0.1206896551724138  |  0.13333333333333336  |  0.08620689655172414  |  0.02127659574468085  |   0.0373134328358209  |   0.0373134328358209  |  0.026845637583892617 |  0.041237113402061855  |         0.0625         |  0.06896551724137931  |  0.06896551724137931   |  0.06896551724137931   |   0.0746268656716418  | 0.052083333333333336 |  0.08620689655172414  |  0.052083333333333336 |   0.0746268656716418  |  0.08620689655172414  |  0.08620689655172414  | 0.04081632653061224  |  0.047619047619047616 |  0.06896551724137931  |  0.06896551724137931  |  0.026845637583892617 |  0.02962962962962963  |  0.06896551724137931  | 0.03773584905660377  |  0.07216494845360824  |  0.10294117647058824   |  0.05673758865248227  | 0.06060606060606061  |
|               Lift               |   1.4982014388489209   |   2.5374999999999996   |   2.6444444444444444  |   0.9407114624505928  |   3.606060606060606    |   2.4791666666666665  |   3.5522388059701493   |   2.4536082474226806   |    2.45360824742268   |   2.490697674418604   |   3.5522388059701493   |   4.103448275862069    |   0.9541809851088202   |   0.8954849498327759   |         2.975          |   3.6615384615384623   |   1.411067193675889   |   2.5869565217391304  |    2.45360824742268   |   4.103448275862069   |   3.1733333333333333  |   4.1034482758620685  |   0.8439716312056738  |   1.4800995024875623  |   1.4800995024875623  |   1.5973154362416109  |   2.4536082474226806   |        3.71875         |   4.103448275862069   |   4.103448275862069    |   4.103448275862069    |   3.5522388059701493  |  2.4791666666666665  |   4.1034482758620685  |   2.4791666666666665  |   3.5522388059701493  |   4.1034482758620685  |   4.1034482758620685  |  2.428571428571429   |   2.833333333333333   |   4.103448275862069   |   4.103448275862069   |   1.5973154362416109  |   1.762962962962963   |   4.103448275862069   |  2.2452830188679243  |    2.45360824742268   |          3.5           |   1.350354609929078   |  2.404040404040404   |
