+----------------------------------+------------------------+------------------------+-----------------------+------------------------+------------------------+------------------------+------------------------+----------------------+----------------------+------------------------+------------------------+----------------------+------------------------+----------------------+-----------------------+----------------------+----------------------+----------------------+-----------------------+-----------------------+-----------------------+----------------------+----------------------+----------------------+------------------------+----------------------+-----------------------+----------------------+----------------------+----------------------+----------------------+-----------------------+-----------------------+----------------------+-----------------------+------------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+------------------------+-----------------------+-----------------------+----------------------+-----------------------+----------------------+-----------------------+----------------------+----------------------+-----------------------+----------------------+-----------------------+----------------------+----------------------+----------------------+----------------------+-----------------------+
|              Metric              |           P1           |           P2           |           P3          |           P4           |           P5           |           P6           |           P7           |          P8          |          P9          |          P10           |          P11           |         P12          |          P13           |         P14          |          P15          |         P16          |         P17          |         P18          |          P19          |          P20          |          P21          |         P22          |         P23          |         P24          |          P25           |         P26          |          P27          |         P28          |         P29          |         P30          |         P31          |          P32          |          P33          |         P34          |          P35          |          P36           |          P37           |          P38           |          P39           |          P40          |          P41          |          P42           |          P43           |          P44          |          P45          |         P46          |          P47          |         P48          |          P49          |         P50          |         P51          |          P52          |         P53          |          P54          |         P55          |         P56          |         P57          |         P58          |          P59          |
+----------------------------------+------------------------+------------------------+-----------------------+------------------------+------------------------+------------------------+------------------------+----------------------+----------------------+------------------------+------------------------+----------------------+------------------------+----------------------+-----------------------+----------------------+----------------------+----------------------+-----------------------+-----------------------+-----------------------+----------------------+----------------------+----------------------+------------------------+----------------------+-----------------------+----------------------+----------------------+----------------------+----------------------+-----------------------+-----------------------+----------------------+-----------------------+------------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+------------------------+-----------------------+-----------------------+----------------------+-----------------------+----------------------+-----------------------+----------------------+----------------------+-----------------------+----------------------+-----------------------+----------------------+----------------------+----------------------+----------------------+-----------------------+
|  Outcome selected for analysis   |           1            |           1            |           1           |           1            |           1            |           1            |           1            |          1           |          1           |           1            |           1            |          1           |           1            |          1           |           1           |          1           |          1           |          1           |           1           |           1           |           1           |          1           |          1           |          1           |           1            |          1           |           1           |          1           |          1           |          1           |          1           |           1           |           1           |          1           |           1           |           1            |           1            |           1            |           1            |           1           |           1           |           1            |           1            |           1           |           1           |          1           |           1           |          1           |           1           |          1           |          1           |           1           |          1           |           1           |          1           |          1           |          1           |          1           |           1           |
|         Information Gain         |  0.07246857025778974   |  0.08577291051326506   |  0.03751352247625589  |  0.010668034384242294  |  0.02736950719793455   | 0.00018658965102441664 |   0.3014194906409122   |  0.1608315650916627  | 0.04842819563558744  | 0.0002859269307984697  | 7.328864188509994e-05  | 0.04842819563558744  |  0.004396883461683375  | 0.038612765062294205 |  0.02136794724097397  | 0.046791290704885406 | 0.03751352247625589  | 0.03751352247625589  |  0.015248435656169417 |  0.007302471573136438 |  0.007302471573136438 | 0.09751161003004452  | 0.014378612564248583 |  0.1237883970574184  | 0.00018658965102441664 | 0.014474521589073622 | 0.0027214913305188626 | 0.10963443505004529  | 0.02736950719793455  | 0.04378021861140282  | 0.10963443505004529  |  0.014378612564248668 |  0.003136250504414299 | 0.10963443505004529  |  0.01801672799954201  | 0.0005020640921759614  |  0.005213969972842916  |  0.07038270623858045   |  0.07038270623858045   |   0.1061260292641219  |   0.0127300675428755  |  0.03540594515736886   |  0.05715936424107558   |  0.010036020595557249 |  0.003274126427017343 | 0.03751352247625589  |  0.010668034384242294 | 0.02736950719793455  |   0.3014194906409122  | 0.018119659918489187 | 0.018119659918489187 |  0.006443858297075815 | 0.041020908995641765 |  0.004071735242481833 | 0.22800622406783122  | 0.08866551224944647  |  0.0774570620933879  | 0.26263483368217044  |  0.014365850425914243 |
|           Chi-squared            |   3.7272321428571433   |   4.2898952898952905   |   1.7563636363636361  |   0.5111111111111111   |   1.230925925925926    |  0.008966861598440505  |   10.73333333333333    |  7.519443519443521   |  2.3488562091503273  |  0.015032679738562111  | 0.0038794012228547344  |  2.3488562091503273  |  0.22649684873949572   |  1.877630191861691   |   0.9825700615174301  |  2.1872448038776637  |  1.7563636363636361  |  1.7563636363636361  |   0.7244028698574152  |   0.3594372294372294  |   0.3594372294372294  |  4.206709956709957   |  0.6735109378384229  |  5.164912280701753   |  0.008966861598440505  |  0.6571428571428573  |  0.12884259259259265  |  4.552336860670193   |  1.230925925925926   |  1.9633156966490297  |  4.552336860670193   |   0.6735109378384229  |   0.1533333333333333  |  4.552336860670193   |   0.884084084084084   |  0.024200336700336632  |  0.22832471804511265   |   2.763913913913914    |   2.763913913913914    |   4.207423798067072   |   0.5492847686396075  |   1.5917280917280923   |   2.1196820175438598   |   0.4085526315789474  |   0.1351033834586467  |  1.7563636363636361  |   0.5111111111111111  |  1.230925925925926   |   10.73333333333333   |  0.778178178178178   |  0.778178178178178   |   0.3047164811870693  |  1.9793741109530583  |  0.18176070807649752  |  6.814814814814814   |  3.3141992407920386  |  2.883406432748538   |  8.134736842105262   |   0.6052631578947367  |
|            Gini index            |  0.03676073453956252   |  0.04442564366950008   |  0.01732256401443555  |  0.005555555555555425  |  0.012140306658265043  | 9.451795841203259e-05  |  0.11578449905482027   | 0.07787045972301176  | 0.023166166277475142 | 0.00014826346417584624 | 3.706586604403095e-05  | 0.023166166277475142 | 0.0020849549649728377  | 0.01793987916527663  |  0.006137529767019381 | 0.022156482458939863 | 0.01732256401443555  | 0.01732256401443555  |  0.006385485969606891 |  0.003545037193430356 |  0.003545037193430356 | 0.04148970122505091  | 0.007099348876286382 | 0.05444234404536863  | 9.451795841203259e-05  | 0.006049149338374402 | 0.0012707414408736906 | 0.04714345725687874  | 0.012140306658265043 | 0.02033186305398027  | 0.04714345725687874  |  0.007099348876286438 | 0.0015122873345936316 | 0.04714345725687874  |  0.006049149338374291 | 0.00026254988447793615 | 0.0021017809173218133  |  0.027259773951645472  |  0.027259773951645472  |  0.04434964264831942  | 0.0052481593124315135 |  0.017268686455832016  |  0.02090588001193916   |  0.004029449805989516 |  0.001243657347527613 | 0.01732256401443555  |  0.005555555555555425 | 0.012140306658265043 |  0.11578449905482027  | 0.007674971758147575 | 0.007674971758147575 |  0.002554539416543336 | 0.012363970776069058 |  0.001243657347527502 | 0.07183364839319462  | 0.034934334892050556 | 0.029860212914137763 | 0.08775246244154802  |  0.006578947368421018 |
|      Difference in Support       |  0.27499999999999997   |  0.28174603174603174   |         0.175         |  0.08695652173913043   |  0.14166666666666666   |  0.011695906432748565  |          0.4           | 0.37301587301587297  | 0.20833333333333331  |  0.016666666666666663  |  0.008602150537634412  | 0.20833333333333331  |  0.06696428571428573   | 0.18924731182795698  |  0.16447368421052633  |  0.1926977687626775  |        0.175         |        0.175         |  0.11888111888111894  |  0.07916666666666666  |  0.07916666666666666  |  0.2708333333333333  | 0.10136452241715396  |  0.2807017543859649  |  0.011695906432748565  | 0.10714285714285715  |  0.04583333333333334  |  0.2658730158730158  | 0.14166666666666666  |  0.1746031746031746  |  0.2658730158730158  |  0.10136452241715405  |  0.05000000000000002  |  0.2658730158730158  |  0.14414414414414417  |  0.018939393939393923  |  0.058035714285714274  |  0.20416666666666666   |  0.20416666666666666   |  0.24366471734892786  |  0.09247311827956992  |   0.1477272727272727   |  0.17083333333333334   |  0.07499999999999998  |  0.04464285714285715  |        0.175         |  0.08695652173913043  | 0.14166666666666666  |          0.4          | 0.10833333333333334  | 0.10833333333333334  |  0.07352941176470582  | 0.21710526315789475  |  0.060060060060060094 |  0.2962962962962963  | 0.20662768031189083  | 0.19444444444444445  |         0.32         |  0.08695652173913043  |
|          Bigger Support          |  0.39999999999999997   |  0.39285714285714285   |          0.3          |   0.2608695652173913   |  0.26666666666666666   |  0.22222222222222224   |          0.4           | 0.42857142857142855  |  0.3333333333333333  |  0.26666666666666666   |  0.26666666666666666   |  0.3333333333333333  |        0.28125         |  0.3225806451612903  |         0.375         |  0.3103448275862069  |         0.3          |         0.3          |  0.27272727272727276  |  0.26666666666666666  |  0.26666666666666666  |  0.3333333333333333  | 0.25925925925925924  |  0.3333333333333333  |  0.22222222222222224   |         0.25         |  0.23333333333333334  |  0.3214285714285714  | 0.26666666666666666  |  0.2857142857142857  |  0.3214285714285714  |   0.2592592592592593  |          0.25         |  0.3214285714285714  |  0.33333333333333337  |  0.22727272727272727   |  0.21428571428571427   |  0.26666666666666666   |  0.26666666666666666   |   0.2962962962962963  |  0.22580645161290325  |   0.2727272727272727   |  0.23333333333333334   |  0.19999999999999998  |         0.1875        |         0.3          |   0.2608695652173913  | 0.26666666666666666  |          0.4          | 0.23333333333333334  | 0.23333333333333334  |  0.24999999999999994  |        0.375         |  0.22222222222222224  |  0.2962962962962963  | 0.25925925925925924  |         0.25         |         0.32         |  0.21739130434782608  |
|            Confidence            |   0.8571428571428571   |   0.8461538461538463   |   0.8181818181818182  |          0.4           |          0.8           |          0.4           |          1.0           |  0.9230769230769231  |  0.8333333333333334  |   0.6666666666666666   |   0.6666666666666666   |  0.8333333333333334  |          0.75          |  0.8333333333333334  |   0.7272727272727272  |  0.8181818181818182  |  0.8181818181818182  |  0.8181818181818182  |   0.8181818181818182  |   0.7272727272727272  |   0.7272727272727272  |  0.9090909090909091  |  0.7000000000000001  |         0.9          |          0.4           |         0.8          |   0.7000000000000001  |         0.9          |         0.8          |         0.8          |         0.9          |          0.3          |          0.6          |         0.9          |   0.7000000000000001  |          0.5           |         0.625          |   0.8888888888888888   |   0.8888888888888888   |   0.8888888888888888  |   0.7777777777777778  |   0.3333333333333333   |   0.8750000000000001   |          0.75         |          0.75         |  0.8181818181818182  |          0.4          |         0.8          |          1.0          |  0.7777777777777778  |  0.7777777777777778  |   0.6666666666666666  |  0.6666666666666666  |          0.75         |         1.0          |  0.8750000000000001  |  0.8750000000000001  |         1.0          |         0.375         |
|          All-Confidence          |  0.39999999999999997   |  0.39285714285714285   |          0.3          |  0.17391304347826086   |  0.26666666666666666   |  0.21052631578947367   |          0.4           | 0.42857142857142855  |  0.3333333333333333  |  0.26666666666666666   |  0.25806451612903225   |  0.3333333333333333  |        0.28125         |  0.3225806451612903  |  0.21052631578947367  |  0.3103448275862069  |         0.3          |         0.3          |  0.27272727272727276  |  0.26666666666666666  |  0.26666666666666666  |  0.3333333333333333  | 0.25925925925925924  |  0.3333333333333333  |  0.21052631578947367   |         0.25         |  0.23333333333333334  |  0.3214285714285714  | 0.26666666666666666  |  0.2857142857142857  |  0.3214285714285714  |  0.15789473684210525  |  0.19999999999999998  |  0.3214285714285714  |   0.1891891891891892  |  0.20833333333333334   |        0.15625         |  0.26666666666666666   |  0.26666666666666666   |   0.2962962962962963  |  0.22580645161290325  |         0.125          |  0.23333333333333334   |  0.19999999999999998  |         0.1875        |         0.3          |  0.17391304347826086  | 0.26666666666666666  |          0.4          | 0.23333333333333334  | 0.23333333333333334  |  0.17647058823529413  | 0.15789473684210525  |  0.16216216216216214  |  0.2962962962962963  | 0.25925925925925924  |         0.25         |         0.32         |  0.13043478260869565  |
|               Lift               |   1.3142857142857143   |    1.39010989010989    |   1.2545454545454544  |          0.8           |   1.2266666666666668   |   0.968421052631579    |          1.84          |  1.5164835164835164  |  1.277777777777778   |   1.0222222222222224   |   0.989247311827957    |  1.277777777777778   |   1.0781250000000002   |  1.2365591397849462  |   0.8803827751196172  |  1.2978056426332287  |  1.2545454545454544  |  1.2545454545454544  |   1.140495867768595   |   1.115151515151515   |   1.115151515151515   |  1.3939393939393938  |  1.1925925925925926  |  1.5333333333333334  |   0.968421052631579    |         1.15         |   1.0733333333333335  |  1.4785714285714284  |  1.2266666666666668  |  1.314285714285714   |  1.4785714285714284  |   0.7263157894736842  |          0.92         |  1.4785714285714284  |   0.8702702702702703  |   0.9583333333333333   |       0.8984375        |   1.362962962962963    |   1.362962962962963    |   1.5144032921810697  |   1.1541218637992832  |   0.6388888888888888   |   1.3416666666666668   |          1.15         |        1.078125       |  1.2545454545454544  |          0.8          |  1.2266666666666668  |          1.84         |  1.1925925925925926  |  1.1925925925925926  |   0.9019607843137255  |  0.807017543859649   |   0.9324324324324323  |  1.7037037037037035  |  1.4907407407407407  |  1.4375000000000002  |  1.8400000000000003  |          0.75         |
