+----------------------------------+------------------------+------------------------+------------------------+-----------------------+------------------------+------------------------+-----------------------+------------------------+-----------------------+-----------------------+-----------------------+------------------------+----------------------+----------------------+------------------------+----------------------+------------------------+----------------------+----------------------+-----------------------+----------------------+-----------------------+-----------------------+------------------------+----------------------+-----------------------+-----------------------+------------------------+-----------------------+----------------------+-----------------------+------------------------+----------------------+------------------------+------------------------+-----------------------+------------------------+------------------------+-----------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+----------------------+----------------------+----------------------+-----------------------+-----------------------+-----------------------+
|              Metric              |           P1           |           P2           |           P3           |           P4          |           P5           |           P6           |           P7          |           P8           |           P9          |          P10          |          P11          |          P12           |         P13          |         P14          |          P15           |         P16          |          P17           |         P18          |         P19          |          P20          |         P21          |          P22          |          P23          |          P24           |         P25          |          P26          |          P27          |          P28           |          P29          |         P30          |          P31          |          P32           |         P33          |          P34           |          P35           |          P36          |          P37           |          P38           |          P39          |          P40           |          P41           |          P42           |          P43          |          P44          |         P45          |         P46          |         P47          |          P48          |          P49          |          P50          |
+----------------------------------+------------------------+------------------------+------------------------+-----------------------+------------------------+------------------------+-----------------------+------------------------+-----------------------+-----------------------+-----------------------+------------------------+----------------------+----------------------+------------------------+----------------------+------------------------+----------------------+----------------------+-----------------------+----------------------+-----------------------+-----------------------+------------------------+----------------------+-----------------------+-----------------------+------------------------+-----------------------+----------------------+-----------------------+------------------------+----------------------+------------------------+------------------------+-----------------------+------------------------+------------------------+-----------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+----------------------+----------------------+----------------------+-----------------------+-----------------------+-----------------------+
|  Outcome selected for analysis   |           1            |           1            |           1            |           1           |           1            |           1            |           1           |           1            |           1           |           1           |           1           |           1            |          1           |          1           |           1            |          1           |           1            |          1           |          1           |           1           |          1           |           1           |           1           |           1            |          1           |           1           |           1           |           1            |           1           |          1           |           1           |           1            |          1           |           1            |           1            |           1           |           1            |           1            |           1           |           1            |           1            |           1            |           1           |           1           |          1           |          1           |          1           |           1           |           1           |           1           |
|         Information Gain         |   0.0537087830293631   |  0.005181904833765143  | 0.0006629521677441454  |  0.08866551224944647  |  0.019119063396309335  |  0.054159598018029116  |  0.004071735242481795 |   0.0537087830293631   |   0.0537087830293631  |  0.039742708875147734 | 0.0024277339237879945 | 0.00020868607219557634 | 0.04406788291964342  | 0.04406788291964342  | 0.00018036735129427903 | 0.031117989753507394 | 0.00018036735129427903 | 0.19704397879097485  | 0.031117989753507394 |  0.02079398552238381  | 0.038034648693913924 |  0.008861300864316772 |  0.031117989753507394 | 0.00018036735129427903 | 0.031117989753507394 |  0.031117989753507394 | 0.0027810051097938455 | 0.00018036735129427903 |  0.005181904833765143 | 0.04556171244144905  |  0.005045866486756481 | 0.00018036735129427903 |  0.2265227557030238  |   0.0537087830293631   |  0.09751161003004452   |  0.036054449088578494 |  0.002301710832058121  |  0.036054449088578494  |  0.036054449088578494 |  0.029628328436903426  |  0.036054449088578494  | 0.0006629521677441454  |  0.009785960809352701 |  0.004281228312324271 |  0.1818903231745611  | 0.018525482482200976 | 0.06788842415514161  |  0.004281228312324271 |  0.036054449088578494 | 0.0067772038573938485 |
|           Chi-squared            |   1.7276153346328784   |  0.18083170890188438   |  0.026431085254614718  |   3.3141992407920386  |   0.6177827380952379   |   2.2614990744023005   |  0.18176070807649755  |   1.7276153346328784   |   1.7276153346328784  |   1.5164835164835166  |  0.09847295561581265  |  0.008211411720183677  |  1.5291208791208795  |  1.5291208791208795  |  0.006388888888888877  |  0.9982638888888888  |  0.006388888888888877  |  4.855555555555556   |  0.9982638888888888  |   0.8311311311311311  |  1.2192021636240704  |   0.3365367965367965  |   0.9982638888888888  |  0.006388888888888877  |  0.9982638888888888  |   0.9982638888888888  |   0.0973544973544975  |  0.006388888888888877  |  0.18083170890188438  |  1.4618386243386245  |  0.18790849673202614  |  0.006388888888888877  |  5.796000000000001   |   1.7276153346328784   |   4.206709956709957    |   1.0502163267246702  |  0.07223228803716614   |   1.0502163267246702   |   1.0502163267246702  |   0.8619434765776225   |   1.0502163267246702   |  0.026431085254614718  |  0.28850174216027885  |  0.13945974298452665  |  3.9476061427280933  |  0.5404065040650409  |  2.0195121951219512  |  0.13945974298452665  |   1.0502163267246702  |   0.2393495934959349  |
|            Gini index            |  0.018210459987397676  | 0.0019061121613106469  | 0.0002215805618453609  |  0.034934334892050556 |  0.005686830497794601  |  0.021607566976186945  | 0.0011353508517970151 |  0.018210459987397676  |  0.018210459987397676 |  0.016483516483516425 | 0.0007789941627371483 | 8.655490697090373e-05  | 0.015081326990589727 | 0.015081326990589727 |  6.30119722747624e-05  | 0.009845620667926935 |  6.30119722747624e-05  |  0.0511814744801512  | 0.009845620667926935 |  0.00568683049779449  | 0.012350346565847548 |  0.002662255828607532 |  0.009845620667926935 |  6.30119722747624e-05  | 0.009845620667926935 |  0.009845620667926935 | 0.0010081915563957544 |  6.30119722747624e-05  | 0.0019061121613106469 | 0.015138626339004424 | 0.0015752993068683524 |  6.30119722747624e-05  | 0.06252362948960302  |  0.018210459987397676  |  0.04148970122505091   |  0.011070127714509659 | 0.0007791968278851868  |  0.011070127714509659  |  0.011070127714509659 |  0.008926183779796149  |  0.011070127714509659  | 0.0002215805618453609  |  0.002655724099774201 | 0.0013324726820047733 | 0.041610954861911575 | 0.005329890728018927 | 0.02195121951219514  | 0.0013324726820047733 |  0.011070127714509659 | 0.0011803218221219554 |
|      Difference in Support       |  0.13255360623781676   |  0.04288499025341129   |  0.01960784313725486   |  0.20662768031189083  |  0.08482142857142858   |  0.16989247311827957   |  0.06578947368421051  |  0.13255360623781676   |  0.13255360623781676  |  0.13043478260869565  |   0.038961038961039   |  0.009746588693957087  | 0.13749999999999998  | 0.13749999999999998  |  0.008333333333333331  | 0.10416666666666666  |  0.008333333333333331  | 0.22222222222222218  | 0.10416666666666666  |  0.11411411411411414  | 0.11359026369168355  |  0.06753246753246757  |  0.10416666666666666  |  0.008333333333333331  | 0.10416666666666666  |  0.10416666666666666  |  0.03174603174603173  |  0.008333333333333331  |  0.04288499025341129  |  0.123015873015873   |  0.04901960784313722  |  0.008333333333333331  | 0.24000000000000002  |  0.13255360623781676   |   0.2708333333333333   |  0.09551656920077972  |  0.024761904761904763  |  0.09551656920077972   |  0.09551656920077972  |   0.0873015873015873   |  0.09551656920077972   |  0.01960784313725486   |  0.053571428571428575 |  0.03655913978494624  | 0.18518518518518517  | 0.07083333333333333  | 0.13043478260869565  |  0.03655913978494624  |  0.09551656920077972  |  0.06666666666666662  |
|          Bigger Support          |  0.18518518518518517   |  0.14814814814814814   |  0.16666666666666663   |  0.25925925925925924  |        0.15625         |  0.26666666666666666   |          0.25         |  0.18518518518518517   |  0.18518518518518517  |  0.21739130434782608  |  0.18181818181818185  |  0.15789473684210525   | 0.19999999999999998  | 0.19999999999999998  |  0.13333333333333333   | 0.16666666666666666  |  0.13333333333333333   | 0.22222222222222218  | 0.16666666666666666  |  0.22222222222222224  | 0.17241379310344826  |  0.18181818181818185  |  0.16666666666666666  |  0.13333333333333333   | 0.16666666666666666  |  0.16666666666666666  |  0.14285714285714285  |  0.13333333333333333   |  0.14814814814814814  | 0.17857142857142855  |  0.16666666666666663  |  0.13333333333333333   | 0.24000000000000002  |  0.18518518518518517   |   0.3333333333333333   |  0.14814814814814814  |  0.12000000000000001   |  0.14814814814814814   |  0.14814814814814814  |  0.14285714285714285   |  0.14814814814814814   |  0.16666666666666663   |         0.125         |  0.13333333333333333  | 0.18518518518518517  | 0.13333333333333333  | 0.17391304347826086  |  0.13333333333333333  |  0.14814814814814814  |  0.16666666666666663  |
|            Confidence            |   0.8333333333333334   |   0.6666666666666666   |   0.7142857142857142   |   0.8750000000000001  |   0.8333333333333334   |  0.42857142857142855   |   0.7777777777777778  |   0.8333333333333334   |   0.8333333333333334  |   0.2857142857142857  |   0.7142857142857142  |  0.42857142857142855   |  0.8571428571428571  |  0.8571428571428571  |   0.6666666666666666   |  0.8333333333333334  |   0.6666666666666666   |         1.0          |  0.8333333333333334  |   0.6666666666666666  |  0.8333333333333334  |   0.6666666666666666  |   0.8333333333333334  |   0.6666666666666666   |  0.8333333333333334  |   0.8333333333333334  |   0.6666666666666666  |   0.6666666666666666   |   0.6666666666666666  |  0.8333333333333334  |   0.6666666666666666  |   0.6666666666666666   |         1.0          |   0.8333333333333334   |   0.9090909090909091   |          0.8          |          0.4           |          0.8           |          0.8          |          0.8           |          0.8           |   0.7142857142857142   |          0.8          |          0.6          |         1.0          |         0.8          |         0.8          |          0.6          |          0.8          |          0.8          |
|          All-Confidence          |  0.18518518518518517   |  0.14814814814814814   |  0.14705882352941177   |  0.25925925925925924  |        0.15625         |   0.0967741935483871   |   0.1842105263157895  |  0.18518518518518517   |  0.18518518518518517  |  0.08695652173913043  |  0.14285714285714285  |  0.15789473684210525   | 0.19999999999999998  | 0.19999999999999998  |  0.13333333333333333   | 0.16666666666666666  |  0.13333333333333333   | 0.22222222222222218  | 0.16666666666666666  |   0.1081081081081081  | 0.17241379310344826  |  0.11428571428571428  |  0.16666666666666666  |  0.13333333333333333   | 0.16666666666666666  |  0.16666666666666666  |  0.14285714285714285  |  0.13333333333333333   |  0.14814814814814814  | 0.17857142857142855  |  0.11764705882352941  |  0.13333333333333333   | 0.24000000000000002  |  0.18518518518518517   |   0.3333333333333333   |  0.14814814814814814  |  0.09523809523809525   |  0.14814814814814814   |  0.14814814814814814  |  0.14285714285714285   |  0.14814814814814814   |  0.14705882352941177   |         0.125         |   0.0967741935483871  | 0.18518518518518517  | 0.13333333333333333  | 0.17391304347826086  |   0.0967741935483871  |  0.14814814814814814  |          0.1          |
|               Lift               |   1.419753086419753    |   1.1358024691358024   |   0.9663865546218486   |   1.4907407407407407  |   1.1979166666666667   |   0.6359447004608294   |   0.9415204678362573  |   1.419753086419753    |   1.419753086419753   |   0.5714285714285714  |   0.9387755102040816  |   1.0375939849624058   |  1.3142857142857143  |  1.3142857142857143  |   1.0222222222222224   |  1.277777777777778   |   1.0222222222222224   |  1.7037037037037035  |  1.277777777777778   |   0.8288288288288288  |  1.3218390804597702  |   0.8761904761904762  |   1.277777777777778   |   1.0222222222222224   |  1.277777777777778   |   1.277777777777778   |   1.0952380952380951  |   1.0222222222222224   |   1.1358024691358024  |  1.3690476190476188  |   0.9019607843137255  |   1.0222222222222224   |         1.84         |   1.419753086419753    |   1.3939393939393938   |   1.362962962962963   |   0.8761904761904763   |   1.362962962962963    |   1.362962962962963   |   1.314285714285714    |   1.362962962962963    |   0.9663865546218486   |          1.15         |   0.8903225806451613  |  1.7037037037037037  |  1.2266666666666668  |         1.6          |   0.8903225806451613  |   1.362962962962963   |   0.9199999999999999  |
