+----------------------------------+------------------------+------------------------+------------------------+------------------------+------------------------+------------------------+------------------------+-----------------------+------------------------+-----------------------+------------------------+-----------------------+------------------------+----------------------+-----------------------+-----------------------+-----------------------+----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+----------------------+-----------------------+-----------------------+-----------------------+----------------------+----------------------+-----------------------+----------------------+-----------------------+----------------------+-----------------------+-----------------------+-----------------------+----------------------+-----------------------+-----------------------+-----------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+------------------------+------------------------+------------------------+------------------------+------------------------+------------------------+------------------------+------------------------+------------------------+-----------------------+------------------------+------------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+------------------------+-----------------------+----------------------+-----------------------+-----------------------+-----------------------+------------------------+----------------------+-----------------------+-----------------------+------------------------+----------------------+------------------------+-----------------------+----------------------+-----------------------+-----------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+-----------------------+-----------------------+-----------------------+----------------------+----------------------+-----------------------+----------------------+-----------------------+-----------------------+-----------------------+-----------------------+
|              Metric              |           P1           |           P2           |           P3           |           P4           |           P5           |           P6           |           P7           |           P8          |           P9           |          P10          |          P11           |          P12          |          P13           |         P14          |          P15          |          P16          |          P17          |         P18          |          P19          |          P20          |          P21          |          P22          |          P23          |         P24          |          P25          |          P26          |          P27          |         P28          |         P29          |          P30          |         P31          |          P32          |         P33          |          P34          |          P35          |          P36          |         P37          |          P38          |          P39          |          P40          |          P41           |          P42           |          P43          |          P44          |          P45           |          P46           |          P47           |          P48          |          P49          |          P50           |          P51           |          P52           |          P53           |          P54           |          P55           |          P56           |          P57           |          P58           |          P59           |          P60          |          P61           |          P62           |          P63          |          P64          |          P65          |          P66          |          P67          |          P68          |          P69          |          P70           |          P71          |         P72          |          P73          |          P74          |          P75          |          P76           |         P77          |          P78          |          P79          |          P80           |         P81          |          P82           |          P83          |         P84          |          P85          |          P86          |          P87           |          P88           |          P89          |          P90          |          P91           |          P92          |          P93          |          P94          |         P95          |         P96          |          P97          |         P98          |          P99          |          P100         |          P101         |          P102         |
+----------------------------------+------------------------+------------------------+------------------------+------------------------+------------------------+------------------------+------------------------+-----------------------+------------------------+-----------------------+------------------------+-----------------------+------------------------+----------------------+-----------------------+-----------------------+-----------------------+----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+----------------------+-----------------------+-----------------------+-----------------------+----------------------+----------------------+-----------------------+----------------------+-----------------------+----------------------+-----------------------+-----------------------+-----------------------+----------------------+-----------------------+-----------------------+-----------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+------------------------+------------------------+------------------------+------------------------+------------------------+------------------------+------------------------+------------------------+------------------------+-----------------------+------------------------+------------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+------------------------+-----------------------+----------------------+-----------------------+-----------------------+-----------------------+------------------------+----------------------+-----------------------+-----------------------+------------------------+----------------------+------------------------+-----------------------+----------------------+-----------------------+-----------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+-----------------------+-----------------------+-----------------------+----------------------+----------------------+-----------------------+----------------------+-----------------------+-----------------------+-----------------------+-----------------------+
|  Outcome selected for analysis   |           1            |           1            |           1            |           1            |           1            |           1            |           1            |           1           |           1            |           1           |           1            |           1           |           1            |          1           |           1           |           1           |           1           |          1           |           1           |           1           |           1           |           1           |           1           |          1           |           1           |           1           |           1           |          1           |          1           |           1           |          1           |           1           |          1           |           1           |           1           |           1           |          1           |           1           |           1           |           1           |           1            |           1            |           1           |           1           |           1            |           1            |           1            |           1           |           1           |           1            |           1            |           1            |           1            |           1            |           1            |           1            |           1            |           1            |           1            |           1           |           1            |           1            |           1           |           1           |           1           |           1           |           1           |           1           |           1           |           1            |           1           |          1           |           1           |           1           |           1           |           1            |          1           |           1           |           1           |           1            |          1           |           1            |           1           |          1           |           1           |           1           |           1            |           1            |           1           |           1           |           1            |           1           |           1           |           1           |          1           |          1           |           1           |          1           |           1           |           1           |           1           |           1           |
|         Information Gain         |   0.0537087830293631   | 0.0067772038573938485  |   0.4095641463809623   |   0.1550341772672299   | 0.0036738190688059397  |  0.02563217163809259   | 0.00020868607219557634 |   0.0218854692156869  |  0.017031169082913165  |  0.19120066671044159  |  0.010431287874588295  |  0.010522510318369347 |  0.005944464967199754  | 0.018525482482200976 |  0.05070155156768325  | 0.0067772038573938485 | 0.0015468394237597208 |  0.1818903231745611  | 0.0067772038573938485 |  0.017031169082913165 |  0.007140959286055662 |  0.005944464967199754 |  0.007140959286055662 | 0.19120066671044159  |  0.018696356454354645 |  0.010431287874588295 |  0.018696356454354645 | 0.19120066671044159  | 0.23245701180954828  |  0.017031169082913165 |  0.1666017706887539  |  0.017031169082913165 | 0.13469321289272632  |  0.017031169082913165 |  0.007140959286055662 |  0.007140959286055662 |  0.4694487194069882  |  0.007140959286055662 |  0.010522510318369347 |   0.0924359820951219  |   0.0537087830293631   |  0.15072916183592108   |   0.5227704123310075  |  0.036054449088578494 |  0.005944464967199754  |  0.000134810290044859  |  0.000134810290044859  |  0.02981057163586419  |  0.016368527571388194 |  0.000134810290044859  |  0.000134810290044859  |  0.000134810290044859  |  0.02981057163586419   |  0.17737230580119748   |  0.04022388645277741   |  0.17737230580119748   |  0.000134810290044859  |  0.04022388645277741   |  0.41880590295932446   |  0.15072916183592108  |  0.000134810290044859  |  0.04022388645277741   |  0.036054449088578494 |  0.02981057163586419  |  0.04022388645277741  |  0.021695385916591987 |  0.04022388645277741  |  0.009062382044416156 |  0.009062382044416156 |  0.03154072091261062   |  0.23767951405797555  | 0.20985507659933314  |  0.021695385916591987 |  0.20985507659933314  |  0.015336909243392515 |  0.000134810290044859  |  0.1969490964129544  |  0.04022388645277741  |   0.5227704123310075  |  0.000134810290044859  | 0.20985507659933314  |  0.000134810290044859  |  0.04022388645277741  | 0.26870548886210255  |  0.03154072091261062  | 0.0020807519778352876 |  0.000826485717757436  |  0.000134810290044859  |  0.04022388645277741  |  0.04022388645277741  |  0.000826485717757436  |  0.04022388645277741  |  0.03154072091261062  |  0.01037893866403888  | 0.23767951405797555  | 0.20985507659933314  |  0.003878069825514214 |  0.3037693778482421  |  0.02981057163586419  |  0.021695385916591987 |  0.02981057163586419  |  0.04022388645277741  |
|           Chi-squared            |   1.7276153346328784   |   0.2393495934959349   |   11.120879120879124   |   2.8163265306122445   |   0.1404151404151405   |   0.970870399441828    |  0.008211411720183677  |   0.7666666666666666  |   0.5521825396825397   |   3.6799999999999997  |   0.2688109726649279   |   0.324960753532182   |  0.17653508771929818   |  0.5404065040650409  |   1.4878141695702671  |   0.2393495934959349  |  0.047209375989863765 |  3.9476061427280933  |   0.2393495934959349  |   0.5521825396825397  |  0.18482142857142858  |  0.17653508771929818  |  0.18482142857142858  |  3.6799999999999997  |   0.4803675856307432  |   0.2688109726649279  |   0.4803675856307432  |  3.6799999999999997  |  4.779220779220778   |   0.5521825396825397  |  3.0828924162257483  |   0.5521825396825397  |  5.275396825396824   |   0.5521825396825397  |  0.18482142857142858  |  0.18482142857142858  |  13.93939393939394   |  0.18482142857142858  |   0.324960753532182   |   3.2424812030075185  |   1.7276153346328784   |   2.2583979328165373   |   15.244186046511626  |   1.0502163267246702  |  0.17653508771929818   | 0.0029715762273901766  | 0.0029715762273901766  |   0.8163670954368629  |   0.3565891472868217  | 0.0029715762273901766  | 0.0029715762273901766  | 0.0029715762273901766  |   0.8163670954368629   |   5.4239086087311295   |   1.164857881136951    |   5.4239086087311295   | 0.0029715762273901766  |   1.164857881136951    |   10.211416490486256   |   2.2583979328165373  | 0.0029715762273901766  |   1.164857881136951    |   1.0502163267246702  |   0.8163670954368629  |   1.164857881136951   |   0.5677274581803347  |   1.164857881136951   |   0.1962938353636029  |   0.1962938353636029  |   0.7022063208109719   |   4.172093023255814   |  3.5010570824524314  |   0.5677274581803347  |   3.5010570824524314  |   0.3865726191307585  | 0.0029715762273901766  |  3.2093023255813957  |   1.164857881136951   |   15.244186046511626  | 0.0029715762273901766  |  3.5010570824524314  | 0.0029715762273901766  |   1.164857881136951   |  4.992248062015503   |   0.7022063208109719  |  0.045281161560231396 |  0.018082613959777984  | 0.0029715762273901766  |   1.164857881136951   |   1.164857881136951   |  0.018082613959777984  |   1.164857881136951   |   0.7022063208109719  |   0.2535745047372955  |  4.172093023255814   |  3.5010570824524314  |  0.08410777158227178  |  6.017441860465116   |   0.8163670954368629  |   0.5677274581803347  |   0.8163670954368629  |   1.164857881136951   |
|            Gini index            |  0.018210459987397676  | 0.0011803218221219554  |  0.09802862543883317   |  0.029165541452875976  | 0.0013848785115324613  |  0.010473143743465085  | 8.655490697090373e-05  |  0.008333333333333304 |  0.002723017373300985  |  0.03969754253308125  |  0.002723017373300829  | 0.0018228463408047034 |  0.001102709514808023  | 0.005329890728018927 |  0.01604961040158595  | 0.0011803218221219554 | 0.0003734612015307698 | 0.041610954861911575 | 0.0011803218221219554 |  0.002723017373300985 | 0.0018228463408048734 |  0.001102709514808023 | 0.0018228463408048734 | 0.03969754253308125  |  0.005063462057790846 |  0.002723017373300829 |  0.005063462057790846 | 0.03969754253308125  | 0.05184985147177956  |  0.002723017373300985 | 0.03249617427311169  |  0.002723017373300985 | 0.026014942839139344 |  0.002723017373300985 | 0.0018228463408048734 | 0.0018228463408048734 | 0.11027095148078148  | 0.0018228463408048734 | 0.0018228463408047034 |   0.0202538482311639  |  0.018210459987397676  |  0.023805336967512192  |  0.09522134787004888  |  0.011070127714509659 |  0.001102709514808023  | 2.9307894081398445e-05 | 2.9307894081398445e-05 |  0.004579358450198575 |  0.003875968992248069 | 2.9307894081398445e-05 | 2.9307894081398445e-05 | 2.9307894081398445e-05 |  0.004579358450198575  |  0.03387992555794912   |  0.00574434723992916   |  0.03387992555794912   | 2.9307894081398445e-05 |  0.00574434723992916   |  0.08077988306150263   |  0.023805336967512192 | 2.9307894081398445e-05 |  0.00574434723992916   |  0.011070127714509659 |  0.004579358450198575 |  0.00574434723992916  |  0.003546255183833849 |  0.00574434723992916  | 0.0021174953473718228 | 0.0021174953473718228 |  0.00750282088480525   |  0.044577306897612745 | 0.03798303072932696  |  0.003546255183833849 |  0.03798303072932696  | 0.0026450374408348715 | 2.9307894081398445e-05 |  0.0348837209302324  |  0.00574434723992916  |  0.09522134787004888  | 2.9307894081398445e-05 | 0.03798303072932696  | 2.9307894081398445e-05 |  0.00574434723992916  | 0.05169912515936165  |  0.00750282088480525  | 0.0004689263053003767 | 0.00018317433800796312 | 2.9307894081398445e-05 |  0.00574434723992916  |  0.00574434723992916  | 0.00018317433800796312 |  0.00574434723992916  |  0.00750282088480525  | 0.0018757052212011946 | 0.044577306897612745 | 0.03798303072932696  | 0.0008865637959583061 | 0.05934848551457339  |  0.004579358450198575 |  0.003546255183833849 |  0.004579358450198575 |  0.00574434723992916  |
|      Difference in Support       |  0.13255360623781676   |  0.06666666666666662   |   0.3076923076923077   |  0.14285714285714285   |  0.04166666666666666   |  0.10476190476190476   |  0.009746588693957087  |  0.08695652173913043  |  0.09166666666666663   |          0.16         |  0.04462474645030426   |  0.06593406593406592  |  0.04605263157894737   | 0.07083333333333333  |  0.11238095238095239  |  0.06666666666666662  |  0.023376623376623357 | 0.18518518518518517  |  0.06666666666666662  |  0.09166666666666663  |  0.03749999999999999  |  0.04605263157894737  |  0.03749999999999999  |         0.16         |  0.058479532163742666 |  0.04462474645030426  |  0.058479532163742666 |         0.16         |  0.1818181818181818  |  0.09166666666666663  | 0.14814814814814814  |  0.09166666666666663  | 0.28333333333333327  |  0.09166666666666663  |  0.03749999999999999  |  0.03749999999999999  |  0.3636363636363636  |  0.03749999999999999  |  0.06593406593406592  |  0.19736842105263158  |  0.13255360623781676   |  0.11111111111111109   |         0.375         |  0.09551656920077972  |  0.04605263157894737   |  0.004166666666666666  |  0.004166666666666666  |  0.09157509157509157  |  0.043478260869565216 |  0.004166666666666666  |  0.004166666666666666  |  0.004166666666666666  |  0.09157509157509157   |   0.2236842105263158   |  0.11666666666666663   |   0.2236842105263158   |  0.004166666666666666  |  0.11666666666666663   |   0.2727272727272727   |  0.11111111111111109  |  0.004166666666666666  |  0.11666666666666663   |  0.09551656920077972  |  0.09157509157509157  |  0.11666666666666663  |  0.07236842105263158  |  0.11666666666666663  |  0.03238095238095238  |  0.03238095238095238  |  0.06153846153846153   |          0.15         | 0.13636363636363635  |  0.07236842105263158  |  0.13636363636363635  |  0.05705705705705707  |  0.004166666666666666  | 0.13043478260869565  |  0.11666666666666663  |         0.375         |  0.004166666666666666  | 0.13636363636363635  |  0.004166666666666666  |  0.11666666666666663  | 0.16666666666666666  |  0.06153846153846153  |  0.015873015873015865 |  0.010141987829614604  |  0.004166666666666666  |  0.11666666666666663  |  0.11666666666666663  |  0.010141987829614604  |  0.11666666666666663  |  0.06153846153846153  |  0.04444444444444447  |         0.15         | 0.13636363636363635  |  0.021442495126705645 |        0.1875        |  0.09157509157509157  |  0.07236842105263158  |  0.09157509157509157  |  0.11666666666666663  |
|          Bigger Support          |  0.18518518518518517   |  0.16666666666666663   |   0.3076923076923077   |  0.14285714285714285   |  0.16666666666666666   |          0.2           |  0.15789473684210525   |  0.17391304347826086  |  0.16666666666666663   |          0.16         |  0.10344827586206896   |  0.14285714285714285  |         0.125          | 0.13333333333333333  |          0.16         |  0.16666666666666663  |  0.11428571428571428  | 0.18518518518518517  |  0.16666666666666663  |  0.16666666666666663  |  0.09999999999999999  |         0.125         |  0.09999999999999999  |         0.16         |  0.11111111111111109  |  0.10344827586206896  |  0.11111111111111109  |         0.16         |  0.1818181818181818  |  0.16666666666666663  | 0.14814814814814814  |  0.16666666666666663  | 0.33333333333333326  |  0.16666666666666663  |  0.09999999999999999  |  0.09999999999999999  |  0.3636363636363636  |  0.09999999999999999  |  0.14285714285714285  |          0.25         |  0.18518518518518517   |  0.11111111111111109   |         0.375         |  0.14814814814814814  |         0.125          |  0.06666666666666667   |  0.06666666666666667   |  0.14285714285714285  |  0.08695652173913043  |  0.06666666666666667   |  0.06666666666666667   |  0.06666666666666667   |  0.14285714285714285   |          0.25          |  0.16666666666666663   |          0.25          |  0.06666666666666667   |  0.16666666666666663   |   0.2727272727272727   |  0.11111111111111109  |  0.06666666666666667   |  0.16666666666666663   |  0.14814814814814814  |  0.14285714285714285  |  0.16666666666666663  |         0.125         |  0.16666666666666663  |          0.08         |          0.08         |  0.09999999999999999   |          0.15         | 0.13636363636363635  |         0.125         |  0.13636363636363635  |  0.11111111111111112  |  0.06666666666666667   | 0.13043478260869565  |  0.16666666666666663  |         0.375         |  0.06666666666666667   | 0.13636363636363635  |  0.06666666666666667   |  0.16666666666666663  | 0.16666666666666666  |  0.09999999999999999  |  0.07142857142857142  |  0.06896551724137931   |  0.06666666666666667   |  0.16666666666666663  |  0.16666666666666663  |  0.06896551724137931   |  0.16666666666666663  |  0.09999999999999999  |  0.10000000000000002  |         0.15         | 0.13636363636363635  |  0.07407407407407407  |        0.1875        |  0.14285714285714285  |         0.125         |  0.14285714285714285  |  0.16666666666666663  |
|            Confidence            |   0.8333333333333334   |          0.8           |          1.0           |          1.0           |   0.7142857142857142   |   0.2857142857142857   |  0.42857142857142855   |   0.3333333333333333  |          0.75          |          1.0          |          0.75          |          0.75         |          0.75          |         0.8          |          0.8          |          0.8          |          0.8          |         1.0          |          0.8          |          0.75         |          0.75         |          0.75         |          0.75         |         1.0          |          0.75         |          0.75         |          0.75         |         1.0          |         1.0          |          0.75         |         1.0          |          0.75         |         0.5          |          0.75         |          0.75         |          0.75         |         1.0          |          0.75         |          0.75         |          0.5          |   0.8333333333333334   |          1.0           |          1.0          |          0.8          |          0.75          |   0.6666666666666666   |   0.6666666666666666   |   0.6666666666666666  |   0.3333333333333333  |   0.6666666666666666   |   0.6666666666666666   |   0.6666666666666666   |   0.6666666666666666   |   0.3333333333333333   |   0.6666666666666666   |   0.3333333333333333   |   0.6666666666666666   |   0.6666666666666666   |          1.0           |          1.0          |   0.6666666666666666   |   0.6666666666666666   |          0.8          |   0.6666666666666666  |   0.6666666666666666  |   0.6666666666666666  |   0.6666666666666666  |   0.3333333333333333  |   0.3333333333333333  |   0.3333333333333333   |          1.0          |         1.0          |   0.6666666666666666  |          1.0          |   0.6666666666666666  |   0.6666666666666666   |         1.0          |   0.6666666666666666  |          1.0          |   0.6666666666666666   |         1.0          |   0.6666666666666666   |   0.6666666666666666  |         1.0          |   0.3333333333333333  |   0.6666666666666666  |   0.6666666666666666   |   0.6666666666666666   |   0.6666666666666666  |   0.6666666666666666  |   0.6666666666666666   |   0.6666666666666666  |   0.3333333333333333  |   0.6666666666666666  |         1.0          |         1.0          |   0.6666666666666666  |         1.0          |   0.6666666666666666  |   0.6666666666666666  |   0.6666666666666666  |   0.6666666666666666  |
|          All-Confidence          |  0.18518518518518517   |          0.1           |   0.3076923076923077   |  0.14285714285714285   |  0.16666666666666666   |  0.09523809523809525   |  0.15789473684210525   |  0.08695652173913043  |         0.075          |          0.16         |  0.10344827586206896   |  0.07692307692307693  |  0.07894736842105263   | 0.13333333333333333  |          0.16         |          0.1          |  0.11428571428571428  | 0.18518518518518517  |          0.1          |         0.075         |  0.09999999999999999  |  0.07894736842105263  |  0.09999999999999999  |         0.16         |  0.11111111111111109  |  0.10344827586206896  |  0.11111111111111109  |         0.16         |  0.1818181818181818  |         0.075         | 0.14814814814814814  |         0.075         |         0.05         |         0.075         |  0.09999999999999999  |  0.09999999999999999  |  0.3636363636363636  |  0.09999999999999999  |  0.07692307692307693  |  0.05263157894736842  |  0.18518518518518517   |  0.11111111111111109   |         0.375         |  0.14814814814814814  |  0.07894736842105263   |  0.06666666666666667   |  0.06666666666666667   |  0.05128205128205128  |  0.043478260869565216 |  0.06666666666666667   |  0.06666666666666667   |  0.06666666666666667   |  0.05128205128205128   |  0.02631578947368421   |          0.05          |  0.02631578947368421   |  0.06666666666666667   |          0.05          |   0.2727272727272727   |  0.11111111111111109  |  0.06666666666666667   |          0.05          |  0.14814814814814814  |  0.05128205128205128  |          0.05         |  0.05263157894736842  |          0.05         |  0.04761904761904762  |  0.04761904761904762  |  0.038461538461538464  |          0.15         | 0.13636363636363635  |  0.05263157894736842  |  0.13636363636363635  |  0.05405405405405405  |  0.06666666666666667   | 0.13043478260869565  |          0.05         |         0.375         |  0.06666666666666667   | 0.13636363636363635  |  0.06666666666666667   |          0.05         | 0.16666666666666666  |  0.038461538461538464 |  0.07142857142857142  |  0.06896551724137931   |  0.06666666666666667   |          0.05         |          0.05         |  0.06896551724137931   |          0.05         |  0.038461538461538464 |  0.05555555555555555  |         0.15         | 0.13636363636363635  |  0.07407407407407407  |        0.1875        |  0.05128205128205128  |  0.05263157894736842  |  0.05128205128205128  |          0.05         |
|               Lift               |   1.419753086419753    |   0.9199999999999999   |   3.5384615384615388   |   1.6428571428571428   |   1.0952380952380951   |   0.6258503401360545   |   1.0375939849624058   |   0.6666666666666666  |   0.8624999999999999   |   1.8400000000000003  |   1.189655172413793    |   0.8846153846153847  |   0.9078947368421053   |  1.2266666666666668  |         1.472         |   0.9199999999999999  |   1.0514285714285714  |  1.7037037037037037  |   0.9199999999999999  |   0.8624999999999999  |          1.15         |   0.9078947368421053  |          1.15         |  1.8400000000000003  |   1.2777777777777777  |   1.189655172413793   |   1.2777777777777777  |  1.8400000000000003  |  2.090909090909091   |   0.8624999999999999  |  1.7037037037037035  |   0.8624999999999999  |        0.575         |   0.8624999999999999  |          1.15         |          1.15         |  4.181818181818182   |          1.15         |   0.8846153846153847  |   0.605263157894737   |   1.419753086419753    |   1.7037037037037035   |          5.75         |   1.362962962962963   |   0.9078947368421053   |   1.0222222222222224   |   1.0222222222222224   |   0.7863247863247863  |   0.6666666666666666  |   1.0222222222222224   |   1.0222222222222224   |   1.0222222222222224   |   0.7863247863247863   |  0.40350877192982454   |   0.7666666666666666   |  0.40350877192982454   |   1.0222222222222224   |   0.7666666666666666   |   4.181818181818182    |   1.7037037037037035  |   1.0222222222222224   |   0.7666666666666666   |   1.362962962962963   |   0.7863247863247863  |   0.7666666666666666  |   0.8070175438596491  |   0.7666666666666666  |   0.7301587301587302  |   0.7301587301587302  |   0.5897435897435898   |          2.3          |  2.090909090909091   |   0.8070175438596491  |   2.090909090909091   |   0.8288288288288288  |   1.0222222222222224   |         2.0          |   0.7666666666666666  |          5.75         |   1.0222222222222224   |  2.090909090909091   |   1.0222222222222224   |   0.7666666666666666  |  2.5555555555555554  |   0.5897435897435898  |   1.0952380952380951  |   1.0574712643678161   |   1.0222222222222224   |   0.7666666666666666  |   0.7666666666666666  |   1.0574712643678161   |   0.7666666666666666  |   0.5897435897435898  |   0.8518518518518517  |         2.3          |  2.090909090909091   |   1.1358024691358024  |        2.875         |   0.7863247863247863  |   0.8070175438596491  |   0.7863247863247863  |   0.7666666666666666  |
