+----------------------------------+-----------------------+------------------------+------------------------+------------------------+-----------------------+------------------------+------------------------+-----------------------+-----------------------+-----------------------+------------------------+------------------------+----------------------+----------------------+----------------------+----------------------+----------------------+------------------------+-----------------------+------------------------+----------------------+----------------------+----------------------+----------------------+----------------------+----------------------+----------------------+----------------------+----------------------+----------------------+----------------------+------------------------+------------------------+-----------------------+----------------------+----------------------+----------------------+-----------------------+------------------------+------------------------+------------------------+-----------------------+------------------------+-----------------------+------------------------+-----------------------+------------------------+-----------------------+------------------------+------------------------+-----------------------+------------------------+------------------------+------------------------+------------------------+-----------------------+----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+----------------------+-----------------------+-----------------------+-----------------------+----------------------+----------------------+-----------------------+----------------------+----------------------+----------------------+-----------------------+-----------------------+----------------------+-----------------------+-----------------------+----------------------+----------------------+----------------------+----------------------+----------------------+-----------------------+----------------------+----------------------+----------------------+----------------------+----------------------+
|              Metric              |           P1          |           P2           |           P3           |           P4           |           P5          |           P6           |           P7           |           P8          |           P9          |          P10          |          P11           |          P12           |         P13          |         P14          |         P15          |         P16          |         P17          |          P18           |          P19          |          P20           |         P21          |         P22          |         P23          |         P24          |         P25          |         P26          |         P27          |         P28          |         P29          |         P30          |         P31          |          P32           |          P33           |          P34          |         P35          |         P36          |         P37          |          P38          |          P39           |          P40           |          P41           |          P42          |          P43           |          P44          |          P45           |          P46          |          P47           |          P48          |          P49           |          P50           |          P51          |          P52           |          P53           |          P54           |          P55           |          P56          |         P57          |          P58          |          P59          |          P60          |          P61          |          P62          |          P63          |          P64          |          P65          |          P66          |          P67          |          P68          |          P69          |          P70          |         P71          |          P72          |          P73          |          P74          |         P75          |         P76          |          P77          |         P78          |         P79          |         P80          |          P81          |          P82          |         P83          |          P84          |          P85          |         P86          |         P87          |         P88          |         P89          |         P90          |          P91          |         P92          |         P93          |         P94          |         P95          |         P96          |
+----------------------------------+-----------------------+------------------------+------------------------+------------------------+-----------------------+------------------------+------------------------+-----------------------+-----------------------+-----------------------+------------------------+------------------------+----------------------+----------------------+----------------------+----------------------+----------------------+------------------------+-----------------------+------------------------+----------------------+----------------------+----------------------+----------------------+----------------------+----------------------+----------------------+----------------------+----------------------+----------------------+----------------------+------------------------+------------------------+-----------------------+----------------------+----------------------+----------------------+-----------------------+------------------------+------------------------+------------------------+-----------------------+------------------------+-----------------------+------------------------+-----------------------+------------------------+-----------------------+------------------------+------------------------+-----------------------+------------------------+------------------------+------------------------+------------------------+-----------------------+----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+----------------------+-----------------------+-----------------------+-----------------------+----------------------+----------------------+-----------------------+----------------------+----------------------+----------------------+-----------------------+-----------------------+----------------------+-----------------------+-----------------------+----------------------+----------------------+----------------------+----------------------+----------------------+-----------------------+----------------------+----------------------+----------------------+----------------------+----------------------+
|  Outcome selected for analysis   |          0.0          |          0.0           |          0.0           |          0.0           |          0.0          |          2.0           |          0.0           |          0.0          |          0.0          |          2.0          |          2.0           |          0.0           |         0.0          |         0.0          |         0.0          |         0.0          |         2.0          |          1.0           |          2.0          |          1.0           |         0.0          |         0.0          |         0.0          |         0.0          |         0.0          |         0.0          |         0.0          |         0.0          |         0.0          |         0.0          |         0.0          |          1.0           |          1.0           |          0.0          |         0.0          |         2.0          |         2.0          |          0.0          |          0.0           |          0.0           |          0.0           |          0.0          |          2.0           |          2.0          |          0.0           |          0.0          |          2.0           |          0.0          |          0.0           |          0.0           |          0.0          |          2.0           |          0.0           |          0.0           |          0.0           |          0.0          |         2.0          |          0.0          |          2.0          |          0.0          |          0.0          |          2.0          |          0.0          |          0.0          |          0.0          |          1.0          |          0.0          |          0.0          |          0.0          |          0.0          |         0.0          |          0.0          |          0.0          |          0.0          |         0.0          |         0.0          |          0.0          |         0.0          |         0.0          |         0.0          |          0.0          |          0.0          |         0.0          |          0.0          |          0.0          |         2.0          |         0.0          |         2.0          |         0.0          |         0.0          |          0.0          |         0.0          |         2.0          |         2.0          |         0.0          |         0.0          |
|         Information Gain         |  0.18850025246725574  |  0.28546121287159504   |  0.030589642113852487  |  0.18850025246725574   |  0.048458960505994735 |  0.015745124992841548  |  0.21427643211340422   |  0.21427643211340422  |  0.06343165112504463  |  0.015745124992841548 |  0.015745124992841548  |  0.06343165112504463   | 0.030589642113852487 | 0.030589642113852487 | 0.030589642113852487 | 0.030589642113852487 | 0.015745124992841548 | 0.0027681455296700267  |  0.015745124992841548 | 0.0027681455296700267  | 0.06343165112504463  | 0.06343165112504463  | 0.06343165112504463  | 0.21427643211340422  | 0.06343165112504463  | 0.21427643211340422  | 0.06343165112504463  | 0.21427643211340422  | 0.06343165112504463  | 0.06343165112504463  | 0.06343165112504463  | 0.0027681455296700267  | 0.0027681455296700267  |   0.5047817345920119  | 0.06343165112504463  | 0.015745124992841548 | 0.015745124992841548 |  0.18850025246725574  |  0.13674752004253837   |  0.21427643211340422   |  0.010378938664038669  |  0.010378938664038669 |   0.0610814811513795   |   0.0610814811513795  |  0.010378938664038669  |  0.010378938664038669 |   0.0610814811513795   |  0.010378938664038669 |  0.010378938664038669  |  0.010378938664038669  |  0.010378938664038669 |   0.0610814811513795   |  0.44917866090348785   |  0.010378938664038669  |  0.010378938664038669  |  0.13674752004253837  |  0.0610814811513795  |  0.010378938664038669 |   0.0610814811513795  |  0.010378938664038669 |  0.010378938664038669 |   0.0610814811513795  |  0.010378938664038669 |  0.13674752004253837  |  0.13674752004253837  |  0.031540720912610364 |  0.010378938664038669 |  0.13674752004253837  |  0.010378938664038669 |  0.010378938664038669 | 0.13674752004253837  |  0.010378938664038669 |  0.13674752004253837  |  0.010378938664038669 | 0.13674752004253837  | 0.13674752004253837  |  0.010378938664038669 | 0.13674752004253837  | 0.13674752004253837  | 0.13674752004253837  |  0.010378938664038669 |  0.010378938664038669 | 0.13674752004253837  |  0.010378938664038669 |  0.010378938664038669 |  0.0610814811513795  | 0.13674752004253837  |  0.0610814811513795  | 0.13674752004253837  | 0.13674752004253837  |  0.010378938664038669 | 0.44917866090348785  |  0.0610814811513795  |  0.0610814811513795  | 0.13674752004253837  | 0.44917866090348785  |
|           Chi-squared            |   8.186296296296296   |   11.19208672086721    |   1.099512195121951    |   8.186296296296296    |   2.164265364265364   |  0.44722222222222224   |   7.304629629629631    |   7.304629629629631   |   2.0566137566137566  |  0.44722222222222224  |  0.44722222222222224   |   2.0566137566137566   |  1.099512195121951   |  1.099512195121951   |  1.099512195121951   |  1.099512195121951   | 0.44722222222222224  |  0.07582417582417578   |  0.44722222222222224  |  0.07582417582417578   |  2.0566137566137566  |  2.0566137566137566  |  2.0566137566137566  |  7.304629629629631   |  2.0566137566137566  |  7.304629629629631   |  2.0566137566137566  |  7.304629629629631   |  2.0566137566137566  |  2.0566137566137566  |  2.0566137566137566  |  0.07582417582417578   |  0.07582417582417578   |   15.771428571428574  |  2.0566137566137566  | 0.44722222222222224  | 0.44722222222222224  |   8.186296296296296   |   3.8075796726959528   |   7.304629629629631    |   0.2535745047372955   |   0.2535745047372955  |   1.438242894056848    |   1.438242894056848   |   0.2535745047372955   |   0.2535745047372955  |   1.438242894056848    |   0.2535745047372955  |   0.2535745047372955   |   0.2535745047372955   |   0.2535745047372955  |   1.438242894056848    |   11.553488372093021   |   0.2535745047372955   |   0.2535745047372955   |   3.8075796726959528  |  1.438242894056848   |   0.2535745047372955  |   1.438242894056848   |   0.2535745047372955  |   0.2535745047372955  |   1.438242894056848   |   0.2535745047372955  |   3.8075796726959528  |   3.8075796726959528  |   0.7022063208109718  |   0.2535745047372955  |   3.8075796726959528  |   0.2535745047372955  |   0.2535745047372955  |  3.8075796726959528  |   0.2535745047372955  |   3.8075796726959528  |   0.2535745047372955  |  3.8075796726959528  |  3.8075796726959528  |   0.2535745047372955  |  3.8075796726959528  |  3.8075796726959528  |  3.8075796726959528  |   0.2535745047372955  |   0.2535745047372955  |  3.8075796726959528  |   0.2535745047372955  |   0.2535745047372955  |  1.438242894056848   |  3.8075796726959528  |  1.438242894056848   |  3.8075796726959528  |  3.8075796726959528  |   0.2535745047372955  |  11.553488372093021  |  1.438242894056848   |  1.438242894056848   |  3.8075796726959528  |  11.553488372093021  |
|            Gini index            |  0.060554505356017474 |  0.08278851030476286   |  0.008133155055558117  |  0.060554505356017474  |  0.016009195593316372 |  0.004410838059231259  |  0.05403276622558295   |  0.05403276622558295  |  0.015212890449185168 |  0.004410838059231259 |  0.004410838059231259  |  0.015212890449185168  | 0.008133155055558117 | 0.008133155055558117 | 0.008133155055558117 | 0.008133155055558117 | 0.004410838059231259 | 0.0008101539292464377  |  0.004410838059231259 | 0.0008101539292464377  | 0.015212890449185168 | 0.015212890449185168 | 0.015212890449185168 | 0.05403276622558295  | 0.015212890449185168 | 0.05403276622558295  | 0.015212890449185168 | 0.05403276622558295  | 0.015212890449185168 | 0.015212890449185168 | 0.015212890449185168 | 0.0008101539292464377  | 0.0008101539292464377  |  0.11666216581150413  | 0.015212890449185168 | 0.004410838059231259 | 0.004410838059231259 |  0.060554505356017474 |  0.028164886212101337  |  0.05403276622558295   | 0.0018757052212011738  | 0.0018757052212011738 |  0.014185020735335119  |  0.014185020735335119 | 0.0018757052212011738  | 0.0018757052212011738 |  0.014185020735335119  | 0.0018757052212011738 | 0.0018757052212011738  | 0.0018757052212011738  | 0.0018757052212011738 |  0.014185020735335119  |   0.0854618191409855   | 0.0018757052212011738  | 0.0018757052212011738  |  0.028164886212101337 | 0.014185020735335119 | 0.0018757052212011738 |  0.014185020735335119 | 0.0018757052212011738 | 0.0018757052212011738 |  0.014185020735335119 | 0.0018757052212011738 |  0.028164886212101337 |  0.028164886212101337 |  0.007502820884805139 | 0.0018757052212011738 |  0.028164886212101337 | 0.0018757052212011738 | 0.0018757052212011738 | 0.028164886212101337 | 0.0018757052212011738 |  0.028164886212101337 | 0.0018757052212011738 | 0.028164886212101337 | 0.028164886212101337 | 0.0018757052212011738 | 0.028164886212101337 | 0.028164886212101337 | 0.028164886212101337 | 0.0018757052212011738 | 0.0018757052212011738 | 0.028164886212101337 | 0.0018757052212011738 | 0.0018757052212011738 | 0.014185020735335119 | 0.028164886212101337 | 0.014185020735335119 | 0.028164886212101337 | 0.028164886212101337 | 0.0018757052212011738 |  0.0854618191409855  | 0.014185020735335119 | 0.014185020735335119 | 0.028164886212101337 |  0.0854618191409855  |
|      Difference in Support       |  0.34444444444444444  |  0.37222222222222223   |  0.11666666666666668   |  0.34444444444444444   |  0.18888888888888888  |  0.058333333333333334  |   0.2722222222222222   |   0.2722222222222222  |  0.14444444444444446  |  0.058333333333333334 |  0.058333333333333334  |  0.14444444444444446   | 0.11666666666666668  | 0.11666666666666668  | 0.11666666666666668  | 0.11666666666666668  | 0.058333333333333334 |  0.023076923076923092  |  0.058333333333333334 |  0.023076923076923092  | 0.14444444444444446  | 0.14444444444444446  | 0.14444444444444446  |  0.2722222222222222  | 0.14444444444444446  |  0.2722222222222222  | 0.14444444444444446  |  0.2722222222222222  | 0.14444444444444446  | 0.14444444444444446  | 0.14444444444444446  |  0.023076923076923092  |  0.023076923076923092  |          0.4          | 0.14444444444444446  | 0.058333333333333334 | 0.058333333333333334 |  0.34444444444444444  |  0.17222222222222222   |   0.2722222222222222   |  0.04444444444444445   |  0.04444444444444445  |  0.09166666666666667   |  0.09166666666666667  |  0.04444444444444445   |  0.04444444444444445  |  0.09166666666666667   |  0.04444444444444445  |  0.04444444444444445   |  0.04444444444444445   |  0.04444444444444445  |  0.09166666666666667   |          0.3           |  0.04444444444444445   |  0.04444444444444445   |  0.17222222222222222  | 0.09166666666666667  |  0.04444444444444445  |  0.09166666666666667  |  0.04444444444444445  |  0.04444444444444445  |  0.09166666666666667  |  0.04444444444444445  |  0.17222222222222222  |  0.17222222222222222  |  0.06153846153846155  |  0.04444444444444445  |  0.17222222222222222  |  0.04444444444444445  |  0.04444444444444445  | 0.17222222222222222  |  0.04444444444444445  |  0.17222222222222222  |  0.04444444444444445  | 0.17222222222222222  | 0.17222222222222222  |  0.04444444444444445  | 0.17222222222222222  | 0.17222222222222222  | 0.17222222222222222  |  0.04444444444444445  |  0.04444444444444445  | 0.17222222222222222  |  0.04444444444444445  |  0.04444444444444445  | 0.09166666666666667  | 0.17222222222222222  | 0.09166666666666667  | 0.17222222222222222  | 0.17222222222222222  |  0.04444444444444445  |         0.3          | 0.09166666666666667  | 0.09166666666666667  | 0.17222222222222222  |         0.3          |
|          Bigger Support          |          0.4          |          0.4           |          0.2           |          0.4           |          0.3          |         0.125          |          0.3           |          0.3          |          0.2          |         0.125         |         0.125          |          0.2           |         0.2          |         0.2          |         0.2          |         0.2          |        0.125         |          0.1           |         0.125         |          0.1           |         0.2          |         0.2          |         0.2          |         0.3          |         0.2          |         0.3          |         0.2          |         0.3          |         0.2          |         0.2          |         0.2          |          0.1           |          0.1           |          0.4          |         0.2          |        0.125         |        0.125         |          0.4          |          0.2           |          0.3           |          0.1           |          0.1          |         0.125          |         0.125         |          0.1           |          0.1          |         0.125          |          0.1          |          0.1           |          0.1           |          0.1          |         0.125          |          0.3           |          0.1           |          0.1           |          0.2          |        0.125         |          0.1          |         0.125         |          0.1          |          0.1          |         0.125         |          0.1          |          0.2          |          0.2          |          0.1          |          0.1          |          0.2          |          0.1          |          0.1          |         0.2          |          0.1          |          0.2          |          0.1          |         0.2          |         0.2          |          0.1          |         0.2          |         0.2          |         0.2          |          0.1          |          0.1          |         0.2          |          0.1          |          0.1          |        0.125         |         0.2          |        0.125         |         0.2          |         0.2          |          0.1          |         0.3          |        0.125         |        0.125         |         0.2          |         0.3          |
|            Confidence            |   0.6666666666666666  |          0.8           |          0.4           |   0.6666666666666666   |  0.42857142857142855  |          0.5           |          0.75          |          0.75         |          0.5          |          0.5          |          0.5           |          0.5           |         0.4          |         0.4          |         0.4          |         0.4          |         0.5          |          0.5           |          0.5          |          0.5           |         0.5          |         0.5          |         0.5          |         0.75         |         0.5          |         0.75         |         0.5          |         0.75         |         0.5          |         0.5          |         0.5          |          0.5           |          0.5           |          1.0          |         0.5          |         0.5          |         0.5          |   0.6666666666666666  |   0.6666666666666666   |          0.75          |   0.3333333333333333   |   0.3333333333333333  |   0.6666666666666666   |   0.6666666666666666  |   0.3333333333333333   |   0.3333333333333333  |   0.6666666666666666   |   0.3333333333333333  |   0.3333333333333333   |   0.3333333333333333   |   0.3333333333333333  |   0.6666666666666666   |          1.0           |   0.3333333333333333   |   0.3333333333333333   |   0.6666666666666666  |  0.6666666666666666  |   0.3333333333333333  |   0.6666666666666666  |   0.3333333333333333  |   0.3333333333333333  |   0.6666666666666666  |   0.3333333333333333  |   0.6666666666666666  |   0.6666666666666666  |   0.6666666666666666  |   0.3333333333333333  |   0.6666666666666666  |   0.3333333333333333  |   0.3333333333333333  |  0.6666666666666666  |   0.3333333333333333  |   0.6666666666666666  |   0.3333333333333333  |  0.6666666666666666  |  0.6666666666666666  |   0.3333333333333333  |  0.6666666666666666  |  0.6666666666666666  |  0.6666666666666666  |   0.3333333333333333  |   0.3333333333333333  |  0.6666666666666666  |   0.3333333333333333  |   0.3333333333333333  |  0.6666666666666666  |  0.6666666666666666  |  0.6666666666666666  |  0.6666666666666666  |  0.6666666666666666  |   0.3333333333333333  |         1.0          |  0.6666666666666666  |  0.6666666666666666  |  0.6666666666666666  |         1.0          |
|          All-Confidence          |          0.4          |          0.4           |          0.2           |          0.4           |          0.3          |         0.125          |          0.3           |          0.3          |          0.2          |         0.125         |         0.125          |          0.2           |         0.2          |         0.2          |         0.2          |         0.2          |        0.125         |          0.1           |         0.125         |          0.1           |         0.2          |         0.2          |         0.2          |         0.3          |         0.2          |         0.3          |         0.2          |         0.3          |         0.2          |         0.2          |         0.2          |          0.1           |          0.1           |          0.4          |         0.2          |        0.125         |        0.125         |          0.4          |          0.2           |          0.3           |          0.1           |          0.1          |         0.125          |         0.125         |          0.1           |          0.1          |         0.125          |          0.1          |          0.1           |          0.1           |          0.1          |         0.125          |          0.3           |          0.1           |          0.1           |          0.2          |        0.125         |          0.1          |         0.125         |          0.1          |          0.1          |         0.125         |          0.1          |          0.2          |          0.2          |          0.1          |          0.1          |          0.2          |          0.1          |          0.1          |         0.2          |          0.1          |          0.2          |          0.1          |         0.2          |         0.2          |          0.1          |         0.2          |         0.2          |         0.2          |          0.1          |          0.1          |         0.2          |          0.1          |          0.1          |        0.125         |         0.2          |        0.125         |         0.2          |         0.2          |          0.1          |         0.3          |        0.125         |        0.125         |         0.2          |         0.3          |
|               Lift               |   3.0666666666666664  |   3.6799999999999997   |   1.8399999999999999   |   3.0666666666666664   |   1.971428571428571   |         1.4375         |   3.4499999999999997   |   3.4499999999999997  |          2.3          |         1.4375        |         1.4375         |          2.3           |  1.8399999999999999  |  1.8399999999999999  |  1.8399999999999999  |  1.8399999999999999  |        1.4375        |          1.15          |         1.4375        |          1.15          |         2.3          |         2.3          |         2.3          |  3.4499999999999997  |         2.3          |  3.4499999999999997  |         2.3          |  3.4499999999999997  |         2.3          |         2.3          |         2.3          |          1.15          |          1.15          |          4.6          |         2.3          |        1.4375        |        1.4375        |   3.0666666666666664  |   3.0666666666666664   |   3.4499999999999997   |   1.5333333333333332   |   1.5333333333333332  |   1.9166666666666667   |   1.9166666666666667  |   1.5333333333333332   |   1.5333333333333332  |   1.9166666666666667   |   1.5333333333333332  |   1.5333333333333332   |   1.5333333333333332   |   1.5333333333333332  |   1.9166666666666667   |          4.6           |   1.5333333333333332   |   1.5333333333333332   |   3.0666666666666664  |  1.9166666666666667  |   1.5333333333333332  |   1.9166666666666667  |   1.5333333333333332  |   1.5333333333333332  |   1.9166666666666667  |   1.5333333333333332  |   3.0666666666666664  |   3.0666666666666664  |   1.5333333333333332  |   1.5333333333333332  |   3.0666666666666664  |   1.5333333333333332  |   1.5333333333333332  |  3.0666666666666664  |   1.5333333333333332  |   3.0666666666666664  |   1.5333333333333332  |  3.0666666666666664  |  3.0666666666666664  |   1.5333333333333332  |  3.0666666666666664  |  3.0666666666666664  |  3.0666666666666664  |   1.5333333333333332  |   1.5333333333333332  |  3.0666666666666664  |   1.5333333333333332  |   1.5333333333333332  |  1.9166666666666667  |  3.0666666666666664  |  1.9166666666666667  |  3.0666666666666664  |  3.0666666666666664  |   1.5333333333333332  |         4.6          |  1.9166666666666667  |  1.9166666666666667  |  3.0666666666666664  |         4.6          |
