@relation untitled
@attribute AHR_ECOLI {0,1,2}
@attribute LCFA_ECOLI {0,1,2}
@attribute Dodecanoyl_acyl_carrier_protein_hydrolase_chloroplastic {0,1,2}
@attribute Fatty-acyl_CoA_reductase {0,1,2}
@attribute A1U2T0 {0,1,2}
@attribute A1U3L3 {0,1,2}
@attribute values {0,1,2}
@data
1,0,0,0,2,0,0
1,0,0,0,1,0,0
0,0,0,0,2,0,0
0,0,0,0,2,0,0
0,0,0,0,2,0,0
1,0,0,0,2,0,0
1,0,0,0,2,0,0
0,0,0,0,2,0,0
1,0,0,2,2,0,0
1,0,0,2,2,0,0
1,0,0,2,2,0,0
1,0,0,0,2,0,0
1,0,0,2,2,0,0
1,0,0,2,2,0,0
0,0,0,2,2,0,0
1,0,0,0,2,0,0
0,0,0,2,2,0,0
0,1,1,0,1,1,2
0,1,2,0,0,1,2
0,0,2,0,0,1,2
0,0,1,2,1,1,2
0,0,1,2,1,1,2
0,1,0,2,0,2,2
0,1,0,2,0,2,2
0,1,0,0,0,2,2
0,1,0,0,0,2,2
0,1,0,0,0,2,2
0,0,0,0,0,1,2
0,0,0,0,1,2,2
0,0,0,0,0,2,2
1,1,0,2,1,2,2
1,1,0,2,0,2,2
2,1,1,2,1,2,2
1,2,1,0,1,2,2
1,2,1,0,2,2,2
1,2,1,2,2,2,2
1,1,0,2,0,2,2
1,1,0,2,0,2,2
0,1,0,2,0,2,2
0,1,0,2,1,2,2
0,1,0,2,1,2,2
0,1,0,0,0,2,2
1,2,0,0,0,2,1
0,2,0,0,0,2,1
1,2,2,0,1,0,0
1,2,2,0,1,0,0
0,2,2,0,1,0,0
0,1,0,0,1,0,0
0,2,1,0,1,0,0
0,1,1,0,1,0,0
0,0,0,0,1,0,0
0,1,1,0,1,0,0
0,0,1,2,1,0,0
0,0,1,0,1,0,0
1,2,1,0,2,0,1
1,2,1,0,2,0,1
1,2,1,0,2,0,1
1,1,0,2,2,0,1
1,1,0,2,2,0,1
1,1,0,0,2,0,1
0,1,1,2,0,1,2
0,1,2,0,1,1,2
0,0,1,0,0,1,2
0,1,2,0,0,1,2
1,1,2,0,0,1,2
2,2,2,2,0,0,1
2,2,2,2,0,0,1
2,2,2,2,0,0,1
2,2,2,2,1,0,0
2,2,2,2,1,0,1
2,2,2,2,0,0,1
2,2,2,2,1,0,1
2,2,2,2,1,0,1
2,2,2,2,0,0,1
2,2,2,2,0,0,1
2,2,2,2,1,0,1
2,1,0,2,0,0,0
2,1,1,2,0,0,0
2,1,1,2,1,0,0
2,2,1,2,1,0,1
2,2,1,2,1,0,1
2,2,1,2,0,0,1
2,2,1,2,1,0,0
2,2,1,2,0,0,0
2,2,1,2,0,0,0
2,1,1,2,1,0,0
2,1,0,2,0,0,0
2,1,1,2,1,0,0
2,2,1,2,0,0,1
2,2,1,2,1,0,1
2,2,1,2,0,0,1
1,2,1,0,1,1,1
1,2,1,0,0,1,1
1,2,1,1,0,1,1
2,2,1,2,0,0,0
2,2,1,2,1,0,0
2,2,1,2,1,0,0
0,0,2,0,1,0,0
0,0,2,0,1,0,0
0,0,2,2,0,0,0
1,2,2,0,2,0,1
0,2,2,2,2,0,1
1,2,2,0,2,0,1
2,2,2,2,2,0,1
2,2,2,0,2,0,1
2,2,2,0,2,0,1
2,2,2,2,2,0,1
2,2,2,2,2,0,1
2,1,0,0,2,0,0
2,2,2,0,2,0,1
2,2,2,2,2,0,1
2,1,0,2,2,0,0
2,2,2,2,2,0,1
2,2,2,2,2,0,1
2,1,0,2,2,0,0
1,2,2,2,2,0,1
1,2,2,0,2,0,1
1,2,2,2,2,0,1
1,0,2,2,2,0,0
1,0,2,0,2,0,0
1,0,2,2,2,0,0
2,2,2,2,1,0,0
2,2,2,2,1,0,0
2,2,2,2,1,0,0
2,1,2,2,0,0,0
2,1,2,2,0,0,0
2,1,2,2,0,0,0
0,0,1,0,1,2,2
0,0,1,2,0,2,2
1,0,1,0,0,2,2
1,0,1,0,0,2,2
0,0,1,0,0,2,2
2,2,0,2,0,1,1
1,2,0,0,0,1,1
2,2,0,2,0,1,1
0,1,1,2,1,1,2
0,1,1,0,0,1,2
0,1,1,1,0,1,2
0,2,1,0,0,1,2
0,2,1,0,0,1,2
0,1,1,0,0,1,2
0,1,1,2,0,1,2
0,1,1,0,0,1,2
0,2,1,0,1,1,2
0,2,2,0,0,1,2
1,2,2,0,1,2,2
1,2,2,0,1,2,2
1,2,2,0,0,2,2
