@relation untitled
@attribute AHR_ECOLI {0,1,2,3,4}
@attribute LCFA_ECOLI {0,1,2,3,4}
@attribute Dodecanoyl_acyl_carrier_protein_hydrolase_chloroplastic {0,1,2,3,4}
@attribute Fatty_acyl_CoA_reductase {0,1,2,3,4}
@attribute A1U2T0 {0,1,2,3,4}
@attribute A1U3L3 {0,1,2,3,4}
@attribute values {0,1,2,3,4}
@data
2,0,0,0,2,0,0
2,0,0,0,2,0,0
1,0,0,0,4,0,0
0,0,0,0,4,1,0
1,0,0,0,4,0,0
1,0,0,0,4,0,1
2,0,0,0,4,0,1
1,0,0,0,4,0,1
3,0,0,3,4,1,0
3,0,0,3,4,1,0
3,0,0,3,4,0,0
3,0,0,0,4,0,0
2,0,0,3,4,0,0
2,0,0,3,4,0,0
1,0,0,3,4,0,0
1,0,0,0,4,1,0
1,0,0,3,4,1,0
0,1,3,0,1,3,3
0,1,3,0,0,3,3
1,1,3,0,1,2,3
1,1,3,2,1,2,3
0,1,3,3,1,2,3
0,1,1,2,1,3,3
0,1,1,2,1,3,3
0,1,1,0,0,3,3
0,2,1,0,0,4,3
1,2,1,0,0,4,3
0,1,1,0,1,3,3
0,1,1,0,1,3,3
0,1,1,0,0,3,3
2,2,1,2,2,3,3
3,2,1,2,0,3,3
3,2,1,3,2,3,3
2,3,2,0,2,4,3
3,3,2,0,2,4,3
3,3,2,2,2,4,3
2,2,1,3,0,3,3
1,2,1,3,0,3,3
0,2,1,3,1,3,3
0,2,1,3,1,3,3
1,2,1,3,1,3,3
0,2,1,0,0,3,3
2,4,1,0,1,4,3
1,4,1,0,0,4,3
1,3,4,0,2,1,1
2,3,4,0,2,0,1
0,3,4,0,2,0,1
0,2,1,0,2,1,0
0,3,1,0,2,1,0
0,1,2,0,2,1,0
0,1,1,0,2,0,0
0,1,2,0,1,0,1
0,1,2,2,1,0,1
1,1,2,0,2,0,1
2,4,1,0,3,0,3
1,3,1,0,3,1,3
1,4,1,0,3,0,3
2,2,1,3,3,1,3
2,2,1,3,3,1,3
1,2,1,0,3,0,2
1,1,2,2,0,3,3
1,1,3,0,1,3,3
0,1,3,0,0,2,3
1,1,3,0,0,2,3
1,2,3,0,1,3,3
4,3,4,4,1,0,2
4,3,4,4,0,0,2
4,3,4,4,1,1,2
4,4,4,4,1,0,1
4,4,4,4,1,0,1
4,4,4,4,0,0,2
4,4,4,4,1,0,2
4,4,4,4,1,0,2
4,4,4,4,0,0,1
4,4,4,4,1,1,1
4,4,4,4,1,1,1
4,2,1,4,0,0,1
4,2,1,4,0,0,1
4,2,1,4,1,0,1
4,4,2,4,2,0,2
4,4,1,4,2,0,2
4,4,1,4,0,0,2
4,4,2,4,2,0,0
4,4,2,4,0,1,0
4,4,2,4,1,0,0
4,2,1,4,1,0,1
4,1,1,4,0,0,1
4,2,1,4,1,0,1
4,4,2,4,1,0,2
4,4,2,4,2,0,2
4,4,2,4,1,0,2
2,4,2,0,1,2,3
3,4,3,0,0,2,3
2,4,2,1,0,2,3
4,4,2,4,0,0,1
4,4,2,4,1,0,1
4,4,2,4,2,0,1
0,1,4,0,1,0,0
0,1,4,0,1,0,0
1,1,4,3,1,0,0
2,3,3,0,4,0,2
1,3,3,2,4,0,3
1,3,3,0,4,0,3
4,4,4,3,4,1,3
3,4,4,0,4,1,3
4,4,4,0,4,0,3
3,4,4,2,3,0,2
3,4,4,3,3,0,2
4,1,1,0,3,0,0
3,4,4,0,4,1,2
3,4,4,2,3,1,2
4,1,1,3,3,1,0
3,4,4,3,3,1,2
3,4,4,3,3,0,2
4,1,1,3,3,1,0
2,3,3,2,3,0,2
3,3,3,0,3,1,2
2,3,3,2,3,0,2
1,0,3,2,2,0,0
1,0,3,0,2,0,0
2,0,3,3,2,0,0
4,4,4,4,1,0,1
4,4,4,4,1,0,1
4,4,4,4,1,0,1
4,2,4,4,0,0,1
4,2,4,4,0,0,1
4,2,4,4,0,0,1
1,1,2,0,1,3,3
0,1,2,3,0,3,3
1,1,2,0,0,3,3
2,1,2,0,0,3,3
1,1,2,0,0,3,3
3,2,0,2,0,3,2
